periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"Total"
07/2024;valor_aprovado;"120005 ASSIS BRASIL";-;-;-;14263,11;-;2565,27;-;-;-;-;-;-;371,39;-;-;34,00;22172,28;-;-;-;-;-;-;-;1092,56;-;28,15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40526,76
07/2024;valor_aprovado;"120010 BRASILEIA";-;-;-;40368,29;-;79192,49;1747,35;35371,21;-;-;-;-;327,35;-;-;50,00;81685,20;881,40;4861,49;-;183207,50;48,54;-;-;4274,54;-;436,48;-;-;-;4419,74;-;-;-;54,97;-;22,72;-;-;2065,83;-;-;-;-;-;-;189,00;-;-;439204,10
07/2024;valor_aprovado;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;valor_aprovado;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;541,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;541,10
07/2024;valor_aprovado;"120020 CRUZEIRO DO SUL";757,04;-;228,72;313690,22;-;27422,34;38316,07;124479,19;135811,25;-;626,08;-;9840,05;8089,99;-;611,00;188809,34;6734,42;3718,37;-;227507,11;6762,00;-;-;3014,14;-;317,04;-;-;-;-;-;-;-;-;-;-;-;113,17;2316,20;-;-;-;-;-;10043,08;7076,28;5019,76;-;1121302,86
07/2024;valor_aprovado;"120025 EPITACIOLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63,75
07/2024;valor_aprovado;"120030 FEIJO";-;-;-;34747,73;-;4793,19;-;-;-;-;-;-;-;-;-;-;28435,51;-;-;-;-;-;-;-;759,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68736,15
07/2024;valor_aprovado;"120032 JORDAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;valor_aprovado;"120033 MANCIO LIMA";-;-;-;14402,01;-;8242,20;-;-;-;-;-;-;504,70;-;-;-;43029,93;233,50;503,16;-;-;-;-;-;8489,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11025,00;-;-;86430,02
07/2024;valor_aprovado;"120034 MANOEL URBANO";-;-;-;9759,74;-;1469,54;-;-;-;-;-;-;41,20;-;-;14,00;38352,85;-;-;-;-;-;-;-;1621,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51258,61
07/2024;valor_aprovado;"120035 MARECHAL THAUMATURGO";-;-;-;14428,74;-;4844,63;-;-;-;-;-;-;-;-;-;62,00;10389,47;-;-;-;-;-;-;-;544,64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30269,48
07/2024;valor_aprovado;"120038 PLACIDO DE CASTRO";-;-;-;18322,90;-;5079,57;-;-;-;-;-;-;149,35;-;-;-;35840,62;420,30;-;-;-;-;-;-;3484,64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63297,38
07/2024;valor_aprovado;"120039 PORTO WALTER";-;-;-;-;-;645,99;-;-;-;-;-;-;200,38;-;-;-;7486,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8332,51
07/2024;valor_aprovado;"120040 RIO BRANCO";6341,66;-;16490,40;1548676,83;160980,94;217961,09;168753,26;923507,95;381365,00;11218,51;14253,38;13880,99;202873,09;104888,70;-;7524,00;1024485,38;19970,60;2433,60;860899,11;1206321,54;39407,80;6131,92;132,24;115657,94;-;3724,00;255098,74;-;878,49;56,84;22307,22;-;-;-;-;2242,24;-;6525,11;3080,54;181404,22;-;-;-;25029,00;108044,06;126484,26;138714,40;847349,25;8775094,30
