periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
11/2024;qtd_aprovada;"230130 ARARIPE";-;48;-;522;-;102;76;-;-;-;-;-;73;-;-;809;5254;-;-;-;-;-;-;-;-;-;80;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6971
11/2024;qtd_aprovada;"230140 ARATUBA";-;20;-;-;-;-;91;-;-;-;-;-;116;-;-;798;10838;19;5;-;-;-;-;-;-;-;74;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;70;12055
11/2024;qtd_aprovada;"230150 ARNEIROZ";-;23;3;-;-;-;-;-;-;-;-;-;-;-;-;466;1502;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1997
11/2024;qtd_aprovada;"230160 ASSARE";101;102;157;2687;-;-;123;-;-;-;17;-;126;-;-;303;6188;829;-;-;-;-;32;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;10797
11/2024;qtd_aprovada;"230170 AURORA";-;37;-;1746;-;333;108;-;-;-;37;-;148;-;-;55;4300;1011;-;-;-;-;-;-;-;-;177;-;18;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7986
11/2024;qtd_aprovada;"230180 BAIXIO";-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
11/2024;qtd_aprovada;"230185 BANABUIU";-;70;344;2026;-;323;44;-;-;-;-;-;351;-;-;545;10938;774;7;-;-;-;-;-;-;-;344;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;179;15956
11/2024;qtd_aprovada;"230190 BARBALHA";309;62;230;29987;325;2707;1932;1122;248;101;52;1;2820;46;-;500;52291;6888;105;2555;3722;22;307;101;-;-;523;-;7;8;17;5;24;-;-;-;-;-;338;2;9;31;-;-;-;3;-;-;-;37;61;-;-;107498
11/2024;qtd_aprovada;"230195 BARREIRA";-;17;-;2175;316;-;59;-;-;-;-;-;24;-;-;-;2035;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4691
11/2024;qtd_aprovada;"230200 BARRO";-;24;-;54;-;395;-;-;-;-;-;-;55;-;-;1550;11979;181;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;14282
11/2024;qtd_aprovada;"230205 BARROQUINHA";-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5468;-;-;-;-;-;-;-;-;-;2;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;5525
11/2024;qtd_aprovada;"230210 BATURITE";88;55;1162;16043;-;602;367;-;-;-;-;-;1113;-;2;1144;36509;-;192;-;2118;-;799;2;-;-;24;-;7;62;-;-;-;-;-;-;-;-;136;-;-;25;-;-;-;-;-;-;-;59;26;-;-;60535
11/2024;qtd_aprovada;"230220 BEBERIBE";150;56;-;3530;-;1448;73;-;-;-;10;-;364;-;-;744;22637;884;-;-;-;-;21;13;-;-;27;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29964
11/2024;qtd_aprovada;"230230 BELA CRUZ";5;36;828;1735;-;320;207;-;-;-;-;-;56;-;-;127;8411;861;-;-;-;-;-;-;-;-;54;-;8;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12649
11/2024;qtd_aprovada;"230240 BOA VIAGEM";-;166;164;-;-;1797;340;663;-;-;-;-;309;-;-;156;15314;356;-;-;-;-;-;-;-;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154;19532
11/2024;qtd_aprovada;"230250 BREJO SANTO";973;229;250;20547;599;2204;597;180;80;-;121;-;1948;-;-;432;20254;4139;6;-;-;-;1095;360;-;-;223;-;75;331;19;-;-;-;-;-;-;-;169;-;1;-;-;-;-;-;-;-;-;57;-;-;-;54889
11/2024;qtd_aprovada;"230260 CAMOCIM";271;38;1043;13579;680;1883;235;-;-;-;46;-;1080;-;-;1087;25844;3367;-;-;-;-;973;-;-;-;29;-;3;156;-;-;-;-;-;-;-;-;309;-;-;-;-;-;-;-;-;-;-;48;-;-;-;50671
11/2024;qtd_aprovada;"230270 CAMPOS SALES";77;-;49;1533;-;493;247;-;-;-;-;-;2;-;-;255;9816;83;-;-;-;-;-;-;-;-;165;-;6;-;12;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12742
11/2024;qtd_aprovada;"230280 CANINDE";92;151;277;15878;287;924;137;-;-;-;58;-;314;-;-;502;34191;1073;58;-;2503;-;1109;-;-;-;32;-;1;83;-;-;-;-;-;-;-;-;574;-;-;51;-;-;-;-;-;-;67;41;92;-;-;58495
11/2024;qtd_aprovada;"230290 CAPISTRANO";-;58;46;12656;-;-;-;-;-;-;-;-;-;-;-;83;5410;468;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18737
11/2024;qtd_aprovada;"230300 CARIDADE";3;64;25;774;-;122;127;-;-;-;-;-;49;-;-;179;4536;177;-;-;-;-;-;-;-;-;18;-;5;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6081
11/2024;qtd_aprovada;"230310 CARIRE";-;25;-;-;-;-;-;-;-;-;-;-;55;-;-;44;8866;140;-;-;-;-;-;-;-;-;100;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;9263
11/2024;qtd_aprovada;"230320 CARIRIACU";86;32;496;3378;-;359;-;-;-;-;-;-;103;-;-;-;13709;21;-;-;-;-;506;-;-;-;83;-;-;-;-;-;-;-;-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18890
11/2024;qtd_aprovada;"230330 CARIUS";-;47;-;1773;-;-;-;-;-;-;-;-;74;-;-;377;13142;67;-;-;-;-;-;-;-;-;260;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;519;16285
11/2024;qtd_aprovada;"230340 CARNAUBAL";115;117;370;3397;-;537;149;-;-;-;27;-;127;-;-;292;8209;1039;-;-;-;-;68;-;-;-;231;-;14;-;6;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;20;-;-;-;14726
11/2024;qtd_aprovada;"230350 CASCAVEL";129;67;771;6329;-;862;44;-;-;-;-;-;1782;-;-;1571;36331;172;229;-;4638;-;956;-;-;-;96;-;5;94;-;-;-;-;-;-;-;1;103;-;-;66;-;-;-;-;-;-;-;81;43;-;-;54370
11/2024;qtd_aprovada;"230360 CATARINA";67;12;-;15;-;-;-;-;-;-;-;-;-;-;-;-;7292;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7426
11/2024;qtd_aprovada;"230365 CATUNDA";-;39;-;178;-;129;88;-;-;-;-;-;61;-;-;676;6612;494;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8323
11/2024;qtd_aprovada;"230370 CAUCAIA";1028;159;130;93843;-;5136;1449;-;-;-;70;-;6733;-;-;1003;103055;19935;5;-;6665;-;897;-;11;-;415;-;-;1531;-;3;-;4;-;10;-;-;116;-;25;50;-;-;-;-;-;-;768;46;57;-;-;243144
11/2024;qtd_aprovada;"230380 CEDRO";-;25;15;5790;93;155;106;-;-;-;-;-;-;-;-;-;4051;612;59;-;-;-;23;-;-;-;13;-;-;2;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10953
11/2024;qtd_aprovada;"230390 CHAVAL";-;11;-;529;-;-;19;-;-;-;-;-;-;-;-;168;5081;280;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;6138
11/2024;qtd_aprovada;"230393 CHORO";-;318;-;960;-;-;32;-;-;-;-;-;168;-;-;501;3968;28;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5987
11/2024;qtd_aprovada;"230395 CHOROZINHO";-;54;-;7558;-;134;96;-;-;-;-;-;261;-;-;77;9942;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18192
11/2024;qtd_aprovada;"230400 COREAU";-;12;-;-;-;-;211;-;-;-;-;-;60;-;-;788;4304;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;5421
11/2024;qtd_aprovada;"230410 CRATEUS";314;-;222;4986;-;1677;122;31;-;-;35;-;204;-;-;40;20617;-;384;-;3535;-;1292;-;-;-;108;-;4;-;-;-;13;-;-;-;-;-;381;-;-;22;-;-;-;-;-;-;247;79;28;-;-;34341
11/2024;qtd_aprovada;"230420 CRATO";322;292;402;26025;2633;3695;1333;772;17;-;70;-;1346;7157;-;2876;47646;4658;1094;-;4410;3516;490;-;-;-;237;-;3;442;-;2;748;1;-;-;-;-;257;4;-;35;4;-;-;-;48;-;5858;21;57;-;7440;123911
11/2024;qtd_aprovada;"230423 CROATA";-;219;541;2598;-;348;105;-;-;-;-;-;45;-;-;627;8957;-;-;-;-;-;-;-;-;-;90;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;13568
11/2024;qtd_aprovada;"230425 CRUZ";7;107;1245;6745;-;888;210;40;25;-;10;-;70;-;-;1000;14538;1310;-;-;-;-;-;2;-;-;135;-;13;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26346
11/2024;qtd_aprovada;"230426 DEPUTADO IRAPUAN PINHEIRO";373;79;48;678;-;-;-;-;-;-;-;-;50;-;-;138;3226;317;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4909
11/2024;qtd_aprovada;"230427 ERERE";5;8;-;-;-;-;-;-;-;-;-;-;27;-;-;21;2551;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2621
11/2024;qtd_aprovada;"230428 EUSEBIO";2421;211;1162;38644;-;2126;140;-;-;-;38;-;2393;-;-;1729;71476;2371;-;-;3143;-;619;2734;-;-;192;-;1;-;-;-;-;-;-;-;-;-;183;-;-;39;-;-;-;-;-;-;-;-;27;-;-;129649
11/2024;qtd_aprovada;"230430 FARIAS BRITO";-;71;18;3540;-;422;-;-;-;-;-;-;147;-;-;389;12701;134;-;-;-;-;-;-;-;-;27;-;3;-;13;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;17488
11/2024;qtd_aprovada;"230435 FORQUILHA";7;37;-;-;-;64;-;-;-;-;-;-;-;-;-;1218;6252;610;-;-;-;-;135;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;27;-;-;-;8379
11/2024;qtd_aprovada;"230440 FORTALEZA";29088;3191;4436;945195;22572;55236;13215;8983;1253;474;3043;17;48252;72046;237;30971;1002754;23190;6222;12128;26744;12396;11294;577;-;-;9436;3;598;2651;46;294;94;178;3;-;17;391;2230;722;1565;189;2698;356;553;18;2553;-;6069454;1121;462;-;1835;8430981
11/2024;qtd_aprovada;"230445 FORTIM";-;17;-;1254;-;-;115;-;-;-;-;-;147;-;23;998;6237;-;-;-;-;-;-;-;-;-;60;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;8874
11/2024;qtd_aprovada;"230450 FRECHEIRINHA";997;48;-;-;-;363;38;-;-;-;-;-;36;-;-;119;8476;735;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10836
11/2024;qtd_aprovada;"230460 GENERAL SAMPAIO";-;85;-;1760;-;-;-;-;-;-;-;-;11;-;-;238;4667;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;6798
11/2024;qtd_aprovada;"230465 GRACA";-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1965;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;2041
11/2024;qtd_aprovada;"230470 GRANJA";49;31;-;4243;292;315;351;-;-;-;-;-;150;-;-;366;17094;165;-;-;-;-;24;26;-;-;78;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;368;23578
11/2024;qtd_aprovada;"230480 GRANJEIRO";22;18;-;1619;-;-;29;-;-;-;-;-;-;-;-;303;4327;133;-;-;-;-;186;-;-;-;13;-;1;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;34;-;-;-;6709
11/2024;qtd_aprovada;"230490 GROAIRAS";-;22;20;-;-;-;81;-;-;-;-;-;40;-;-;255;6073;-;-;-;-;-;-;-;-;-;275;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;498;7290
11/2024;qtd_aprovada;"230495 GUAIUBA";-;21;-;3074;-;-;-;-;-;-;-;-;-;-;-;-;4059;-;-;-;-;-;-;-;-;-;36;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7205
11/2024;qtd_aprovada;"230500 GUARACIABA DO NORTE";1;58;60;127;-;308;-;-;-;-;-;-;8;-;1;382;12458;861;-;-;-;-;210;-;-;-;12;-;1;-;-;-;-;-;-;-;-;-;230;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14717
11/2024;qtd_aprovada;"230510 GUARAMIRANGA";-;36;3;-;-;-;9;-;-;-;-;-;12;-;-;5;3803;162;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4042
11/2024;qtd_aprovada;"230520 HIDROLANDIA";-;9;-;3439;-;790;67;-;-;-;-;-;133;-;-;356;12450;824;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;1551;19694
11/2024;qtd_aprovada;"230523 HORIZONTE";90;109;1068;19902;-;1570;316;-;-;-;57;-;257;-;-;1914;62053;616;32;-;-;-;3816;-;-;-;93;-;1;43;8;-;-;3;-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92013
11/2024;qtd_aprovada;"230526 IBARETAMA";42;1379;-;6790;-;440;36;-;-;-;-;-;271;-;-;-;10363;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19415
11/2024;qtd_aprovada;"230530 IBIAPINA";36;78;49;1379;-;232;43;-;-;-;-;-;146;-;-;24;8367;1477;1;-;-;-;78;-;-;-;109;-;8;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;12062
11/2024;qtd_aprovada;"230533 IBICUITINGA";-;50;-;1554;-;-;43;-;-;-;-;-;214;-;-;112;4780;-;-;-;-;-;-;-;-;-;478;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7234
11/2024;qtd_aprovada;"230535 ICAPUI";-;188;24;2645;-;128;79;-;-;-;-;-;37;-;-;435;5549;253;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9346
11/2024;qtd_aprovada;"230540 ICO";127;27;175;3372;27;1193;617;-;-;-;101;-;555;-;3;-;16577;293;2;-;-;-;558;271;-;-;95;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;7;-;-;-;24076
11/2024;qtd_aprovada;"230550 IGUATU";139;53;193;2250;-;313;720;591;-;-;196;-;643;2815;-;441;23580;700;12;-;2662;1541;928;172;-;-;106;-;-;-;-;-;-;-;-;-;-;-;98;-;-;14;-;-;-;-;-;-;730;71;33;-;-;39001
11/2024;qtd_aprovada;"230560 INDEPENDENCIA";-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;1054;22577;-;-;-;-;-;-;-;-;-;165;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23909
11/2024;qtd_aprovada;"230565 IPAPORANGA";25;68;-;-;-;-;-;-;-;-;-;-;-;-;-;127;3057;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3356
11/2024;qtd_aprovada;"230570 IPAUMIRIM";-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2529;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2537
11/2024;qtd_aprovada;"230580 IPU";-;13;35;4891;-;1313;145;205;-;-;24;-;135;-;-;330;17478;408;1;-;-;-;142;-;-;-;35;-;11;55;-;-;-;-;-;-;-;-;246;-;-;-;-;-;-;-;-;-;-;20;-;-;-;25487
11/2024;qtd_aprovada;"230590 IPUEIRAS";-;314;38;1685;-;-;-;-;-;-;-;-;-;-;-;295;8664;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10996
11/2024;qtd_aprovada;"230600 IRACEMA";95;108;95;1616;-;260;142;-;-;-;-;-;56;-;-;800;6989;209;-;-;-;-;126;-;-;-;88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;10654
11/2024;qtd_aprovada;"230610 IRAUCUBA";-;20;54;2893;-;344;105;-;-;-;31;-;44;-;-;824;20952;1365;-;-;-;-;-;-;-;-;6;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;26704
11/2024;qtd_aprovada;"230620 ITAICABA";-;-;8;811;-;-;-;-;-;-;-;-;92;-;-;332;3933;55;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5266
11/2024;qtd_aprovada;"230625 ITAITINGA";283;142;963;28473;-;847;450;-;-;-;42;-;163;-;-;1483;57260;1286;3;-;-;-;388;572;-;-;184;-;2;-;-;-;-;-;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;23;-;-;-;92694
11/2024;qtd_aprovada;"230630 ITAPAJE";-;52;-;3591;-;737;81;-;-;-;-;-;351;-;38;1367;26993;1596;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;34830
11/2024;qtd_aprovada;"230640 ITAPIPOCA";100;134;18;21840;-;3264;947;53;-;-;30;-;2264;-;-;1033;67566;-;269;-;3867;-;465;-;-;-;104;-;4;43;-;-;10;-;-;-;-;-;116;-;-;29;-;-;-;-;-;-;63;83;44;-;-;102346
11/2024;qtd_aprovada;"230650 ITAPIUNA";316;130;4187;2339;-;245;59;-;-;-;-;-;20;-;-;635;7079;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15026
11/2024;qtd_aprovada;"230655 ITAREMA";-;75;262;5984;-;510;270;-;-;-;-;-;234;-;-;1252;23304;560;1;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;856;33382
11/2024;qtd_aprovada;"230660 ITATIRA";-;129;-;-;-;-;90;-;-;-;-;-;-;-;-;-;21;672;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;944
11/2024;qtd_aprovada;"230670 JAGUARETAMA";248;215;-;7686;-;348;110;-;-;-;-;-;395;-;-;-;11303;888;22;-;-;-;-;-;-;-;113;-;2;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;21387
11/2024;qtd_aprovada;"230680 JAGUARIBARA";-;102;-;3884;-;160;73;-;-;-;-;-;765;-;-;-;7321;1456;-;-;-;-;-;130;-;-;567;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;14515
11/2024;qtd_aprovada;"230690 JAGUARIBE";127;108;27;12487;-;1328;276;-;-;-;55;-;306;-;15;1023;23564;1045;1;-;-;-;1452;-;-;-;176;-;-;36;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;195;-;-;-;42225
11/2024;qtd_aprovada;"230700 JAGUARUANA";28;77;18;5854;-;647;40;-;-;-;-;-;228;-;-;-;25170;638;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32708
11/2024;qtd_aprovada;"230710 JARDIM";-;33;-;77;-;-;77;-;-;-;-;-;321;-;-;466;15187;-;21;-;-;-;-;-;-;-;187;-;27;55;7;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16464
11/2024;qtd_aprovada;"230720 JATI";37;140;10;1691;-;-;-;-;-;-;-;-;-;-;-;-;2272;-;-;-;-;-;327;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;-;-;-;-;-;45;-;-;-;4681
11/2024;qtd_aprovada;"230725 JIJOCA DE JERICOACOARA";139;82;580;6692;-;946;30;-;-;-;-;-;139;-;-;1348;18915;-;-;-;-;-;-;-;-;-;137;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29008
11/2024;qtd_aprovada;"230730 JUAZEIRO DO NORTE";3454;323;670;40407;1398;4005;2093;1677;706;143;111;-;3912;-;-;3243;162732;13994;10;-;2921;-;426;2;-;-;337;-;13;32;-;-;7;2;-;-;1;-;71;-;-;19;-;-;-;-;-;-;-;30;32;-;-;242771
11/2024;qtd_aprovada;"230740 JUCAS";-;79;-;3787;-;254;292;-;-;-;-;-;188;-;-;409;19699;1056;-;-;-;-;-;-;-;-;489;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;8856;35114
11/2024;qtd_aprovada;"230750 LAVRAS DA MANGABEIRA";-;32;2;561;-;139;65;-;-;-;-;-;99;-;-;-;7274;889;-;-;-;-;-;-;-;-;77;-;15;46;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;9245
11/2024;qtd_aprovada;"230760 LIMOEIRO DO NORTE";356;88;155;17690;-;2125;870;1327;143;-;70;1;1207;-;-;720;45572;2876;15;-;-;-;1406;-;-;-;150;-;13;-;58;4;4;-;-;-;-;-;276;-;-;-;-;-;-;-;-;-;634;80;-;-;4028;79868
11/2024;qtd_aprovada;"230763 MADALENA";-;42;151;-;-;48;43;-;-;-;-;-;40;-;-;436;8491;347;-;-;-;-;-;-;-;-;6;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9609
11/2024;qtd_aprovada;"230765 MARACANAU";2603;651;1206;120810;1193;7624;4035;984;249;-;295;-;5752;-;-;7549;93958;3649;1835;-;4752;-;1492;-;-;-;1189;-;21;392;8;-;-;-;-;-;-;-;175;1;-;29;-;-;-;-;-;-;-;177;33;-;-;260662
11/2024;qtd_aprovada;"230770 MARANGUAPE";-;91;-;44110;761;2494;-;490;-;-;15;-;997;-;3;69;68552;1483;-;-;-;-;-;-;-;-;149;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;119243
11/2024;qtd_aprovada;"230780 MARCO";-;20;5;6626;-;277;184;11;3;-;-;-;115;-;-;887;13577;1352;-;-;-;-;-;4;-;-;157;-;14;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23234
11/2024;qtd_aprovada;"230790 MARTINOPOLE";53;15;50;1985;-;-;-;-;-;-;13;-;-;-;-;237;3935;40;-;-;-;-;-;-;-;-;38;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;6392
11/2024;qtd_aprovada;"230800 MASSAPE";74;140;105;-;-;202;72;-;-;-;-;-;18;-;-;53;11728;-;-;-;-;-;70;-;-;-;2;-;4;-;-;-;-;-;-;-;-;-;88;-;-;-;-;-;-;-;-;-;-;98;-;-;-;12654
