periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
02/2024;qtd_aprovada;"250890 MAMANGUAPE";38;32;1260;4324;-;930;129;-;-;-;-;-;241;-;-;551;25894;278;-;-;-;10;50;-;-;-;56;-;-;58;-;-;-;-;-;-;-;-;148;-;-;-;-;-;-;-;-;-;54;-;-;-;34053
02/2024;qtd_aprovada;"250900 MANAIRA";-;-;6;950;-;-;130;-;-;-;-;-;16;-;-;244;6575;465;-;-;-;-;-;-;-;-;36;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8430
02/2024;qtd_aprovada;"250905 MARCACAO";83;7;-;-;-;-;-;-;-;-;-;-;3;-;-;246;1094;97;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;1564
02/2024;qtd_aprovada;"250910 MARI";58;10;12;2294;-;-;44;-;-;-;-;-;12;-;-;552;234703;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;237718
02/2024;qtd_aprovada;"250915 MARIZOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;35
02/2024;qtd_aprovada;"250920 MASSARANDUBA";-;34;-;2941;-;-;-;-;-;-;-;-;-;-;-;40;1075;332;-;-;-;-;173;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;188;-;-;-;-;-;-;-;-;-;43;-;-;-;4826
02/2024;qtd_aprovada;"250930 MATARACA";-;14;-;-;-;-;-;-;-;-;-;-;35;-;-;105;7205;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;-;-;-;7411
02/2024;qtd_aprovada;"250933 MATINHAS";144;10;-;805;-;-;-;-;-;-;-;-;9;-;-;178;1023;256;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;2437
02/2024;qtd_aprovada;"250937 MATO GROSSO";-;9;-;290;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;345
02/2024;qtd_aprovada;"250939 MATUREIA";5;113;-;-;-;-;-;-;-;-;-;-;2;-;-;16;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;202
02/2024;qtd_aprovada;"250940 MOGEIRO";383;25;-;1463;-;47;75;-;-;-;-;-;-;-;-;864;5419;361;-;-;-;-;333;-;-;-;13;-;3;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;22;-;-;-;9049
02/2024;qtd_aprovada;"250950 MONTADAS";39;24;195;1377;-;-;-;-;-;-;-;-;-;-;-;19;51;119;-;-;-;-;226;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;20;-;-;-;2123
02/2024;qtd_aprovada;"250960 MONTE HOREBE";-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;1399;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1472
02/2024;qtd_aprovada;"250970 MONTEIRO";-;62;51;5113;-;973;373;524;-;-;34;-;1036;77;-;88;25877;-;107;-;-;-;486;-;65;-;127;-;4;456;-;-;-;-;-;-;-;-;263;-;-;-;-;-;-;-;-;-;392;-;-;6838;42946
02/2024;qtd_aprovada;"250980 MULUNGU";-;24;-;-;-;-;-;-;-;-;-;-;47;-;-;4;1007;74;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;1255
02/2024;qtd_aprovada;"250990 NATUBA";2708;52;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2664;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5537
02/2024;qtd_aprovada;"251000 NAZAREZINHO";23;-;-;502;-;-;-;-;-;-;-;-;-;-;-;28;38;-;-;-;-;-;213;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;165;-;-;-;-;-;-;-;-;-;44;-;-;-;1020
02/2024;qtd_aprovada;"251010 NOVA FLORESTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
02/2024;qtd_aprovada;"251020 NOVA OLINDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;663;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;690
02/2024;qtd_aprovada;"251030 NOVA PALMEIRA";-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;35;462;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;512
02/2024;qtd_aprovada;"251040 OLHO D'AGUA";-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;8;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;175
02/2024;qtd_aprovada;"251050 OLIVEDOS";-;11;-;3244;-;-;-;-;-;-;-;-;-;-;-;123;85;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;3568
02/2024;qtd_aprovada;"251060 OURO VELHO";1;128;-;895;-;75;-;-;-;-;-;-;3;-;-;29;1550;94;-;-;-;-;57;-;-;-;58;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;210;3128
02/2024;qtd_aprovada;"251065 PARARI";-;8;-;581;-;-;-;-;-;-;-;-;-;-;-;20;790;156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1555
02/2024;qtd_aprovada;"251070 PASSAGEM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;164;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;269
02/2024;qtd_aprovada;"251080 PATOS";1697;575;120;35904;325;3057;983;1846;77;20;103;-;1506;978;46;614;66024;531;411;617;2965;1077;392;-;370;-;405;-;-;-;-;-;-;2;-;-;-;-;148;-;-;37;-;-;-;-;-;-;571;94;-;6586;128081
02/2024;qtd_aprovada;"251090 PAULISTA";7;-;-;-;-;4;72;-;-;-;-;-;29;-;-;40;4728;-;-;-;-;-;273;-;-;-;31;-;15;-;8;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;30;-;-;-;5258
02/2024;qtd_aprovada;"251100 PEDRA BRANCA";-;32;-;896;-;-;-;-;-;-;-;-;-;-;-;8;233;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;1233
02/2024;qtd_aprovada;"251110 PEDRA LAVRADA";39;46;-;743;-;236;-;-;-;-;-;-;-;-;-;121;1241;305;-;-;-;-;104;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;22;-;-;-;2927
02/2024;qtd_aprovada;"251120 PEDRAS DE FOGO";13;51;28;12940;-;173;196;-;-;-;-;-;614;-;-;62;37378;1927;93;-;-;-;116;-;2086;-;464;-;-;-;11;-;-;-;-;-;-;-;102;-;35;-;-;-;-;-;-;-;-;-;-;-;56289
02/2024;qtd_aprovada;"251130 PIANCO";-;25;317;8241;58;1079;-;132;-;-;112;-;345;65;-;2040;31562;622;-;-;-;206;-;-;-;-;49;-;14;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;173;-;-;4000;49050
02/2024;qtd_aprovada;"251140 PICUI";9;46;-;6905;87;322;702;57;-;-;87;-;6;131;-;209;11111;190;-;-;-;-;298;-;-;-;34;-;9;-;-;-;-;-;-;-;-;-;200;-;-;-;-;-;-;-;-;-;-;-;-;3021;23424
02/2024;qtd_aprovada;"251150 PILAR";68;19;-;1213;-;57;81;-;-;-;-;-;-;-;-;847;7473;42;-;-;-;-;587;-;7;-;11;-;-;-;-;-;-;-;-;-;-;-;290;-;-;-;-;-;-;-;-;-;33;-;-;-;10728
02/2024;qtd_aprovada;"251160 PILOES";-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;78
02/2024;qtd_aprovada;"251170 PILOEZINHOS";-;10;-;323;-;-;-;-;-;-;-;-;-;-;-;4;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;375
02/2024;qtd_aprovada;"251180 PIRPIRITUBA";-;32;-;46;-;-;-;-;-;-;-;-;-;-;-;161;2782;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;3043
02/2024;qtd_aprovada;"251190 PITIMBU";-;59;-;2830;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;3091
02/2024;qtd_aprovada;"251200 POCINHOS";14;219;-;248;189;178;53;-;-;-;-;-;19;-;-;33;907;599;-;-;-;-;161;-;-;-;91;-;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;-;-;20;-;-;-;2821
02/2024;qtd_aprovada;"251203 POCO DANTAS";-;12;-;-;-;-;31;-;-;-;-;-;-;-;-;-;894;157;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;991;2117
02/2024;qtd_aprovada;"251207 POCO DE JOSE DE MOURA";63;10;49;646;-;-;40;-;-;-;-;-;4;-;-;93;1466;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2371
02/2024;qtd_aprovada;"251210 POMBAL";-;56;24;10166;141;745;523;11;-;-;120;-;408;-;-;152;18939;277;311;-;-;-;171;-;3;-;79;-;14;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;276;-;-;11168;43586
02/2024;qtd_aprovada;"251220 PRATA";68;95;-;-;-;-;-;-;-;-;-;-;-;-;-;39;319;141;-;-;-;-;101;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;858
02/2024;qtd_aprovada;"251230 PRINCESA ISABEL";-;40;17;7247;-;1122;-;101;-;-;-;-;692;115;-;921;23944;2604;-;-;-;-;40;-;683;-;214;-;9;2;18;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;5080;42870
02/2024;qtd_aprovada;"251240 PUXINANA";-;-;4;1282;-;28;88;-;-;-;-;-;34;-;-;134;642;234;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;2483
02/2024;qtd_aprovada;"251250 QUEIMADAS";620;24;71;20477;-;1235;448;-;-;-;-;-;132;-;-;875;12947;2001;55;-;-;-;668;-;-;-;70;-;7;-;-;-;-;-;-;-;-;-;366;-;-;-;-;-;-;-;-;-;68;-;-;-;40064
02/2024;qtd_aprovada;"251260 QUIXABA";-;47;-;-;-;-;-;-;-;-;-;-;8;-;-;20;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;113
02/2024;qtd_aprovada;"251270 REMIGIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;28;188;-;-;-;-;594;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;412;-;-;-;-;-;-;-;-;-;63;-;-;-;1345
02/2024;qtd_aprovada;"251272 PEDRO REGIS";1;28;-;451;-;-;1;-;-;-;-;-;-;-;-;200;2247;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;2963
02/2024;qtd_aprovada;"251274 RIACHAO";-;-;85;449;-;-;-;-;-;-;-;-;-;-;-;4;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;588
02/2024;qtd_aprovada;"251275 RIACHAO DO BACAMARTE";-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;129
02/2024;qtd_aprovada;"251276 RIACHAO DO POCO";-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;93
02/2024;qtd_aprovada;"251278 RIACHO DE SANTO ANTONIO";583;-;108;795;-;-;-;-;-;-;-;-;-;-;-;17;716;33;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;4;-;-;-;2327
02/2024;qtd_aprovada;"251280 RIACHO DOS CAVALOS";-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;33;1311;24;-;-;-;-;-;-;-;-;11;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1431
02/2024;qtd_aprovada;"251290 RIO TINTO";515;9;-;893;-;30;-;-;-;-;-;-;224;-;-;791;50517;64;-;-;-;-;13;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;53190
02/2024;qtd_aprovada;"251300 SALGADINHO";-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;36;150;134;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;355
02/2024;qtd_aprovada;"251310 SALGADO DE SAO FELIX";41;54;195;2402;-;-;-;-;-;-;-;-;-;-;-;452;2398;56;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;5717
02/2024;qtd_aprovada;"251315 SANTA CECILIA";-;42;-;1372;-;-;94;-;-;-;-;-;-;-;-;-;860;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;2431
02/2024;qtd_aprovada;"251320 SANTA CRUZ";34;43;2;1585;-;-;90;-;-;-;-;-;4;-;-;26;583;82;-;-;-;-;154;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;30;-;-;-;2732
02/2024;qtd_aprovada;"251330 SANTA HELENA";12;-;-;1127;-;16;-;-;-;-;-;-;-;-;-;-;51;28;-;-;-;-;77;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;1391
02/2024;qtd_aprovada;"251335 SANTA INES";5;22;1348;1267;-;-;-;-;-;-;-;-;-;-;-;-;289;41;-;-;-;-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;48;-;-;-;3171
02/2024;qtd_aprovada;"251340 SANTA LUZIA";231;66;13;650;-;1778;272;-;-;-;70;-;312;-;-;-;9285;284;-;-;-;-;393;-;-;-;19;-;-;12;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;-;-;80;-;-;-;13530
02/2024;qtd_aprovada;"251350 SANTANA DE MANGUEIRA";183;107;4;-;-;-;-;-;-;-;-;-;-;-;-;63;486;-;-;-;-;-;24;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;16;-;-;-;924
02/2024;qtd_aprovada;"251360 SANTANA DOS GARROTES";-;-;110;431;-;-;-;-;-;-;-;-;-;-;-;142;803;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;1502
02/2024;qtd_aprovada;"251365 JOCA CLAUDINO";654;33;-;127;-;-;22;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;867
02/2024;qtd_aprovada;"251370 SANTA RITA";295;-;351;24053;80;1257;1071;1387;559;-;-;51;3336;-;-;1369;72904;1040;68;-;-;-;394;-;1686;-;491;-;-;62;15;-;-;4;-;-;-;-;66;-;-;-;8;-;-;-;-;-;-;-;-;-;110547
02/2024;qtd_aprovada;"251380 SANTA TERESINHA";-;31;4;-;-;-;3;-;-;-;-;-;19;-;-;40;130;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;156;383
02/2024;qtd_aprovada;"251385 SANTO ANDRE";-;21;66;562;-;-;-;-;-;-;-;-;-;-;-;24;-;209;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;882
02/2024;qtd_aprovada;"251390 SAO BENTO";152;17;-;3325;-;646;426;-;-;-;68;-;298;-;-;194;6868;831;30;-;-;-;382;-;-;-;129;-;35;-;50;-;-;-;-;-;-;-;306;-;-;-;-;-;-;-;-;-;52;-;-;25;13834
02/2024;qtd_aprovada;"251392 SAO BENTINHO";30;14;-;910;-;15;-;-;-;-;-;-;-;-;-;28;35;63;-;-;-;-;178;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;1401
02/2024;qtd_aprovada;"251394 SAO DOMINGOS DO CARIRI";462;6;-;1318;-;-;-;-;-;-;-;-;-;-;-;7;204;164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2161
02/2024;qtd_aprovada;"251396 SAO DOMINGOS";-;3;-;760;-;-;1;-;-;-;-;-;-;-;-;-;234;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;1045
02/2024;qtd_aprovada;"251398 SAO FRANCISCO";26;10;-;2536;-;25;49;4;2;-;-;-;35;-;-;84;272;85;-;-;-;-;442;-;-;-;1;-;20;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;48;-;-;-;3706
02/2024;qtd_aprovada;"251400 SAO JOAO DO CARIRI";-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;446
02/2024;qtd_aprovada;"251410 SAO JOAO DO TIGRE";-;11;-;-;-;21;-;-;-;-;-;-;-;-;-;3;-;37;-;-;-;-;107;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;118;-;-;-;-;-;-;-;-;-;49;-;-;-;346
02/2024;qtd_aprovada;"251420 SAO JOSE DA LAGOA TAPADA";-;55;-;-;-;-;54;30;-;-;-;-;-;-;-;84;978;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;1246
02/2024;qtd_aprovada;"251430 SAO JOSE DE CAIANA";17;31;-;983;-;38;-;-;-;-;-;-;33;-;-;66;290;-;-;-;-;-;54;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;1574
02/2024;qtd_aprovada;"251440 SAO JOSE DE ESPINHARAS";58;60;630;-;-;-;22;-;-;-;-;-;-;-;-;30;128;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;982
02/2024;qtd_aprovada;"251445 SAO JOSE DOS RAMOS";-;-;37;424;-;-;-;-;-;-;-;-;4;-;-;326;1399;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;2202
02/2024;qtd_aprovada;"251450 SAO JOSE DE PIRANHAS";20;100;-;-;28;379;168;-;-;-;-;-;80;-;-;1973;5345;-;12;-;-;-;-;-;5;-;77;-;31;-;50;5;-;9;-;-;-;12;-;-;-;-;-;-;-;-;-;-;60;-;-;-;8354
02/2024;qtd_aprovada;"251455 SAO JOSE DE PRINCESA";41;58;-;299;-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;541
02/2024;qtd_aprovada;"251460 SAO JOSE DO BONFIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54
02/2024;qtd_aprovada;"251465 SAO JOSE DO BREJO DO CRUZ";-;9;-;84;-;-;-;-;-;-;-;-;-;-;12;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;114
02/2024;qtd_aprovada;"251470 SAO JOSE DO SABUGI";3;-;3;-;-;21;-;-;-;-;-;-;15;-;-;-;1714;195;2;-;-;-;153;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;180;2369
02/2024;qtd_aprovada;"251480 SAO JOSE DOS CORDEIROS";24;-;-;1075;-;-;-;-;-;-;-;-;-;-;-;4;123;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1257
02/2024;qtd_aprovada;"251490 SAO MAMEDE";-;38;-;-;-;-;-;-;-;-;-;-;50;-;-;-;1101;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;928;2187
02/2024;qtd_aprovada;"251500 SAO MIGUEL DE TAIPU";13;-;-;-;-;-;-;-;-;-;-;-;8;-;-;1018;4323;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5364
02/2024;qtd_aprovada;"251510 SAO SEBASTIAO DE LAGOA DE ROCA";6;43;4;2680;-;-;-;-;-;-;-;-;-;-;-;-;1525;-;-;-;-;-;104;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;42;-;-;-;4510
02/2024;qtd_aprovada;"251520 SAO SEBASTIAO DO UMBUZEIRO";22;33;-;788;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;333;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;101;-;-;-;-;-;-;-;-;-;20;-;-;-;1331
02/2024;qtd_aprovada;"251530 SAPE";38;3;44;446;165;596;-;-;-;-;-;-;214;-;215;4405;48199;494;-;-;-;-;27;-;-;-;79;-;5;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54937
02/2024;qtd_aprovada;"251540 SAO VICENTE DO SERIDO";-;-;-;848;-;-;-;-;-;-;-;-;25;-;-;-;1377;246;-;-;-;-;-;-;-;-;175;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2671
02/2024;qtd_aprovada;"251550 SERRA BRANCA";14;11;-;2262;-;134;46;-;-;-;-;-;-;-;4;-;3741;175;-;-;-;-;-;-;-;-;59;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;222;-;-;-;6671
02/2024;qtd_aprovada;"251560 SERRA DA RAIZ";-;6;39;-;-;-;61;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;208
02/2024;qtd_aprovada;"251570 SERRA GRANDE";20;30;110;949;-;2;43;-;-;-;-;-;-;-;-;-;133;-;-;-;-;-;167;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;34;-;-;-;1559
02/2024;qtd_aprovada;"251580 SERRA REDONDA";-;-;6;-;26;-;-;-;-;-;-;-;-;-;-;44;1514;255;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1845
