periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
03/2024;qtd_aprovada;"270770 RIO LARGO";17986;465;8;45218;623;1360;289;-;-;-;-;-;1479;-;2;1033;35348;-;171;-;-;-;-;-;4;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;104049
03/2024;qtd_aprovada;"270780 ROTEIRO";973;55;-;-;-;-;-;-;-;-;-;-;16;-;-;-;347;188;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;1612
03/2024;qtd_aprovada;"270790 SANTA LUZIA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;411;3100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3524
03/2024;qtd_aprovada;"270800 SANTANA DO IPANEMA";65;6536;30;33843;-;2529;658;160;-;-;109;-;989;-;-;138;36715;1320;-;-;-;-;454;-;45;-;329;-;-;-;-;-;-;-;-;-;-;-;167;-;-;-;-;-;-;-;-;-;50;-;-;1990;86127
03/2024;qtd_aprovada;"270810 SANTANA DO MUNDAU";1389;175;-;1174;-;-;97;-;-;-;-;-;18;-;-;184;638;523;-;-;-;-;153;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;44;-;-;130;4597
03/2024;qtd_aprovada;"270820 SAO BRAS";4009;26;-;-;-;-;51;-;-;-;-;-;-;-;-;6;1671;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5763
03/2024;qtd_aprovada;"270830 SAO JOSE DA LAJE";-;59;10;1637;-;-;186;-;-;-;-;-;91;-;-;162;9155;341;-;-;-;-;-;-;22;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;2334;14034
03/2024;qtd_aprovada;"270840 SAO JOSE DA TAPERA";-;54;53;5958;-;-;194;-;-;-;-;-;162;-;-;2110;34879;364;-;-;-;-;44;-;-;-;272;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;49;-;-;2062;46215
03/2024;qtd_aprovada;"270850 SAO LUIS DO QUITUNDE";-;10;-;4114;-;-;52;-;-;-;-;-;142;-;-;346;7676;1;-;-;-;-;87;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;72;12556
03/2024;qtd_aprovada;"270860 SAO MIGUEL DOS CAMPOS";967;69;60;21951;332;2076;172;143;79;-;68;-;1333;-;-;284;34186;5008;31;-;2380;-;635;-;-;-;144;-;8;-;-;-;-;-;-;-;-;-;180;-;-;43;-;-;-;-;-;-;57;76;-;330;70612
03/2024;qtd_aprovada;"270870 SAO MIGUEL DOS MILAGRES";-;226;-;477;-;-;80;-;-;-;-;-;37;-;-;370;4023;125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;494;5832
03/2024;qtd_aprovada;"270880 SAO SEBASTIAO";802;41;-;-;331;-;-;-;-;-;-;-;-;-;-;407;7868;-;-;-;-;-;-;-;-;-;44;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9499
03/2024;qtd_aprovada;"270890 SATUBA";5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2365;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2415
03/2024;qtd_aprovada;"270895 SENADOR RUI PALMEIRA";-;333;-;-;-;-;106;-;-;-;-;-;-;-;-;834;9739;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;1170;12237
