periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
03/2025;qtd_aprovada;"410800 FLORESTOPOLIS";-;950;-;1339;-;175;-;-;-;-;-;-;-;-;-;-;1948;508;-;-;-;-;-;-;-;-;-;41;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;4997
03/2025;qtd_aprovada;"410810 FLORIDA";-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42
03/2025;qtd_aprovada;"410820 FORMOSA DO OESTE";-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1239;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1300
03/2025;qtd_aprovada;"410830 FOZ DO IGUACU";412;-;330;157081;1141;10555;3014;1272;189;182;359;-;13487;2765;-;3124;106365;12221;186;366;4272;2737;721;-;26;-;-;767;-;3;1026;2;19;5;22;6;-;1;-;292;6;5;27;61;-;-;-;48;-;381755;3419;91;-;-;-;-;-;-;-;708360
03/2025;qtd_aprovada;"410832 FRANCISCO ALVES";1;-;-;-;-;-;-;-;-;-;-;-;-;-;37;140;1365;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1543
03/2025;qtd_aprovada;"410840 FRANCISCO BELTRAO";806;121;69;71440;5811;3666;2351;1900;183;29;78;-;3037;7;569;375;63726;14671;235;952;1716;24;1810;-;155;-;-;191;-;15;71;7;6;128;25;1;-;3;-;848;-;-;26;-;-;-;-;-;-;425939;78;37;-;-;-;-;-;-;-;601106
03/2025;qtd_aprovada;"410845 FOZ DO JORDAO";3825;202;1;420;-;5;6;-;-;-;-;-;-;-;-;173;4075;15;-;-;-;-;162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8892
03/2025;qtd_aprovada;"410850 GENERAL CARNEIRO";993;-;52;-;-;-;-;-;-;-;-;-;-;-;-;559;5481;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7087
03/2025;qtd_aprovada;"410855 GODOY MOREIRA";-;-;-;-;-;-;-;-;-;-;-;-;143;-;-;-;751;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;894
03/2025;qtd_aprovada;"410860 GOIOERE";5708;1465;78;546;-;1378;375;85;-;-;-;-;309;-;-;939;30371;1742;224;-;-;1;440;-;-;-;-;172;-;4;-;-;-;-;-;-;-;-;-;92;-;-;-;-;-;-;-;-;-;-;19;-;-;8536;-;-;-;-;-;52484
03/2025;qtd_aprovada;"410865 GOIOXIM";-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;703;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;780
03/2025;qtd_aprovada;"410870 GRANDES RIOS";405;750;1320;541;-;17;-;-;-;-;-;-;10;-;-;-;2476;-;-;-;-;-;23;-;10;-;-;93;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5726
03/2025;qtd_aprovada;"410880 GUAIRA";6;-;60;1328;-;-;-;-;-;-;-;-;50;-;-;414;15134;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16998
03/2025;qtd_aprovada;"410890 GUAIRACA";4166;26;143;-;-;-;-;-;-;-;-;-;-;-;-;655;8292;-;-;-;-;-;88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;13425
03/2025;qtd_aprovada;"410895 GUAMIRANGA";12;-;-;1721;-;-;-;-;-;-;-;-;100;-;-;219;2160;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4219
03/2025;qtd_aprovada;"410900 GUAPIRAMA";6828;18;151;-;-;-;-;-;-;-;-;-;-;-;-;387;4297;-;-;-;-;-;294;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11988
03/2025;qtd_aprovada;"410910 GUAPOREMA";1893;-;2;-;-;2;-;-;-;-;-;-;-;-;-;216;2959;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5179
03/2025;qtd_aprovada;"410920 GUARACI";107;-;-;916;-;-;-;-;-;-;-;-;-;-;-;-;785;-;-;-;-;-;167;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2005
03/2025;qtd_aprovada;"410930 GUARANIACU";-;16;-;777;-;104;-;-;-;-;-;-;35;-;21;17;753;259;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1982
03/2025;qtd_aprovada;"410940 GUARAPUAVA";368;-;2379;93153;2231;10778;4653;1598;594;28;549;-;4693;-;-;2726;118039;1585;319;859;2703;42;951;-;262;-;-;881;-;271;158;-;15;27;-;4;-;-;-;706;-;-;24;-;-;-;-;1;-;449392;470;31;-;-;-;-;-;-;-;700490
03/2025;qtd_aprovada;"410950 GUARAQUECABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2025;qtd_aprovada;"410960 GUARATUBA";711;129;418;7351;-;24;171;-;-;-;-;-;15;-;-;1103;19068;348;-;-;-;-;-;-;1;-;-;162;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29502
03/2025;qtd_aprovada;"410965 HONORIO SERPA";5628;47;23;-;-;140;-;-;-;-;-;-;343;-;-;169;9090;23;-;-;-;-;383;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15872
03/2025;qtd_aprovada;"410970 IBAITI";-;827;-;1068;-;441;-;-;-;-;-;-;174;-;-;-;2944;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5454
03/2025;qtd_aprovada;"410975 IBEMA";4;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;573;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;640
03/2025;qtd_aprovada;"410980 IBIPORA";73;85;753;5924;1;1685;29;676;-;-;-;-;416;-;-;317;29134;688;8;-;-;-;293;-;-;-;-;58;-;5;-;-;4;7;1;-;-;-;-;30;-;6;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;40266
03/2025;qtd_aprovada;"410990 ICARAIMA";342;37;1085;5094;-;-;-;-;-;-;-;-;-;-;13;584;2649;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3280;-;-;-;-;-;13086
03/2025;qtd_aprovada;"411000 IGUARACU";1891;137;37;-;-;-;-;-;-;-;-;-;12;-;-;348;9923;-;-;-;-;-;61;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12429
03/2025;qtd_aprovada;"411005 IGUATU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2025;qtd_aprovada;"411007 IMBAU";-;-;-;979;-;-;-;-;-;-;-;-;1;-;-;-;999;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1979
03/2025;qtd_aprovada;"411010 IMBITUVA";7842;186;512;-;-;29;-;-;-;-;-;-;-;-;-;1878;23868;74;-;-;-;-;2109;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;211;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36747
03/2025;qtd_aprovada;"411020 INACIO MARTINS";1;-;1;925;-;-;-;-;-;-;-;-;-;-;-;117;2606;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3651
03/2025;qtd_aprovada;"411030 INAJA";-;-;-;404;-;-;-;-;-;-;-;-;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;491
03/2025;qtd_aprovada;"411040 INDIANOPOLIS";1636;35;130;332;-;-;-;-;-;-;-;-;10;-;33;493;6374;70;-;-;-;-;-;-;4;-;-;22;-;3;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9144
03/2025;qtd_aprovada;"411050 IPIRANGA";-;-;-;1768;-;-;-;-;-;-;-;-;1;-;-;381;1713;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3863
03/2025;qtd_aprovada;"411060 IPORA";7776;42;100;-;-;25;-;-;-;-;-;-;-;-;-;651;18998;-;-;-;-;-;259;-;-;-;-;14;-;11;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27907
03/2025;qtd_aprovada;"411065 IRACEMA DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;395;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;395
03/2025;qtd_aprovada;"411070 IRATI";1574;-;293;23491;1028;1317;99;242;18;-;-;-;143;-;-;1449;21519;-;191;-;1346;-;2126;-;560;-;-;229;-;2;41;-;-;-;-;-;-;-;-;368;-;-;9;-;-;-;-;-;-;298346;1234;15;-;-;-;-;-;-;-;355640
03/2025;qtd_aprovada;"411080 IRETAMA";1829;-;114;1042;-;-;-;-;-;-;-;-;-;-;-;534;5809;65;-;-;-;-;626;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10079
03/2025;qtd_aprovada;"411090 ITAGUAJE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;470;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;470
03/2025;qtd_aprovada;"411095 ITAIPULANDIA";5190;29;720;8;-;4;-;-;-;-;-;-;-;-;-;1040;11967;-;-;-;-;-;845;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;49;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19881
03/2025;qtd_aprovada;"411100 ITAMBARACA";-;-;-;1068;-;-;-;-;-;-;-;-;-;-;-;-;292;-;-;-;-;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1428
03/2025;qtd_aprovada;"411110 ITAMBE";-;21;-;909;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;930
03/2025;qtd_aprovada;"411120 ITAPEJARA D'OESTE";390;38;130;-;-;-;-;-;-;-;-;-;48;-;-;557;14525;134;-;-;-;-;492;-;-;-;-;42;-;5;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;35;-;-;784;-;-;-;-;-;17234
