periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
05/2024;qtd_aprovada;"352250 ITAPEVI";4501;183;4360;125285;2813;20506;3370;873;-;-;295;-;4107;-;-;8775;203987;292;574;-;1236;5;156;264;-;636;-;55;43;1;74;62;14;-;-;1;-;117;7;-;19;-;-;-;-;-;-;-;-;-;-;-;382611
05/2024;qtd_aprovada;"352260 ITAPIRA";10198;-;200;50072;60;3231;1182;438;-;-;91;-;2446;18;-;1926;82561;1482;183;-;-;20;2034;-;-;1369;-;31;53;1;4;-;14;-;-;-;-;374;-;-;-;6;-;-;-;-;-;-;59;-;-;5770;163823
05/2024;qtd_aprovada;"352265 ITAPIRAPUA PAULISTA";-;34;-;-;-;-;51;-;-;-;-;-;95;-;-;982;3401;-;-;-;-;-;-;-;-;39;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;184;4802
05/2024;qtd_aprovada;"352270 ITAPOLIS";6074;262;1039;8889;-;2000;450;302;-;-;-;-;1299;-;-;1579;56247;833;-;-;-;-;1408;385;-;105;-;5;125;1;-;-;-;-;-;-;-;154;-;-;31;-;-;-;-;-;-;-;32;-;-;1172;82392
05/2024;qtd_aprovada;"352280 ITAPORANGA";6704;48;74;2262;-;854;-;-;-;-;-;-;85;-;-;436;19190;160;7;-;-;-;165;-;-;8;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30005
05/2024;qtd_aprovada;"352290 ITAPUI";1594;-;550;1497;-;373;153;-;-;-;-;-;118;-;-;877;22611;686;-;-;-;-;317;120;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;2758;31679
05/2024;qtd_aprovada;"352300 ITAPURA";-;64;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;11068;11210
05/2024;qtd_aprovada;"352310 ITAQUAQUECETUBA";18434;217;407;117811;-;10295;1547;1418;-;-;516;-;1739;-;1;15912;390373;12550;21;-;-;-;38;12;-;685;-;6;-;12;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;572001
05/2024;qtd_aprovada;"352320 ITARARE";-;-;63;19299;-;2215;274;100;-;-;33;-;514;-;-;39;16242;-;67;-;-;-;-;-;-;156;-;1;-;-;1;7;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;39021
05/2024;qtd_aprovada;"352330 ITARIRI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2024;qtd_aprovada;"352340 ITATIBA";22221;425;4089;31912;5;6435;1682;459;506;-;85;-;3215;9;-;4909;113107;1982;126;-;987;12;5978;-;-;306;-;39;-;-;1;5;-;-;-;1;-;386;-;-;26;6;-;-;-;-;-;-;23;11;-;1462;200410
05/2024;qtd_aprovada;"352350 ITATINGA";3;64;-;12269;-;960;142;-;-;-;-;-;183;-;-;-;5269;-;-;-;-;-;6;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2537;21496
05/2024;qtd_aprovada;"352360 ITIRAPINA";6718;15;356;58;-;141;-;-;-;-;-;-;31;-;-;802;16306;194;-;-;-;-;59;-;-;24;-;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;20;24728
05/2024;qtd_aprovada;"352370 ITIRAPUA";1348;58;-;3176;-;-;-;-;-;-;-;-;-;-;-;-;285;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;1439;6320
05/2024;qtd_aprovada;"352380 ITOBI";2390;-;3;-;-;-;47;-;-;-;-;-;-;-;-;368;18169;358;-;-;-;-;156;-;-;10;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21519
05/2024;qtd_aprovada;"352390 ITU";17985;789;8234;117362;1034;7816;2764;-;-;-;64;-;4886;12;-;5498;157759;6880;318;-;3744;7;1366;605;-;941;-;42;145;13;-;14;20;2;-;-;-;289;12;-;6;33;-;-;-;-;-;-;47;54;-;374;339115
05/2024;qtd_aprovada;"352400 ITUPEVA";7548;545;6090;55083;-;3934;1110;695;54;-;-;-;1685;-;286;1422;73131;2058;111;-;-;-;2093;265;-;71;-;56;-;-;-;-;5;-;-;-;-;352;-;-;28;-;-;-;-;-;-;-;19;-;-;-;156641
05/2024;qtd_aprovada;"352410 ITUVERAVA";1426;-;128;24848;311;2522;2175;592;22;-;264;-;5764;-;2;160;18340;1044;87;-;1484;-;1029;36;-;388;-;-;347;-;1;1;-;-;-;-;-;266;-;-;-;19;-;-;-;-;-;-;81;14;-;-;61351
05/2024;qtd_aprovada;"352420 JABORANDI";3195;332;148;3623;-;184;122;-;-;-;-;-;48;-;-;317;11674;386;-;-;-;-;27;27;-;134;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;1367;21596
05/2024;qtd_aprovada;"352430 JABOTICABAL";23788;149;3883;38698;398;669;815;213;-;-;35;-;1852;-;5;4067;80115;675;704;-;1867;-;1323;137;-;258;-;46;7;-;-;1;7;-;-;-;-;238;-;-;9;16;-;-;-;-;-;-;-;26;-;-;160001
05/2024;qtd_aprovada;"352440 JACAREI";17398;1331;887;153535;938;9059;6405;692;239;24;294;-;16741;910;-;4104;93277;8482;769;629;1827;599;1074;1;-;398;-;11;132;4;5;49;15;-;-;-;-;77;-;-;84;12;-;-;-;-;-;-;14;18;-;-;320034
05/2024;qtd_aprovada;"352450 JACI";-;15;-;4469;-;466;101;-;-;-;-;-;66;-;-;-;10601;322;-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;7;16220
05/2024;qtd_aprovada;"352460 JACUPIRANGA";-;28;-;7401;-;498;57;-;-;-;-;-;214;-;-;-;12202;1232;5;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21683
05/2024;qtd_aprovada;"352470 JAGUARIUNA";227;190;1764;65116;67;5107;2187;760;156;-;187;-;3359;-;2;3198;41041;2677;130;-;-;2;-;90;-;123;-;2;38;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126426
05/2024;qtd_aprovada;"352480 JALES";331;444;116;29327;1577;3149;1843;1920;197;256;477;-;3065;-;-;1177;56266;1800;123;1987;-;40;356;118;-;1267;-;15;241;1;34;6;13;-;-;1;-;197;-;-;164;-;-;-;-;-;-;-;60;-;-;4501;111069
05/2024;qtd_aprovada;"352490 JAMBEIRO";-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1655;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1686
05/2024;qtd_aprovada;"352500 JANDIRA";2630;204;251;64860;-;3347;509;-;-;-;-;-;1331;-;-;2194;99054;889;-;-;-;-;101049;-;-;283;-;45;-;-;-;-;-;-;-;-;-;206;-;-;-;-;-;-;-;-;-;-;-;-;-;-;276852
05/2024;qtd_aprovada;"352510 JARDINOPOLIS";16362;44;222;-;-;-;-;-;-;-;-;-;-;-;-;1145;30083;-;-;-;-;-;912;-;-;128;-;6;-;-;-;-;-;-;-;-;-;185;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49087
05/2024;qtd_aprovada;"352520 JARINU";-;-;-;26174;-;1328;597;-;-;-;-;-;209;-;-;-;20549;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1957;50854
05/2024;qtd_aprovada;"352530 JAU";4197;-;1942;62760;4186;7840;1217;4683;178;606;375;-;2842;6036;-;2005;134702;2165;272;4261;2343;3311;743;962;-;635;-;1;100;4;10;22;53;-;-;2;3;57;-;-;202;31;486;-;-;-;52;-;14;28;-;-;249326
05/2024;qtd_aprovada;"352540 JERIQUARA";56;202;-;-;-;-;-;-;-;-;-;-;-;-;-;-;198;160;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;653
05/2024;qtd_aprovada;"352550 JOANOPOLIS";598;101;130;1295;-;-;6;-;-;-;-;-;-;-;-;1239;7916;-;-;-;-;-;451;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11763
05/2024;qtd_aprovada;"352560 JOAO RAMALHO";3076;79;8;1661;-;-;50;-;-;-;-;-;13;-;-;193;1545;399;-;-;-;-;-;-;-;3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7029
05/2024;qtd_aprovada;"352570 JOSE BONIFACIO";10914;83;159;107;-;2397;290;22;-;-;54;-;348;-;-;1308;45111;1629;127;-;-;-;1275;68;-;135;-;118;-;-;-;-;-;-;-;-;-;200;-;-;-;-;-;-;-;-;-;-;62;-;-;-;64407
05/2024;qtd_aprovada;"352580 JULIO MESQUITA";-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86
05/2024;qtd_aprovada;"352585 JUMIRIM";726;13;-;1084;-;-;-;-;-;-;-;-;-;-;-;-;276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2099
05/2024;qtd_aprovada;"352590 JUNDIAI";11980;1375;24896;284459;3837;27362;11690;4408;1067;160;920;24;29784;5587;3;16696;428088;5112;5120;2093;2048;2930;11582;1164;-;1110;-;256;1030;-;4;167;8;1;-;-;-;1713;3;-;120;3;-;-;-;3;3;-;909;99;-;-;887814
05/2024;qtd_aprovada;"352600 JUNQUEIROPOLIS";120;-;3621;4659;-;855;-;-;-;-;-;-;388;-;291;456;13750;1008;159;-;-;-;10;133;-;38;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62;-;-;4773;30328
05/2024;qtd_aprovada;"352610 JUQUIA";-;507;3659;8638;-;566;180;-;-;-;-;-;343;-;-;593;20690;451;-;-;-;-;134;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;35840
05/2024;qtd_aprovada;"352620 JUQUITIBA";-;768;3782;-;-;2381;103;-;-;-;-;-;320;-;-;433;17259;297;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25361
05/2024;qtd_aprovada;"352630 LAGOINHA";-;5;-;-;-;-;-;-;-;-;-;-;10;-;-;47;1648;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1710
05/2024;qtd_aprovada;"352640 LARANJAL PAULISTA";765;-;312;4026;-;1450;203;-;-;-;17;-;264;-;1;828;30451;825;32;-;-;18;504;34;-;239;-;-;-;-;3;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;110;40164
05/2024;qtd_aprovada;"352650 LAVINIA";3121;-;93;14;-;-;-;-;-;-;-;-;-;-;-;1080;6179;-;-;-;-;-;187;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;1073;11764
05/2024;qtd_aprovada;"352660 LAVRINHAS";-;-;-;-;-;108;-;-;-;-;-;-;-;-;-;-;-;213;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;321
05/2024;qtd_aprovada;"352670 LEME";26486;213;3559;50682;87;5800;1326;185;642;-;79;-;2290;-;-;3751;103139;1767;25;-;1495;-;4888;37;-;1177;-;104;45;-;1;10;1;-;-;-;-;884;14;-;-;17;-;-;-;-;-;-;392;8;-;7875;216979
05/2024;qtd_aprovada;"352680 LENCOIS PAULISTA";30540;608;3066;38594;29;3742;604;400;-;-;139;-;410;-;-;5401;93875;10565;1;-;-;-;1159;57;-;212;-;184;21;-;8;-;5;-;-;-;-;179;-;-;133;-;-;-;-;-;-;-;-;-;-;-;189932
05/2024;qtd_aprovada;"352690 LIMEIRA";4637;760;2975;140967;2196;13529;2451;1743;137;41;642;6;5197;1444;73;1232;147772;5511;633;877;2079;1560;2137;211;-;356;18;258;555;2;4;44;36;-;-;-;119;641;-;-;75;17;-;-;-;-;-;-;290;15;-;4451;345691
05/2024;qtd_aprovada;"352700 LINDOIA";4;-;66;59968;-;378;1168;-;-;-;209;-;1909;-;-;-;1948;634;-;-;-;-;756;-;-;235;-;56;16;-;14;-;-;-;-;-;-;78;5;-;-;-;-;-;-;-;-;-;54;-;-;-;67498
05/2024;qtd_aprovada;"352710 LINS";556;124;42;22075;-;3807;287;119;-;-;-;-;251;-;-;363;19080;-;4;-;-;-;458;-;-;69;-;4;-;-;1;4;-;-;-;-;-;148;-;-;-;-;-;-;-;-;-;-;45;-;-;-;47437
05/2024;qtd_aprovada;"352720 LORENA";435;96;522;44603;609;4477;2641;1188;43;-;681;-;3661;14;-;2593;48083;857;30;-;-;23;1893;-;-;329;-;10;121;18;-;-;4;-;-;-;-;476;-;-;203;-;-;-;-;-;-;-;65;-;-;-;113675
05/2024;qtd_aprovada;"352725 LOURDES";2905;-;200;14;-;1;-;-;-;-;-;-;-;-;-;102;6604;-;-;-;-;-;343;9;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;9;-;-;-;10218
05/2024;qtd_aprovada;"352730 LOUVEIRA";16;197;29;38307;381;2936;1587;495;-;-;138;-;3102;-;-;791;46244;2503;100;-;-;-;138;58;-;523;-;4;4;-;75;6;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;1;-;-;-;97695
05/2024;qtd_aprovada;"352740 LUCELIA";13079;-;337;1534;-;467;-;-;-;-;-;-;73;-;-;563;17888;1669;1;-;-;-;564;-;-;32;-;10;-;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;21;-;-;-;36312
05/2024;qtd_aprovada;"352750 LUCIANOPOLIS";1933;6;194;-;-;7;-;-;-;-;-;-;-;-;-;219;5244;90;1;-;-;-;180;-;-;1;-;6;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7889
05/2024;qtd_aprovada;"352760 LUIS ANTONIO";-;-;-;6091;-;620;-;-;-;-;-;-;-;-;-;-;321;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7032
05/2024;qtd_aprovada;"352770 LUIZIANIA";6519;2;159;-;-;-;21;-;-;-;-;-;14;-;-;313;9493;283;-;-;-;-;130;-;-;7;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16950
05/2024;qtd_aprovada;"352780 LUPERCIO";3555;-;97;-;-;-;-;-;-;-;-;-;-;-;-;55;20830;-;-;-;-;-;132;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24683
05/2024;qtd_aprovada;"352790 LUTECIA";-;-;-;2151;-;-;-;-;-;-;-;-;-;-;-;-;1081;160;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3392
05/2024;qtd_aprovada;"352800 MACATUBA";4224;121;340;5565;-;497;42;-;-;-;-;-;138;-;-;826;15333;865;-;-;-;-;1171;-;-;1;-;-;-;-;-;-;-;-;-;-;-;162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29285
05/2024;qtd_aprovada;"352810 MACAUBAL";-;59;-;1526;-;172;-;-;-;-;-;-;40;-;-;-;2452;252;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;3421;7961
05/2024;qtd_aprovada;"352820 MACEDONIA";1239;4;170;-;-;-;-;-;-;-;-;-;61;-;-;3;601;389;-;-;-;-;4;-;-;17;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;2518
05/2024;qtd_aprovada;"352830 MAGDA";-;15;1;1703;-;5;-;-;-;-;-;-;-;-;-;-;78;335;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;8;-;-;-;2157
05/2024;qtd_aprovada;"352840 MAIRINQUE";-;125;917;18975;1001;1457;114;-;-;-;-;-;192;-;-;1412;44767;325;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69322
05/2024;qtd_aprovada;"352850 MAIRIPORA";15762;90;4158;53858;42;5249;744;263;-;-;-;-;325;-;-;6524;109187;531;32;-;-;-;1632;-;-;137;-;194;-;-;-;-;-;-;-;-;-;268;-;-;-;-;-;-;-;-;-;-;63;-;-;-;199059
05/2024;qtd_aprovada;"352860 MANDURI";-;15;-;361;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;379
05/2024;qtd_aprovada;"352870 MARABA PAULISTA";816;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;824
05/2024;qtd_aprovada;"352880 MARACAI";8084;7097;54;10160;-;1;162;-;-;-;-;-;106;-;16;315;14878;-;11;-;-;-;652;-;-;28;-;-;49;-;-;-;2;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;32;-;-;-;41727
05/2024;qtd_aprovada;"352885 MARAPOAMA";2065;4;269;3;-;1;-;-;-;-;-;-;7;-;-;144;8089;424;-;-;-;-;182;-;-;3;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;8;-;-;353;11571
05/2024;qtd_aprovada;"352890 MARIAPOLIS";5877;1221;1154;3;-;14;-;-;-;-;-;-;49;-;-;188;3495;89;-;-;-;-;271;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;20;-;-;-;12392
05/2024;qtd_aprovada;"352900 MARILIA";385;538;520;191100;2393;14991;4149;2099;771;249;593;101;21059;10929;1758;180;107914;3523;835;1325;3081;3607;289;858;-;2212;-;95;832;29;12;24;122;-;-;2;-;102;-;-;227;29;215;-;-;2;28;838185;2301;150;-;-;1217814
05/2024;qtd_aprovada;"352910 MARINOPOLIS";-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;202;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;861;1102
05/2024;qtd_aprovada;"352920 MARTINOPOLIS";-;-;3;12;-;855;215;-;-;-;-;-;251;-;-;168;11586;999;45;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;14203
05/2024;qtd_aprovada;"352930 MATAO";7317;-;3556;13614;26;2702;1147;150;120;-;111;-;352;200;-;4303;52633;-;37;-;1980;256;1927;-;-;185;-;24;2;4;-;-;26;-;-;-;-;357;30;-;-;18;-;-;-;-;-;-;-;36;-;-;91113
05/2024;qtd_aprovada;"352940 MAUA";685;23683;19190;172281;1895;14099;4249;909;-;-;346;-;7837;113;-;14599;253504;2606;437;-;-;92;1515;56;-;789;-;18;161;1;26;36;1;-;-;-;-;199;-;-;18;-;-;-;-;-;-;-;22;-;-;-;519367
05/2024;qtd_aprovada;"352950 MENDONCA";4105;15;236;1212;-;3;-;-;-;-;-;-;4;-;-;814;12648;119;-;-;-;-;339;-;-;2;-;3;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;30;-;-;831;20410
05/2024;qtd_aprovada;"352960 MERIDIANO";-;17;-;-;-;-;-;-;-;-;-;-;5;-;-;-;249;163;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;461
05/2024;qtd_aprovada;"352965 MESOPOLIS";1;4;519;-;-;-;-;-;-;-;-;-;-;-;134;-;1568;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2226
05/2024;qtd_aprovada;"352970 MIGUELOPOLIS";221;34;1;4283;-;890;-;-;-;-;-;-;212;-;-;240;14805;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20686
05/2024;qtd_aprovada;"352980 MINEIROS DO TIETE";8702;120;716;-;-;-;-;-;-;-;-;-;28;-;-;907;14446;-;-;-;-;-;96;-;-;19;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25073
05/2024;qtd_aprovada;"352990 MIRACATU";5;82;-;5108;-;1232;189;-;-;-;-;-;150;-;-;1058;26688;270;69;-;-;-;-;-;-;10;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34862
05/2024;qtd_aprovada;"353000 MIRA ESTRELA";349;17;2082;-;-;-;-;-;-;-;-;-;13;-;-;-;2767;294;-;-;-;-;-;116;-;8;-;1;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;53;5712
05/2024;qtd_aprovada;"353010 MIRANDOPOLIS";8404;-;104;3589;-;1449;566;931;-;-;-;-;147;-;-;1480;37680;1158;30;-;-;-;560;-;-;22;-;2;-;-;-;21;-;-;-;1;-;81;-;-;34;-;-;-;-;-;-;-;36;-;-;-;56295
05/2024;qtd_aprovada;"353020 MIRANTE DO PARANAPANEMA";5283;44;40;9237;-;1112;562;-;-;-;-;-;914;-;-;383;10864;1030;-;-;-;-;232;-;-;5;-;-;2;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;16;-;-;150;29909
05/2024;qtd_aprovada;"353030 MIRASSOL";251;-;1412;31504;-;3070;237;-;-;-;-;-;820;-;-;254;33030;981;51;-;-;-;748;-;-;100;-;-;19;-;-;-;-;-;-;-;-;152;-;-;-;-;-;-;-;-;-;-;27;-;-;-;72656
05/2024;qtd_aprovada;"353040 MIRASSOLANDIA";406;40;553;-;-;-;-;-;-;-;-;-;-;-;-;738;8182;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10018
05/2024;qtd_aprovada;"353050 MOCOCA";4956;-;3;19247;10;2672;242;109;-;-;-;-;541;-;-;562;58968;4527;15;-;-;-;1983;74;-;47;-;47;-;-;-;-;-;-;-;-;-;202;-;-;45;-;-;-;-;-;-;-;307;-;-;-;94557
05/2024;qtd_aprovada;"353060 MOGI DAS CRUZES";6044;432;17279;241898;2799;17155;7054;2764;482;79;906;3;15122;851;-;12908;334224;20596;1982;1292;3958;493;1618;287;-;1199;-;88;107;93;183;19;76;5;-;-;-;363;1;-;387;52;-;-;-;-;-;716986;8019;82;-;-;1417886
05/2024;qtd_aprovada;"353070 MOGI GUACU";1089;-;3249;58360;255;3572;3118;599;-;-;428;-;2386;58;-;2094;88538;1701;107;843;-;80;35;300;-;284;-;39;212;-;2;18;6;-;-;-;-;7;-;-;108;-;-;-;-;-;-;-;52;-;-;-;167540
05/2024;qtd_aprovada;"353080 MOGI MIRIM";14679;370;5338;23095;-;5205;958;497;-;-;-;-;1430;19;-;3074;93961;4619;102;-;1811;14;2320;-;-;354;-;18;32;4;2;15;1;-;-;-;-;371;-;-;-;14;-;-;-;-;-;-;50;22;-;-;158375
05/2024;qtd_aprovada;"353090 MOMBUCA";77;44;19;-;-;12;-;-;-;-;-;-;33;-;-;4;207;460;-;-;-;-;26;-;-;7;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87;-;-;-;978
05/2024;qtd_aprovada;"353100 MONCOES";100;12;-;547;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;665
05/2024;qtd_aprovada;"353110 MONGAGUA";-;175;13423;-;-;5679;549;257;-;-;-;-;2310;16;-;4273;59417;328;138;-;-;-;-;37;-;95;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8104;94804
05/2024;qtd_aprovada;"353120 MONTE ALEGRE DO SUL";3436;-;169;6379;-;12;-;-;-;-;-;-;80;-;-;521;10383;336;-;-;-;-;435;-;-;54;-;3;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21835
