periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
01/2024;qtd_aprovada;"510420 GUIRATINGA";4882;-;18;3628;-;316;-;-;-;-;-;-;-;-;5;569;7533;187;-;-;-;-;235;-;-;1;-;1;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;1020;18445
01/2024;qtd_aprovada;"510450 INDIAVAI";-;29;-;360;-;-;-;-;-;-;-;-;-;-;1;1;249;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;954;1594
01/2024;qtd_aprovada;"510452 IPIRANGA DO NORTE";5974;53;71;-;-;12;-;-;-;-;-;-;2;-;-;382;10564;399;-;-;-;-;233;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;1111;18823
01/2024;qtd_aprovada;"510454 ITANHANGA";1732;36;1836;1812;-;126;2;14;9;-;-;-;36;-;-;30;2477;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;8148
01/2024;qtd_aprovada;"510455 ITAUBA";3517;44;36;-;-;-;-;-;-;-;-;-;26;-;-;250;4217;42;-;-;-;-;49;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;8188
01/2024;qtd_aprovada;"510460 ITIQUIRA";3629;146;38;7609;-;348;214;-;-;-;-;-;4;-;-;434;11138;450;-;-;-;-;774;1;-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;24854
01/2024;qtd_aprovada;"510480 JACIARA";1424;335;281;5397;-;668;195;66;-;-;1;-;259;36;5;1016;18943;396;30;-;-;18;-;-;-;23;-;2;15;-;8;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;1;-;-;4805;33945
01/2024;qtd_aprovada;"510490 JANGADA";2012;31;-;4163;-;-;11;6;3;-;-;-;327;-;-;4481;13759;203;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;603;25599
01/2024;qtd_aprovada;"510500 JAURU";1152;-;2;946;-;95;-;-;8;-;-;-;32;-;17;76;2531;34;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;4961
01/2024;qtd_aprovada;"510510 JUARA";9194;22;844;10955;-;1338;305;186;63;-;10;-;484;319;2;619;23847;2265;120;-;-;581;-;8;-;909;-;4;1;16;1;-;45;-;-;-;-;-;71;-;-;-;-;-;-;-;-;5;-;-;9267;61481
01/2024;qtd_aprovada;"510515 JUINA";162;1304;188;21361;180;1939;179;226;-;-;10;-;153;2555;-;398;24594;454;-;-;-;411;-;-;-;129;-;13;-;-;-;-;-;-;-;-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;25410;79755
01/2024;qtd_aprovada;"510517 JURUENA";849;565;5;901;-;180;19;-;65;-;-;-;8;-;2;80;1325;77;-;-;-;-;-;-;-;41;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;4122
01/2024;qtd_aprovada;"510520 JUSCIMEIRA";103;39;1771;5700;-;340;-;-;-;-;-;-;304;-;10;270;11097;18;2;-;-;-;-;-;-;17;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;411;20098
01/2024;qtd_aprovada;"510523 LAMBARI D'OESTE";-;-;29;500;-;-;-;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;595
01/2024;qtd_aprovada;"510525 LUCAS DO RIO VERDE";17292;918;493;23905;457;1843;118;-;-;-;-;-;503;-;1;8777;120165;124;9;-;-;-;4428;2;-;352;-;53;-;-;-;-;-;-;-;-;-;308;2;-;-;-;-;-;-;-;-;-;-;-;7524;187274
01/2024;qtd_aprovada;"510530 LUCIARA";-;-;2;1225;-;-;-;-;-;-;-;-;15;-;-;22;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1336
01/2024;qtd_aprovada;"510550 VILA BELA DA SANTISSIMA TRINDADE";12583;-;82;2047;-;7;84;-;-;-;-;-;-;-;-;775;15780;35;-;-;-;-;495;1;-;6;-;1;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;1;-;-;3980;35947
01/2024;qtd_aprovada;"510558 MARCELANDIA";15454;535;200;2869;-;293;26;-;-;-;-;-;114;-;39;547;20705;102;7;-;-;1;355;160;-;96;-;6;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;1823;43381
