periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
01/2025;qtd_aprovada;"260700 INAJA";-;29;-;-;-;146;-;-;-;-;-;-;46;-;-;573;9351;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10176
01/2025;qtd_aprovada;"260710 INGAZEIRA";75;112;6;240;-;-;18;-;-;-;-;-;83;-;-;194;3342;165;1;-;-;-;20;-;-;-;-;309;-;6;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;42;-;-;3419;-;-;-;-;-;8048
01/2025;qtd_aprovada;"260720 IPOJUCA";406;234;2145;54476;234;4205;2834;-;-;-;38;-;1157;-;-;7537;101151;670;6;-;-;-;748;-;-;-;-;99;-;78;-;-;-;-;-;-;1;-;-;221;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;176242
01/2025;qtd_aprovada;"260730 IPUBI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4528;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;4535
01/2025;qtd_aprovada;"260740 ITACURUBA";-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;164;2490;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1486;-;-;-;-;-;4151
01/2025;qtd_aprovada;"260750 ITAIBA";2616;95;-;-;-;231;-;-;-;-;-;-;51;-;-;515;11650;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;16;-;-;-;-;-;15257
01/2025;qtd_aprovada;"260760 ILHA DE ITAMARACA";4698;99;-;-;-;-;-;-;-;-;-;-;-;-;-;862;9625;259;-;-;-;-;-;-;-;-;-;9;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15555
01/2025;qtd_aprovada;"260765 ITAMBE";-;-;-;104;-;371;-;-;-;-;-;-;-;-;-;736;12218;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13452
01/2025;qtd_aprovada;"260770 ITAPETIM";2;36;-;2200;-;307;151;-;-;-;-;-;89;-;5;240;6506;362;-;-;-;-;-;-;-;-;-;98;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;2730;-;-;-;-;-;12789
01/2025;qtd_aprovada;"260775 ITAPISSUMA";547;108;-;13694;-;364;-;-;-;-;-;-;192;-;-;683;8678;884;-;-;-;-;364;-;-;-;-;38;-;28;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25624
01/2025;qtd_aprovada;"260780 ITAQUITINGA";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;223;13938;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14190
01/2025;qtd_aprovada;"260790 JABOATAO DOS GUARARAPES";156389;1102;6003;162938;871;11597;6574;302;27;-;356;-;12139;-;-;6533;181510;2727;4354;-;5651;-;2831;-;443;3;-;885;-;147;542;-;-;25;31;-;-;-;-;619;-;-;67;-;-;-;-;-;-;-;180;121;-;-;-;-;-;-;-;564967
01/2025;qtd_aprovada;"260795 JAQUEIRA";869;-;-;-;-;348;-;-;-;-;-;-;274;-;-;941;4666;-;20;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7266
01/2025;qtd_aprovada;"260800 JATAUBA";82;400;401;2029;-;499;133;-;-;-;34;-;91;-;6;129;6906;251;2;-;-;-;-;-;-;-;-;360;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;232;-;-;-;-;-;11592
01/2025;qtd_aprovada;"260805 JATOBA";21;9;1;1780;-;112;81;-;-;-;-;-;31;-;-;508;113202;40;-;-;-;-;146;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;116018
01/2025;qtd_aprovada;"260810 JOAO ALFREDO";64;13;-;1308;-;266;-;-;-;-;-;-;23;-;-;333;6442;434;-;-;-;-;-;-;184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;764;-;-;-;-;-;9831
01/2025;qtd_aprovada;"260820 JOAQUIM NABUCO";-;-;-;232;-;-;-;-;-;-;-;-;-;-;-;186;1076;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1513
01/2025;qtd_aprovada;"260825 JUCATI";10;26;12;2658;-;212;114;-;-;-;-;-;47;-;-;997;4494;81;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;8732
01/2025;qtd_aprovada;"260830 JUPI";100;59;-;187;-;64;-;-;-;-;-;-;102;-;-;24;6654;-;-;-;-;-;112;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;7384
01/2025;qtd_aprovada;"260840 JUREMA";728;-;-;-;-;-;-;-;-;-;-;-;-;-;-;426;10592;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;11778
01/2025;qtd_aprovada;"260845 LAGOA DO CARRO";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;997;9814;292;-;-;-;-;-;-;-;-;-;134;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11239
01/2025;qtd_aprovada;"260850 LAGOA DE ITAENGA";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;965;11337;387;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;352;-;-;-;-;-;13051
01/2025;qtd_aprovada;"260860 LAGOA DO OURO";34;-;9;66;-;190;296;-;-;-;32;-;63;-;-;356;5698;518;-;-;-;-;410;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;7737
01/2025;qtd_aprovada;"260870 LAGOA DOS GATOS";2845;97;-;329;-;-;-;-;-;-;-;-;-;-;-;177;2488;457;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6416
01/2025;qtd_aprovada;"260875 LAGOA GRANDE";-;-;396;1446;-;419;-;-;-;-;-;-;10;-;-;414;6647;-;1;-;-;1;-;-;-;-;-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;9436
01/2025;qtd_aprovada;"260880 LAJEDO";-;25;40;4037;-;631;139;-;-;-;-;-;108;-;-;1078;26908;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;33032
01/2025;qtd_aprovada;"260890 LIMOEIRO";836;133;2842;55707;804;1826;1682;-;-;-;271;-;5319;-;-;789;33868;3989;1064;-;-;-;771;-;395;-;-;217;-;142;12;-;-;-;-;-;-;-;-;365;35;-;-;-;-;-;-;-;-;-;122;-;-;597;-;-;-;-;-;111786
01/2025;qtd_aprovada;"260900 MACAPARANA";1080;30;7;2018;-;258;50;-;-;-;-;-;120;-;-;439;8895;488;1;-;-;-;9;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;286;-;-;-;-;-;13686
01/2025;qtd_aprovada;"260910 MACHADOS";1329;63;-;1081;-;-;56;-;-;-;-;-;-;-;-;96;7660;633;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;544;-;-;-;-;-;11525
01/2025;qtd_aprovada;"260915 MANARI";866;82;85;587;-;143;57;-;-;-;-;-;15;-;15;441;6555;-;-;-;-;-;320;-;-;-;-;97;-;16;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;64;-;-;298;-;-;-;-;-;9644
01/2025;qtd_aprovada;"260920 MARAIAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3594;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;1134;-;-;-;-;-;4767
01/2025;qtd_aprovada;"260930 MIRANDIBA";-;-;-;966;-;-;-;-;-;-;-;-;60;-;-;1610;9185;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;1699;-;-;-;-;-;13546
01/2025;qtd_aprovada;"260940 MORENO";4889;125;7;23109;-;679;391;-;-;-;-;-;107;-;-;665;20172;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50177
01/2025;qtd_aprovada;"260950 NAZARE DA MATA";8474;12;14;8121;-;793;169;-;-;-;-;-;358;-;-;82;27152;457;-;-;-;-;25;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;168;-;-;-;-;-;45863
01/2025;qtd_aprovada;"260960 OLINDA";3606;866;1763;101041;552;5795;1603;-;63;-;-;-;7857;-;-;5194;143015;1468;2516;-;1630;-;1320;-;279;-;-;589;-;131;290;-;-;6;-;-;-;-;1;366;-;-;16;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;279979
01/2025;qtd_aprovada;"260970 OROBO";-;34;-;1842;-;407;300;-;-;-;-;-;47;-;-;400;6234;161;-;-;-;-;-;-;-;-;-;47;-;3;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9485
01/2025;qtd_aprovada;"260980 OROCO";-;8;-;1026;-;-;-;-;-;-;-;-;-;-;-;387;5273;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2990;-;-;-;-;-;9764
01/2025;qtd_aprovada;"260990 OURICURI";-;-;-;3228;-;328;120;364;53;-;9;-;110;-;-;183;5813;110;46;-;-;9;-;-;1;-;-;21;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5689;-;-;-;-;-;16087
01/2025;qtd_aprovada;"261000 PALMARES";499;153;27;54440;2;2819;515;736;133;-;86;-;1252;-;-;506;33546;1408;59;-;3860;365;399;-;1;-;-;44;-;9;-;-;1;319;-;-;-;-;-;99;-;-;36;-;-;-;-;-;-;-;59;57;-;-;-;-;-;-;-;101430
01/2025;qtd_aprovada;"261010 PALMEIRINA";-;7;44;1267;-;-;76;-;-;-;-;-;-;-;-;115;1657;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3166
01/2025;qtd_aprovada;"261020 PANELAS";3770;439;28;383;-;1;41;-;-;-;-;-;28;-;-;572;10233;210;-;-;-;-;81;-;-;-;-;35;-;7;-;-;-;-;-;-;-;-;-;51;5;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;15928
01/2025;qtd_aprovada;"261030 PARANATAMA";115;19;49;343;-;17;-;-;-;-;-;-;9;-;-;390;4758;-;-;-;-;-;147;-;-;-;-;18;-;1;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;5920
01/2025;qtd_aprovada;"261040 PARNAMIRIM";3750;25;-;-;-;-;-;-;-;-;-;-;78;-;-;455;7378;-;-;-;-;-;49;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;40;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11787
01/2025;qtd_aprovada;"261050 PASSIRA";-;44;-;1637;-;-;-;-;-;-;-;-;-;-;-;81;8860;59;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;161;-;-;-;-;-;10865
01/2025;qtd_aprovada;"261060 PAUDALHO";2817;153;2060;18869;-;1265;788;-;-;-;-;-;90;-;-;5789;24555;1332;-;-;-;-;1058;-;-;-;-;6;-;6;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;58877
01/2025;qtd_aprovada;"261070 PAULISTA";16963;561;864;85987;241;4769;765;957;-;-;32;-;2511;-;-;1977;55463;4482;101;-;3529;-;734;-;2;-;-;515;-;16;63;-;3;39;11;-;-;-;-;10;-;35;34;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;180715
01/2025;qtd_aprovada;"261080 PEDRA";4277;102;-;1012;-;223;89;-;-;-;-;-;18;-;-;672;6089;405;-;-;-;-;88;-;-;-;-;135;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;13148
01/2025;qtd_aprovada;"261090 PESQUEIRA";6081;6225;94;9965;-;1042;181;-;-;-;-;-;213;-;-;1263;33359;321;146;-;-;1;-;-;-;-;-;40;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;3384;-;-;-;-;-;62377
01/2025;qtd_aprovada;"261100 PETROLANDIA";339;124;143;13636;-;732;137;33;-;-;10;-;171;21;-;3426;19120;380;4;-;-;21;413;-;101;-;-;41;-;-;-;10;-;-;-;-;-;-;-;235;-;-;-;-;-;-;-;-;-;-;43;-;-;25259;-;-;-;-;-;64399
01/2025;qtd_aprovada;"261110 PETROLINA";1354;4;5891;139765;463;6060;2967;2880;410;115;262;-;6342;-;83;3648;102577;1224;239;2029;1806;-;1103;-;273;-;-;814;-;39;270;-;37;108;13;-;-;1;-;347;23;2;19;-;-;-;-;-;-;-;92;21;-;49681;-;-;-;-;-;330962
01/2025;qtd_aprovada;"261120 POCAO";-;135;221;744;-;-;93;-;-;-;-;-;-;-;-;2594;14739;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;490;-;-;-;-;-;19078
01/2025;qtd_aprovada;"261130 POMBOS";-;98;19;665;-;264;41;-;-;-;-;-;91;-;-;456;8396;142;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;149;-;-;-;-;-;10331
01/2025;qtd_aprovada;"261140 PRIMAVERA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
01/2025;qtd_aprovada;"261150 QUIPAPA";272;33;15;993;-;-;159;-;-;-;-;-;112;-;-;997;7325;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;353;-;-;-;-;-;10344
01/2025;qtd_aprovada;"261153 QUIXABA";147;129;-;-;-;-;149;-;-;-;-;-;94;-;-;169;4495;283;-;-;-;-;59;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5546;-;-;-;-;-;11079
01/2025;qtd_aprovada;"261160 RECIFE";24459;3502;16236;1304136;20725;41743;39046;16005;6709;2131;2986;486;227998;96423;790;19875;1222355;48985;15361;13636;29194;35104;9788;-;2011;-;-;7280;499;464;6722;755;278;182;70;-;-;13;631;1431;4;2999;359;4801;48;90;29;2511;-;3715242;26997;417;-;2602;-;-;-;-;-;6974108
01/2025;qtd_aprovada;"261170 RIACHO DAS ALMAS";13;2556;14;2486;-;577;138;-;-;-;-;-;217;-;-;557;15119;765;-;-;-;-;64;-;352;-;-;44;-;54;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22990
01/2025;qtd_aprovada;"261180 RIBEIRAO";25;8;26;746;-;406;-;-;-;-;-;-;-;-;-;889;9112;651;-;-;-;-;103;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;121;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12091
01/2025;qtd_aprovada;"261190 RIO FORMOSO";-;-;-;-;-;599;-;-;-;-;-;-;414;-;-;1518;14949;-;-;-;-;-;-;-;-;-;-;466;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17946
01/2025;qtd_aprovada;"261200 SAIRE";2422;6;-;438;-;-;-;-;-;-;-;-;-;-;-;1158;5247;-;-;-;-;-;34;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9312
01/2025;qtd_aprovada;"261210 SALGADINHO";62;12;-;-;-;-;170;-;-;-;-;-;-;-;-;85;1297;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;636;-;-;-;-;-;2270
01/2025;qtd_aprovada;"261220 SALGUEIRO";12;112;15;14053;-;4974;607;24;-;-;111;-;7223;-;-;407;15307;414;322;-;1914;9;235;-;1;-;-;354;-;7;291;-;7;11;-;-;-;-;-;-;3;-;12;-;-;-;-;-;-;-;20;30;-;-;-;-;-;-;-;46475
01/2025;qtd_aprovada;"261230 SALOA";2;135;-;-;-;357;158;-;-;-;-;-;-;-;-;-;7250;448;-;-;-;-;133;-;-;-;-;18;-;4;-;7;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;8614
01/2025;qtd_aprovada;"261240 SANHARO";11735;465;11;1872;73;15;105;-;-;-;-;-;152;-;-;538;9939;361;-;-;-;-;103;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;31;-;-;415;-;-;-;-;-;25871
01/2025;qtd_aprovada;"261245 SANTA CRUZ";18;-;-;2656;-;251;20;4;7;-;-;-;-;-;-;132;5690;62;-;-;-;-;121;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;56;-;-;2870;-;-;-;-;-;11956
01/2025;qtd_aprovada;"261247 SANTA CRUZ DA BAIXA VERDE";4660;-;5;305;-;253;46;-;-;-;-;-;3;-;18;20;5923;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;372;-;-;-;-;-;11646
01/2025;qtd_aprovada;"261250 SANTA CRUZ DO CAPIBARIBE";7528;424;686;11238;446;2877;130;36;-;-;56;-;99;-;24;1978;48566;1995;-;-;-;-;105;-;-;-;-;37;-;1;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;-;-;1793;-;-;-;-;-;78115
01/2025;qtd_aprovada;"261255 SANTA FILOMENA";-;-;-;-;-;-;5;-;-;-;-;-;34;-;-;-;1966;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2005
01/2025;qtd_aprovada;"261260 SANTA MARIA DA BOA VISTA";3832;105;-;3065;-;301;3;-;-;-;-;-;39;-;-;1083;22908;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;8976;-;-;-;-;-;40395
01/2025;qtd_aprovada;"261270 SANTA MARIA DO CAMBUCA";-;-;-;4387;-;-;-;-;-;-;-;-;-;-;-;930;7507;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;328;-;-;-;-;-;13157
01/2025;qtd_aprovada;"261280 SANTA TEREZINHA";-;-;-;190;-;244;116;-;-;-;-;-;-;-;-;61;161;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;550;-;-;-;-;-;1339
01/2025;qtd_aprovada;"261290 SAO BENEDITO DO SUL";3;15;-;-;-;-;-;-;-;-;-;-;-;-;-;169;3192;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;3402
01/2025;qtd_aprovada;"261300 SAO BENTO DO UNA";3;262;23;2736;247;373;392;-;-;-;-;-;187;-;-;689;31417;241;-;-;-;-;58;-;-;-;-;1203;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;1750;-;-;-;-;-;39601
01/2025;qtd_aprovada;"261310 SAO CAITANO";6856;1138;-;9592;24;911;284;-;-;-;-;-;282;-;-;1561;25936;1129;-;-;-;-;62;-;14;-;-;45;-;12;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62;-;-;114;-;-;-;-;-;48030
01/2025;qtd_aprovada;"261320 SAO JOAO";73;3;61;439;-;21;-;-;-;-;-;-;-;-;-;250;11198;39;-;-;-;-;233;-;-;-;-;18;-;3;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12369
01/2025;qtd_aprovada;"261330 SAO JOAQUIM DO MONTE";4884;1098;-;1;-;-;51;-;-;-;-;-;93;-;-;727;16844;97;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23816
01/2025;qtd_aprovada;"261340 SAO JOSE DA COROA GRANDE";-;11;-;8065;-;-;-;-;-;-;-;-;-;-;-;3034;7676;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;394;-;-;-;-;-;19204
01/2025;qtd_aprovada;"261350 SAO JOSE DO BELMONTE";-;-;-;5631;-;-;-;-;-;-;-;-;105;-;-;1692;6878;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;14378
01/2025;qtd_aprovada;"261360 SAO JOSE DO EGITO";29;63;20;2953;-;549;126;-;-;-;-;-;175;-;-;651;15632;-;15;-;-;-;79;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;11276;-;-;-;-;-;31619
01/2025;qtd_aprovada;"261370 SAO LOURENCO DA MATA";674;234;3174;38166;-;4126;997;-;-;-;-;-;620;-;-;2650;47634;925;-;-;-;-;-;-;-;-;-;606;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;99836
01/2025;qtd_aprovada;"261380 SAO VICENTE FERRER";799;24;-;4053;-;483;-;-;-;-;-;-;38;-;-;752;5087;134;-;-;-;-;152;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;37;-;-;299;-;-;-;-;-;11900
01/2025;qtd_aprovada;"261390 SERRA TALHADA";298;1432;261;42746;704;1910;1484;570;49;-;254;-;12269;-;-;6750;33680;8746;4;-;1772;-;684;-;4;-;-;311;-;1;153;-;4;1;-;-;-;-;-;170;-;9;2;-;-;-;-;-;-;-;80;6;-;1486;-;-;-;-;-;115840
01/2025;qtd_aprovada;"261400 SERRITA";45;-;-;1648;87;-;-;-;-;-;-;-;43;-;-;-;2692;-;-;-;-;-;-;-;-;-;-;16;-;4;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;51;-;-;68;-;-;-;-;-;4659
01/2025;qtd_aprovada;"261410 SERTANIA";31;79;697;231;489;506;137;-;-;-;-;-;87;-;-;670;10169;177;-;-;-;-;464;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;59;-;-;5784;-;-;-;-;-;19625
