periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
12/2025;qtd_aprovada;"240720 MACAU";-;16;-;12032;-;437;106;-;-;-;-;-;678;-;-;696;17936;-;3;-;-;-;-;-;-;-;604;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;32557
12/2025;qtd_aprovada;"240725 MAJOR SALES";731;-;2;1043;-;-;-;-;-;-;-;-;39;-;-;-;2745;20;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;4596
12/2025;qtd_aprovada;"240730 MARCELINO VIEIRA";-;-;-;1272;-;-;-;-;-;-;-;-;-;-;-;-;385;31;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;1747
12/2025;qtd_aprovada;"240740 MARTINS";215;29;-;3580;-;-;62;-;-;-;-;-;345;-;-;495;9805;91;-;-;-;-;818;44;-;-;106;-;-;-;45;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;15730
12/2025;qtd_aprovada;"240750 MAXARANGUAPE";-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;138
12/2025;qtd_aprovada;"240760 MESSIAS TARGINO";-;45;-;3756;-;-;-;-;-;-;-;-;-;-;-;49;5312;-;-;-;-;-;-;-;-;-;8;-;-;-;10;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9182
12/2025;qtd_aprovada;"240770 MONTANHAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"240780 MONTE ALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36
12/2025;qtd_aprovada;"240790 MONTE DAS GAMELEIRAS";-;3;-;250;-;4;47;-;-;-;-;-;31;-;-;218;2723;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3276
12/2025;qtd_aprovada;"240800 MOSSORO";38411;2;691;140191;2291;4386;596;2447;702;121;216;-;6288;8130;77;3605;545496;3877;2077;2365;7004;2829;1257;749;-;-;612;-;1;456;476;40;4;-;-;-;-;-;69;-;-;41;22;-;-;-;-;-;223718;-;72;-;-;-;-;-;-;-;-;999319
12/2025;qtd_aprovada;"240810 NATAL";1494;20;966;510093;8151;20479;6062;7750;1258;574;1203;176;29965;28962;873;5255;357320;20319;5356;6599;20327;8200;769;1925;-;-;1088;-;317;1733;6;239;29;17;11;-;1;-;10604;74;557;175;568;-;21;3;170;-;-;13866;297;-;3009;-;-;-;-;-;-;1076881
12/2025;qtd_aprovada;"240820 NISIA FLORESTA";946;1;2484;5784;1;823;172;2;2;-;-;-;79;-;-;809;13199;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24315
12/2025;qtd_aprovada;"240830 NOVA CRUZ";1152;-;7;24289;-;1328;47;-;-;-;-;-;168;-;-;744;47665;1532;-;-;-;3;-;-;-;-;180;-;1;13;-;-;1;-;-;-;-;-;-;-;101;-;-;-;-;-;-;-;-;-;-;-;313;-;-;-;-;-;-;77544
12/2025;qtd_aprovada;"240840 OLHO-D'AGUA DO BORGES";-;-;-;431;-;-;-;-;-;-;-;-;-;-;-;-;925;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;1370
12/2025;qtd_aprovada;"240850 OURO BRANCO";-;7;-;675;-;-;61;-;-;-;-;-;-;-;-;125;693;126;-;-;-;-;-;-;-;-;150;-;6;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;1856
12/2025;qtd_aprovada;"240860 PARANA";648;16;-;1269;-;-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;2056
12/2025;qtd_aprovada;"240870 PARAU";-;-;-;1262;-;-;145;-;-;-;-;-;-;-;-;-;1614;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;289;-;-;-;-;-;-;3355
12/2025;qtd_aprovada;"240880 PARAZINHO";657;20;-;3547;-;-;104;-;-;-;18;-;28;-;-;623;8915;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;168;-;-;-;-;-;-;-;-;-;14087
12/2025;qtd_aprovada;"240890 PARELHAS";223;-;-;6336;-;356;-;-;-;-;-;-;182;-;-;-;33919;143;-;-;-;-;1095;-;-;-;104;-;2;-;-;-;-;-;-;-;-;-;408;-;-;-;-;-;-;-;-;-;-;60;-;-;42;-;-;-;-;-;-;42870
12/2025;qtd_aprovada;"240895 RIO DO FOGO";-;-;-;344;-;-;-;-;-;-;-;-;69;-;-;1033;9598;-;-;-;-;-;-;-;-;-;162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11206
12/2025;qtd_aprovada;"240910 PASSA E FICA";660;-;-;2152;-;53;53;-;-;-;-;-;9;-;-;501;7120;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3078;-;-;-;-;-;-;13640
12/2025;qtd_aprovada;"240920 PASSAGEM";665;88;1025;1020;-;-;-;-;-;-;-;-;-;-;-;14;937;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3749
12/2025;qtd_aprovada;"240930 PATU";-;7;-;685;-;27;-;-;-;-;-;-;94;-;-;261;7131;150;-;-;-;-;69;-;-;-;27;-;4;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8459
12/2025;qtd_aprovada;"240933 SANTA MARIA";48;33;99;707;-;-;-;-;-;-;-;-;38;-;-;40;4741;148;-;-;-;-;112;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;5999
12/2025;qtd_aprovada;"240940 PAU DOS FERROS";54;14;-;34902;1481;2175;382;1610;243;-;1;-;2782;1872;765;22;15911;4707;2;-;2427;902;-;-;-;-;343;-;45;71;-;-;-;-;-;-;-;-;-;-;-;12;2;-;-;-;-;-;132265;256;36;-;-;-;-;-;-;-;-;203282
12/2025;qtd_aprovada;"240950 PEDRA GRANDE";-;16;-;1582;-;-;-;-;-;-;-;-;30;-;-;78;4764;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;6551
12/2025;qtd_aprovada;"240960 PEDRA PRETA";-;97;-;-;-;-;-;-;-;-;-;-;41;-;-;261;1947;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2362
12/2025;qtd_aprovada;"240970 PEDRO AVELINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"240980 PEDRO VELHO";2425;-;796;4493;-;568;-;-;-;-;-;-;90;-;-;1300;10443;74;-;-;-;-;-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20306
12/2025;qtd_aprovada;"240990 PENDENCIAS";-;-;-;3299;-;578;-;-;-;-;-;-;153;-;-;1321;13412;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;18822
12/2025;qtd_aprovada;"241000 PILOES";544;27;-;888;-;-;-;-;-;-;-;-;-;-;-;146;1364;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2969
12/2025;qtd_aprovada;"241010 POCO BRANCO";182;28;1052;1072;-;-;-;-;-;-;-;-;257;-;-;1553;18295;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22501
12/2025;qtd_aprovada;"241020 PORTALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"241025 PORTO DO MANGUE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53
12/2025;qtd_aprovada;"241030 SERRA CAIADA";343;28;1613;1495;-;-;89;-;-;-;-;-;27;-;-;207;8579;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12385
12/2025;qtd_aprovada;"241040 PUREZA";46;6;27;2434;-;-;5;6;24;-;-;-;84;-;25;630;6744;-;-;-;-;-;-;-;-;-;40;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10074
12/2025;qtd_aprovada;"241050 RAFAEL FERNANDES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"241060 RAFAEL GODEIRO";-;-;-;1055;-;-;59;-;-;-;201;-;30;-;-;-;592;39;-;-;-;-;72;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;1;-;-;-;-;-;-;2117
12/2025;qtd_aprovada;"241070 RIACHO DA CRUZ";64;10;-;716;-;-;-;-;-;-;-;-;30;-;-;122;1955;-;-;-;-;-;-;-;-;-;473;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;3391
12/2025;qtd_aprovada;"241080 RIACHO DE SANTANA";-;-;-;987;-;-;61;-;-;-;-;-;80;-;-;171;2096;165;-;-;-;-;-;-;-;-;-;-;20;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3613
12/2025;qtd_aprovada;"241090 RIACHUELO";882;-;6;2026;-;-;101;-;-;-;48;-;25;-;-;108;5656;-;-;-;-;-;173;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9112
12/2025;qtd_aprovada;"241100 RODOLFO FERNANDES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"241105 TIBAU";-;-;-;705;-;-;-;-;-;-;-;-;100;-;-;-;4706;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5543
12/2025;qtd_aprovada;"241110 RUY BARBOSA";1263;6;8;1667;-;69;78;41;58;-;7;-;120;-;-;784;3694;-;-;-;-;-;44;-;-;-;120;-;30;-;-;-;-;-;-;-;-;70;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8089
12/2025;qtd_aprovada;"241120 SANTA CRUZ";9098;20;258;27320;359;1184;693;-;-;-;-;-;1131;4;-;2003;44294;389;844;-;2392;-;35;112;-;-;24;-;5;47;-;-;-;-;-;-;-;-;1;-;12;17;-;-;-;-;-;-;49787;-;19;-;4797;-;-;-;-;-;-;144845
12/2025;qtd_aprovada;"241140 SANTANA DO MATOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"241142 SANTANA DO SERIDO";-;20;-;1229;-;-;-;-;-;-;-;-;34;-;-;70;3197;-;-;-;-;-;-;-;-;-;346;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;4921
12/2025;qtd_aprovada;"241150 SANTO ANTONIO";6120;11;38;36899;-;723;324;20;34;-;15;-;254;22;-;988;19626;229;24;-;-;3;589;10;-;-;150;-;-;-;-;-;-;-;-;-;-;-;10;-;31;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;66122
12/2025;qtd_aprovada;"241160 SAO BENTO DO NORTE";138;33;-;-;-;-;-;-;-;-;-;-;-;-;-;102;2868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;3162
12/2025;qtd_aprovada;"241170 SAO BENTO DO TRAIRI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"241180 SAO FERNANDO";-;-;-;2120;-;25;20;6;3;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;1101;-;-;-;-;-;-;3359
12/2025;qtd_aprovada;"241190 SAO FRANCISCO DO OESTE";-;-;-;1858;-;-;-;-;-;-;-;-;-;-;-;-;590;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;2470
12/2025;qtd_aprovada;"241200 SAO GONCALO DO AMARANTE";1451;-;25;39944;362;2700;14;-;-;-;56;-;250;-;-;95;45189;462;410;-;-;-;-;-;-;-;2;-;4;127;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;91150
12/2025;qtd_aprovada;"241210 SAO JOAO DO SABUGI";24;-;3;179;-;39;141;126;24;-;-;-;68;-;-;-;7181;245;-;-;-;-;-;7;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;8125
12/2025;qtd_aprovada;"241220 SAO JOSE DE MIPIBU";13231;25;42;19392;-;686;614;256;361;5;193;-;1001;-;-;1503;35367;915;27;-;-;7;1089;485;-;-;98;-;-;-;-;13;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;348;-;-;67;-;-;-;-;-;-;75730
12/2025;qtd_aprovada;"241230 SAO JOSE DO CAMPESTRE";1130;34;1;1;-;-;41;-;-;-;-;-;6;-;-;455;5074;-;-;-;-;-;-;-;-;-;198;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;54;-;-;3790;-;-;-;-;-;-;10785
12/2025;qtd_aprovada;"241240 SAO JOSE DO SERIDO";396;15;8;8406;-;14;32;24;31;-;-;-;3;-;-;549;5166;586;-;-;-;-;75;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;5;2;-;-;-;-;-;-;-;-;35;-;-;539;-;-;-;-;-;-;15933
12/2025;qtd_aprovada;"241250 SAO MIGUEL";-;77;-;5453;-;429;-;-;-;-;-;-;105;-;-;209;17491;-;-;-;-;-;-;-;-;-;162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23926
12/2025;qtd_aprovada;"241255 SAO MIGUEL DO GOSTOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"241260 SAO PAULO DO POTENGI";19124;16;9;3519;74;700;70;-;-;-;41;-;218;-;-;351;20516;383;-;-;-;69;3311;40;-;-;604;-;-;44;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;49190
12/2025;qtd_aprovada;"241270 SAO PEDRO";1074;1;-;-;-;-;-;-;-;-;-;-;-;-;-;175;2723;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;4005
12/2025;qtd_aprovada;"241280 SAO RAFAEL";-;126;-;2357;-;-;-;-;-;-;-;-;1870;-;-;3100;70477;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;78029
12/2025;qtd_aprovada;"241290 SAO TOME";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"241300 SAO VICENTE";-;-;-;3297;1;12;84;17;5;-;4;-;87;-;-;158;4338;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;23;-;-;32;-;-;-;-;-;-;8074
12/2025;qtd_aprovada;"241310 SENADOR ELOI DE SOUZA";1215;2;292;2197;-;-;80;-;-;-;-;-;57;-;-;214;5143;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9242
12/2025;qtd_aprovada;"241320 SENADOR GEORGINO AVELINO";1080;-;-;-;-;-;-;-;-;-;-;-;11;-;-;16;874;115;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;2141
12/2025;qtd_aprovada;"241330 SERRA DE SAO BENTO";-;15;-;469;-;-;47;-;-;-;-;-;23;-;-;-;4533;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;5114
12/2025;qtd_aprovada;"241335 SERRA DO MEL";2838;-;637;4160;-;-;-;-;-;-;-;-;363;-;-;384;20335;3011;-;-;-;-;11;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;31850
12/2025;qtd_aprovada;"241340 SERRA NEGRA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;30;3418;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;111;-;-;130;-;-;-;-;-;-;3706
12/2025;qtd_aprovada;"241350 SERRINHA";774;-;1;-;-;-;-;-;-;-;-;-;-;-;-;164;5431;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6370
12/2025;qtd_aprovada;"241355 SERRINHA DOS PINTOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"241360 SEVERIANO MELO";-;2;-;884;-;74;-;-;-;-;-;-;-;-;-;159;127;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1250
12/2025;qtd_aprovada;"241370 SITIO NOVO";-;-;63;-;-;-;-;-;-;-;-;-;50;-;-;224;7992;-;-;-;-;-;-;-;-;-;24;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;8382
12/2025;qtd_aprovada;"241380 TABOLEIRO GRANDE";-;24;-;701;-;-;-;-;-;-;-;-;30;-;-;-;1508;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2266
12/2025;qtd_aprovada;"241390 TAIPU";-;65;-;935;-;-;-;-;-;-;-;-;173;-;-;723;13755;-;6;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15680
12/2025;qtd_aprovada;"241400 TANGARA";-;-;-;2729;-;-;-;-;-;-;-;-;86;-;-;371;10616;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13825
12/2025;qtd_aprovada;"241410 TENENTE ANANIAS";-;4;-;4994;-;-;85;-;-;-;25;-;19;-;-;270;3867;-;-;-;-;-;-;36;-;-;207;-;4;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;9557
12/2025;qtd_aprovada;"241415 TENENTE LAURENTINO CRUZ";-;-;-;2802;-;-;-;-;-;-;-;-;-;-;-;-;3210;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6022
12/2025;qtd_aprovada;"241420 TIBAU DO SUL";779;1;3;3303;-;-;-;-;-;-;-;-;1;-;-;275;21704;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;39;-;-;170;-;-;-;-;-;-;26356
12/2025;qtd_aprovada;"241430 TIMBAUBA DOS BATISTAS";-;-;-;292;-;-;26;-;-;-;-;-;12;-;-;-;184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;668;-;-;-;-;-;-;1182
12/2025;qtd_aprovada;"241440 TOUROS";-;-;-;10115;-;-;127;-;-;-;-;-;222;-;-;191;15996;293;106;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;27118
12/2025;qtd_aprovada;"241445 TRIUNFO POTIGUAR";-;-;-;829;-;-;-;-;-;-;-;-;34;-;-;295;2978;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4141
12/2025;qtd_aprovada;"241450 UMARIZAL";-;244;-;5561;-;-;-;-;-;-;-;-;-;-;-;-;4480;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;10319
12/2025;qtd_aprovada;"241460 UPANEMA";-;14;-;2575;-;-;192;-;-;-;-;-;163;-;-;190;8335;344;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;11881
