periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
05/2025;qtd_aprovada;"330415 QUISSAMA";4166;161;42;22126;-;1574;89;-;-;-;-;-;423;-;-;1905;34561;871;71;-;-;1;25;109;-;-;540;-;-;-;2;-;-;-;-;-;-;-;1;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66718
05/2025;qtd_aprovada;"330420 RESENDE";803;389;202;120628;533;17741;4175;2309;481;-;277;-;24969;443;-;2064;96716;1968;514;-;935;386;1794;429;-;-;627;-;5;542;-;-;-;-;-;-;-;-;372;-;-;-;19;-;-;-;-;-;-;-;100;43;-;9967;-;-;-;-;-;289431
05/2025;qtd_aprovada;"330430 RIO BONITO";732;26;113;65317;146;2479;345;630;415;-;-;-;2334;982;20;2034;72602;5230;163;947;2295;365;426;23;-;-;185;-;1;23;-;1;2;-;-;-;-;-;97;4;-;-;28;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;158000
05/2025;qtd_aprovada;"330440 RIO CLARO";90;9;8;21139;-;751;324;-;-;-;40;-;227;-;54;440;13129;1258;2;-;-;-;439;635;-;-;105;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;20;-;-;2174;-;-;-;-;-;40895
05/2025;qtd_aprovada;"330450 RIO DAS FLORES";4000;12;215;7311;-;414;108;-;-;-;-;-;214;-;1;213;15351;589;17;-;-;-;834;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29436
05/2025;qtd_aprovada;"330452 RIO DAS OSTRAS";2911;2349;34;34001;-;5752;1209;861;-;-;186;-;4007;-;-;2725;82402;1294;2;-;-;-;1148;33;-;-;145;-;22;62;-;1;26;-;-;-;1;-;331;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;139511
05/2025;qtd_aprovada;"330455 RIO DE JANEIRO";1560305;53990;295786;2095809;32573;189635;80071;61513;7299;2228;8323;74;197751;80933;12384;461513;5512599;56923;9306;14841;40163;18606;148303;14135;7;5;20921;582;2046;4602;20;560;47;89;-;-;38;1;18540;165;-;695;117;4570;-;-;6;1197;-;5303040;57033;254;-;141;-;55;20;1;168;16369983
05/2025;qtd_aprovada;"330460 SANTA MARIA MADALENA";9;17;1;5871;-;326;248;97;74;-;27;-;126;-;-;328;14682;170;6;-;-;-;28;-;-;-;247;-;-;-;-;-;-;-;-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22266
05/2025;qtd_aprovada;"330470 SANTO ANTONIO DE PADUA";332;-;26;16055;-;2197;211;-;-;-;41;-;471;-;-;48;18452;4873;-;-;1665;-;1213;-;-;-;26;-;519;-;-;-;-;-;-;-;-;-;165;-;-;-;26;-;-;-;-;-;-;-;71;35;-;-;-;-;-;-;-;46426
05/2025;qtd_aprovada;"330475 SAO FRANCISCO DE ITABAPOANA";18685;66;25;21600;118;1747;321;173;-;-;-;-;389;-;-;858;27081;1778;38;-;-;-;832;-;-;-;804;-;-;-;-;-;-;-;-;-;-;-;173;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74688
05/2025;qtd_aprovada;"330480 SAO FIDELIS";12419;72;20;14657;-;1190;269;-;-;-;1;-;320;-;-;499;30280;404;61;-;-;-;-;8;-;-;183;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60383
05/2025;qtd_aprovada;"330490 SAO GONCALO";31594;1269;3475;394015;4217;41189;10356;7313;2607;203;923;-;18121;3163;-;24330;905286;11863;1865;-;5814;1493;9440;6377;-;-;9541;-;326;276;2;151;41;-;-;-;-;-;1101;-;-;1487;40;-;-;-;-;5;-;-;6845;73;-;198;-;-;-;-;-;1504999
05/2025;qtd_aprovada;"330500 SAO JOAO DA BARRA";1106;584;148;45445;450;2469;1261;771;-;-;184;-;1729;-;-;656;41840;4098;151;-;-;-;424;11;-;-;1197;-;21;71;-;-;-;-;-;-;-;-;31;-;-;323;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;102983
05/2025;qtd_aprovada;"330510 SAO JOAO DE MERITI";121549;5646;689;192409;876;13942;9212;2206;925;-;81;-;12096;-;-;827;168314;40903;9545;-;4616;-;1250;-;-;-;1533;-;201;36;-;-;-;-;-;-;-;-;124646;-;-;-;86;-;-;-;-;-;-;-;1424;145;-;-;-;-;-;-;-;713157
05/2025;qtd_aprovada;"330513 SAO JOSE DE UBA";4862;17;56;5995;-;488;52;-;-;-;18;-;97;-;-;289;3610;2257;-;-;-;-;183;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;128;-;-;-;-;-;18136
05/2025;qtd_aprovada;"330515 SAO JOSE DO VALE DO RIO PRETO";111;100;1;15413;-;2884;71;-;-;-;12;-;302;-;-;375;23009;972;26;-;-;-;22;609;-;-;115;-;-;-;-;1;-;-;-;-;-;-;9;-;-;12;-;-;-;-;-;-;-;-;-;-;-;2886;-;-;-;-;-;46930
05/2025;qtd_aprovada;"330520 SAO PEDRO DA ALDEIA";2744;39556;87;29304;-;6976;776;38;-;-;107;-;2586;-;-;5511;77758;620;-;-;-;-;463;287;-;4;307;-;-;58;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;8;-;-;107;-;-;-;-;-;167345
05/2025;qtd_aprovada;"330530 SAO SEBASTIAO DO ALTO";1637;18;1494;8944;-;1678;188;-;-;-;23;-;1014;-;-;1313;19885;391;427;-;-;-;-;-;-;-;135;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37147
05/2025;qtd_aprovada;"330540 SAPUCAIA";6772;252;375;18772;-;891;420;143;196;-;177;-;1734;-;-;3983;26316;815;-;-;-;-;181;-;-;-;492;-;1;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;2961;-;24;-;-;79;64680
05/2025;qtd_aprovada;"330550 SAQUAREMA";10200;1317;232;86367;-;8736;3254;1574;242;-;293;-;8926;-;-;8887;118136;9525;128;-;-;-;3104;5008;-;-;401;-;10;356;-;15;6;-;-;-;-;-;101;-;-;221;-;-;-;-;-;-;-;146;120;-;-;-;-;14;-;-;-;267319
05/2025;qtd_aprovada;"330555 SEROPEDICA";-;146;52;5691;-;1064;151;-;-;-;-;-;472;-;-;1877;51680;2362;-;-;-;-;-;-;-;-;61;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63573
05/2025;qtd_aprovada;"330560 SILVA JARDIM";-;-;-;10735;-;482;415;-;-;-;-;-;-;-;-;-;904;89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12625
05/2025;qtd_aprovada;"330570 SUMIDOURO";1651;303;131;7934;-;746;-;-;-;-;-;-;217;-;-;471;14810;621;230;-;-;-;453;-;-;-;67;-;1;-;-;-;-;-;-;-;-;-;14;-;-;20;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;27670
05/2025;qtd_aprovada;"330575 TANGUA";406;97;-;21752;-;1942;174;-;-;-;24;-;194;-;17;1351;25052;6170;50;-;-;-;203;-;-;-;4;-;17;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57522
05/2025;qtd_aprovada;"330580 TERESOPOLIS";53677;719;14554;114225;1410;7882;4793;2016;457;-;258;-;5614;34;-;5242;575489;24515;64;1102;1965;17;2854;3;-;-;1248;-;18;209;-;2;-;-;-;-;-;-;420;-;-;296;10;-;-;-;-;-;-;-;-;31;-;2589;-;-;-;-;-;821713
05/2025;qtd_aprovada;"330590 TRAJANO DE MORAES";-;20;24;3000;-;931;134;47;44;-;19;-;1292;-;-;38;15117;665;69;-;-;-;-;45;-;-;177;-;-;-;-;17;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21645
05/2025;qtd_aprovada;"330600 TRES RIOS";344;828;12486;40741;340;4642;146;665;485;-;172;-;1058;-;-;5;99850;1599;1551;-;1491;-;446;47;-;-;174;-;63;-;638;-;17;-;-;-;-;-;79;-;-;100;18;-;-;-;-;-;-;-;1398;39;-;-;-;38;4;-;-;169464
05/2025;qtd_aprovada;"330610 VALENCA";311;557;791;50305;2109;4033;62;4;-;-;34;-;1176;1;-;954;61612;2329;63;-;1386;1;1378;1;-;-;275;-;31;-;-;-;3;-;-;-;-;-;408;-;-;1;8;-;-;-;-;-;-;-;81;6;-;321;-;-;-;-;-;128241
05/2025;qtd_aprovada;"330615 VARRE-SAI";3261;26;2;5966;-;1272;389;-;-;-;-;-;195;-;9;541;12861;133;-;-;-;-;235;-;-;-;438;-;8;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25371
05/2025;qtd_aprovada;"330620 VASSOURAS";11125;105;50;26151;10;1663;503;542;-;-;98;-;543;1777;-;294;18505;1676;67;1293;852;996;412;-;-;-;33;-;3;-;6;-;-;-;-;-;1;-;66;-;-;-;12;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;66799
05/2025;qtd_aprovada;"330630 VOLTA REDONDA";13230;379;512;213514;310;17769;6558;4880;2072;165;1038;-;16185;1418;1;5170;266306;5598;1181;1500;3604;993;4174;597;-;-;902;-;76;1845;1;46;40;47;-;-;-;-;292;8;-;589;52;-;-;25;-;-;-;-;6649;75;-;5261;-;-;-;-;-;583062
05/2025;qtd_aprovada;" MUNICIPIO IGNORADO - SP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2025;qtd_aprovada;"350010 ADAMANTINA";3464;-;4215;5705;-;2704;349;324;110;-;48;-;600;516;1;775;45807;3473;123;-;964;472;562;19;-;-;93;-;7;1;-;-;5;1;-;-;-;-;60;-;-;91;9;-;-;-;-;-;-;-;65;15;-;-;-;-;-;-;-;70578
05/2025;qtd_aprovada;"350020 ADOLFO";7488;-;676;-;-;18;-;-;-;-;-;-;1;-;-;687;10015;-;-;-;-;-;513;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;23;-;-;2212;-;-;-;-;-;21672
05/2025;qtd_aprovada;"350030 AGUAI";13660;56;3095;17663;-;2171;233;-;-;-;-;-;274;-;-;1707;34730;568;6;-;-;-;860;-;-;-;306;-;-;-;-;-;-;-;-;-;-;-;184;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75526
05/2025;qtd_aprovada;"350040 AGUAS DA PRATA";1834;-;49;3390;-;138;175;-;-;-;-;-;5;-;-;181;4223;207;-;-;-;-;249;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10461
05/2025;qtd_aprovada;"350050 AGUAS DE LINDOIA";-;-;-;-;-;1036;-;-;-;-;-;-;125;-;-;-;4659;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5840
05/2025;qtd_aprovada;"350055 AGUAS DE SANTA BARBARA";-;-;-;4194;-;-;-;-;-;-;-;-;-;-;-;443;5806;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10443
05/2025;qtd_aprovada;"350060 AGUAS DE SAO PEDRO";588;-;537;6205;-;759;130;-;-;-;-;-;120;-;-;450;16897;370;-;-;-;-;111;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26193
05/2025;qtd_aprovada;"350070 AGUDOS";8872;141;435;576;-;2461;272;-;-;-;1;-;1350;-;-;1939;54918;754;18;-;-;-;825;2;-;-;67;-;2;-;-;-;-;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;72732
05/2025;qtd_aprovada;"350075 ALAMBARI";3686;-;441;2961;-;2;68;-;-;-;-;-;20;-;-;338;7865;-;-;-;-;-;439;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;15910
05/2025;qtd_aprovada;"350080 ALFREDO MARCONDES";-;104;-;1254;-;-;39;-;-;-;-;-;-;-;-;-;7;166;-;-;-;-;-;202;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;1792
05/2025;qtd_aprovada;"350090 ALTAIR";803;-;317;273;-;136;-;-;-;-;-;-;-;-;-;661;6959;515;-;-;-;-;128;-;-;-;5;-;5;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9803
05/2025;qtd_aprovada;"350100 ALTINOPOLIS";5112;383;1434;11776;-;1102;228;-;-;-;10;-;175;-;-;679;31291;572;-;-;-;-;660;-;-;-;62;-;1;-;-;-;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;8;-;-;1342;-;-;-;-;-;54903
05/2025;qtd_aprovada;"350110 ALTO ALEGRE";357;109;-;-;-;1110;-;-;-;-;-;-;-;-;-;-;-;415;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1991
05/2025;qtd_aprovada;"350115 ALUMINIO";148;19;40;9120;-;1074;121;-;-;-;-;-;226;-;19;868;13400;324;54;-;-;-;204;-;-;-;34;-;29;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25713
05/2025;qtd_aprovada;"350120 ALVARES FLORENCE";32;52;-;-;-;-;-;-;-;-;-;-;50;-;-;-;108;706;5;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;702;-;-;-;-;-;1755
05/2025;qtd_aprovada;"350130 ALVARES MACHADO";4206;79;-;13658;-;350;76;-;-;-;-;-;180;-;-;1;15878;1264;2;-;-;-;-;-;-;-;85;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;35834
05/2025;qtd_aprovada;"350140 ALVARO DE CARVALHO";2396;-;185;-;-;-;-;-;-;-;-;-;-;-;-;403;6519;212;-;-;-;-;83;-;-;-;10;-;1;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;20;-;-;102;-;-;-;-;-;9946
05/2025;qtd_aprovada;"350150 ALVINLANDIA";179;-;72;-;-;-;-;-;-;-;-;-;-;-;-;28;1804;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2083
05/2025;qtd_aprovada;"350160 AMERICANA";2804;747;9336;115293;729;10782;1864;752;126;103;241;-;6490;678;-;4966;136332;5369;241;658;1235;618;1;577;-;-;355;-;153;243;3;109;14;20;-;-;-;35;3;-;-;19;9;-;-;-;-;-;-;-;123;13;-;-;-;-;-;-;-;301041
05/2025;qtd_aprovada;"350170 AMERICO BRASILIENSE";86;99;1094;13527;-;1817;804;859;-;-;333;-;3977;-;-;161;22211;-;-;-;-;6;436;-;-;-;54;12;33;77;-;1;-;2;1;-;-;2;106;-;-;3;1;-;-;-;-;-;-;12;25;-;-;-;-;94;5;13;85;45936
05/2025;qtd_aprovada;"350180 AMERICO DE CAMPOS";-;-;-;3079;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;446;-;-;-;-;-;3540
05/2025;qtd_aprovada;"350190 AMPARO";225;800;136;43079;379;3336;1161;817;-;-;300;-;1751;-;-;698;48113;374;7;-;2009;-;2;49;-;-;239;-;-;45;-;2;-;7;-;-;6;-;-;-;-;-;28;-;-;-;-;-;-;-;2;38;-;-;52;58;40;6;-;103759
05/2025;qtd_aprovada;"350200 ANALANDIA";4970;76;145;1307;-;242;-;-;-;-;-;-;-;-;-;935;7950;99;-;-;-;-;535;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16299
05/2025;qtd_aprovada;"350210 ANDRADINA";8057;269;997;17748;778;1896;1370;384;29;-;328;-;2488;-;-;3268;55163;1965;279;-;-;-;890;17;-;-;263;-;9;716;1;33;12;19;-;-;-;-;109;1;-;-;-;-;-;-;-;-;-;-;33;-;-;13047;3;-;46;9;-;110227
05/2025;qtd_aprovada;"350220 ANGATUBA";31;31;15;19436;-;1453;-;-;-;-;-;-;312;-;-;193;19766;362;-;-;-;-;-;-;-;-;51;-;16;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41668
05/2025;qtd_aprovada;"350230 ANHEMBI";2121;26;429;1;-;-;-;-;-;-;-;-;32;-;-;827;13035;521;-;-;-;-;172;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17189
05/2025;qtd_aprovada;"350240 ANHUMAS";1668;287;27;2839;-;-;-;-;-;-;-;-;1;-;-;333;3280;588;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;701;-;-;-;-;-;9724
05/2025;qtd_aprovada;"350250 APARECIDA";607;-;123;33659;-;3218;739;831;-;-;-;-;7927;-;-;101;46948;941;2367;-;-;-;246;3;-;-;306;-;6;224;-;1;1;43;-;-;1;-;38;-;-;128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;98458
05/2025;qtd_aprovada;"350260 APARECIDA D'OESTE";1715;6;-;-;-;17;-;-;-;-;-;-;28;-;-;-;4424;80;2;-;-;-;209;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;164;-;-;-;-;-;6740
05/2025;qtd_aprovada;"350270 APIAI";753;79;1;6096;-;1841;143;-;-;-;-;-;326;-;-;114;10009;549;41;-;-;-;375;14;-;-;180;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;20609
05/2025;qtd_aprovada;"350275 ARACARIGUAMA";2722;-;2576;13779;-;1857;117;-;-;-;-;-;453;-;-;1688;45129;508;12;-;-;-;78;-;-;-;21;-;6;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;68963
05/2025;qtd_aprovada;"350280 ARACATUBA";4020;1601;1013;104714;2572;14395;2260;1702;818;347;384;7;6672;152;2626;4222;124345;1899;892;1127;4008;76;2781;278;-;-;543;-;108;347;47;3;-;-;-;-;-;-;722;23;-;100;43;-;-;-;-;-;-;1269978;3483;51;-;11833;31;-;24;-;-;1570247
05/2025;qtd_aprovada;"350290 ARACOIABA DA SERRA";24;90;53;29089;-;1721;279;-;-;-;20;-;212;-;-;639;35689;999;102;-;-;-;-;-;-;-;45;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68966
05/2025;qtd_aprovada;"350300 ARAMINA";-;-;-;-;-;133;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;193
05/2025;qtd_aprovada;"350310 ARANDU";471;51;78;-;-;291;-;-;-;-;-;-;-;-;-;114;7360;-;-;-;-;-;116;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8519
05/2025;qtd_aprovada;"350315 ARAPEI";64;7;73;-;-;1;72;-;-;-;-;-;44;-;-;113;3641;460;-;-;-;-;127;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;18;-;-;3885;-;-;-;-;-;8631
05/2025;qtd_aprovada;"350320 ARARAQUARA";17433;2430;3843;157540;4640;6834;1885;795;399;120;292;7;18760;3316;-;3079;181488;12805;763;864;3661;1704;1839;-;-;-;559;-;190;774;1;44;10;7;-;-;-;-;128;-;-;21;40;-;-;-;-;-;-;1341934;1574;38;-;-;-;-;-;-;-;1769817
05/2025;qtd_aprovada;"350330 ARARAS";14765;557;1592;47788;160;5408;1529;652;162;-;94;-;5550;48;-;2550;112031;342;22;563;1253;42;1696;1;-;-;72;-;26;83;-;4;1;2;1;-;3;-;111;-;-;1;10;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;197128
05/2025;qtd_aprovada;"350335 ARCO-IRIS";255;1;15;-;-;-;-;-;-;-;-;-;-;-;-;98;2240;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2671
05/2025;qtd_aprovada;"350340 AREALVA";1;49;13;353;-;260;365;-;-;-;-;-;4168;-;-;298;9375;-;200;-;-;-;91;-;-;-;1;-;-;420;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;15613
05/2025;qtd_aprovada;"350350 AREIAS";29;43;-;-;-;-;85;-;-;-;-;-;19;-;-;-;2859;141;-;-;-;-;192;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;757;-;-;-;-;-;4136
05/2025;qtd_aprovada;"350360 AREIOPOLIS";7848;20;59;-;-;605;115;-;-;-;-;-;10;-;-;718;14539;218;-;-;-;-;911;-;-;-;19;-;6;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;17;-;-;75;-;-;-;-;-;25200
05/2025;qtd_aprovada;"350370 ARIRANHA";612;13;225;2197;-;38;92;-;-;-;-;-;-;-;-;509;15894;207;-;-;-;-;143;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;19945
05/2025;qtd_aprovada;"350380 ARTUR NOGUEIRA";590;-;262;25764;-;3132;-;-;-;-;-;-;223;-;-;845;31337;634;-;-;-;-;132;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62942
05/2025;qtd_aprovada;"350390 ARUJA";6709;1543;529;7649;-;2469;823;218;-;-;37;-;601;-;-;2729;52681;2458;-;-;-;-;2;1;-;-;135;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;78586
05/2025;qtd_aprovada;"350395 ASPASIA";-;65;-;1056;-;-;-;-;-;-;-;-;-;-;-;-;-;172;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89;-;-;-;-;-;1382
05/2025;qtd_aprovada;"350400 ASSIS";7210;-;513;77312;1051;7139;2189;931;-;-;251;-;6652;505;-;2438;77212;1402;189;393;1697;710;-;126;-;-;190;-;-;250;-;1;3;12;-;-;-;-;-;-;-;14;6;-;-;-;-;-;-;727276;-;14;-;-;8;127;25;43;4;915893
05/2025;qtd_aprovada;"350410 ATIBAIA";484;4251;420;64052;607;7687;3063;1266;-;-;378;-;6608;-;-;578;101919;1797;9;-;-;18;51;63;-;-;143;-;-;126;305;-;3;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;134;-;-;11228;-;24;26;1;-;205248
05/2025;qtd_aprovada;"350420 AURIFLAMA";643;44;-;2942;-;756;-;-;-;-;-;-;155;-;-;400;14154;448;-;-;-;-;-;-;-;-;84;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4692;-;-;-;-;-;24320
05/2025;qtd_aprovada;"350430 AVAI";223;38;-;-;-;-;-;-;-;-;-;-;-;-;-;68;3860;-;-;-;-;-;7;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;4257
