periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
12/2024;qtd_aprovada;"260690 IGUARACY";-;27;-;-;-;29;90;-;-;-;-;-;17;-;-;156;4886;24;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;2230;7491
12/2024;qtd_aprovada;"260700 INAJA";-;11;-;-;-;-;146;-;-;-;-;-;11;-;-;427;10554;116;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11269
12/2024;qtd_aprovada;"260710 INGAZEIRA";85;107;10;457;-;61;61;-;-;-;-;-;40;-;-;111;3414;203;6;-;-;-;5;-;-;-;-;301;-;13;-;-;-;-;-;-;-;-;-;4;8;-;-;-;-;-;-;-;-;-;50;-;-;2496;7432
12/2024;qtd_aprovada;"260720 IPOJUCA";255;158;2890;58907;396;7041;1165;-;-;-;2;-;863;-;2;5811;145977;1911;25;-;-;-;881;-;-;-;-;305;-;88;-;-;-;-;-;-;-;-;2;123;-;-;-;-;-;-;-;-;-;-;5;-;-;-;226807
12/2024;qtd_aprovada;"260730 IPUBI";-;69;-;-;-;-;30;-;-;-;-;-;-;-;-;-;5197;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;5350
12/2024;qtd_aprovada;"260740 ITACURUBA";-;11;-;21;-;-;-;-;-;-;-;-;-;-;-;130;2750;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1146;4058
12/2024;qtd_aprovada;"260750 ITAIBA";9;-;21;-;-;175;-;-;-;-;-;-;-;-;-;468;10131;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;10900
12/2024;qtd_aprovada;"260760 ILHA DE ITAMARACA";325;-;-;1981;-;-;-;-;-;-;-;-;109;-;-;758;8034;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11235
12/2024;qtd_aprovada;"260765 ITAMBE";-;-;-;2;-;13;-;-;-;-;-;-;-;-;-;4;10649;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10668
12/2024;qtd_aprovada;"260770 ITAPETIM";35;37;-;2478;-;362;122;-;-;-;-;-;81;-;-;488;8209;395;-;-;-;-;19;-;-;-;-;48;-;9;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;45;-;-;2759;15118
12/2024;qtd_aprovada;"260775 ITAPISSUMA";690;87;-;12926;-;303;554;-;-;-;-;-;123;-;-;783;8547;517;-;-;-;-;584;-;-;-;-;41;-;7;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;69;-;-;-;25249
12/2024;qtd_aprovada;"260780 ITAQUITINGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303;17928;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18243
12/2024;qtd_aprovada;"260790 JABOATAO DOS GUARARAPES";103750;833;6360;121516;945;11220;4088;268;14;-;297;-;7964;-;-;8060;187908;3814;3540;-;5270;-;2681;-;502;2;-;658;-;132;293;-;-;36;21;-;-;-;-;802;-;-;42;-;-;-;-;-;-;-;559;58;-;-;471633
12/2024;qtd_aprovada;"260795 JAQUEIRA";9;-;-;-;-;361;-;-;-;-;-;-;193;-;-;741;3593;-;12;-;-;-;36;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;112;-;-;-;-;-;-;-;-;-;12;-;-;-;5098
12/2024;qtd_aprovada;"260800 JATAUBA";108;434;401;1697;-;379;107;-;-;-;18;-;36;-;-;152;7881;554;-;-;-;-;-;-;-;-;-;257;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;284;12360
12/2024;qtd_aprovada;"260805 JATOBA";25;7;-;3292;-;149;69;-;-;-;-;-;31;-;-;534;4043;71;-;-;-;-;64;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;8316
12/2024;qtd_aprovada;"260810 JOAO ALFREDO";76;16;1;3542;-;179;-;-;-;-;-;-;22;-;-;221;8249;745;-;-;-;-;62;-;159;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;734;14020
12/2024;qtd_aprovada;"260820 JOAQUIM NABUCO";-;434;-;686;-;-;-;-;-;-;-;-;-;-;-;138;1031;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2289
12/2024;qtd_aprovada;"260825 JUCATI";-;22;13;2726;-;119;120;-;-;-;-;-;42;-;-;986;4347;83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;8482
12/2024;qtd_aprovada;"260830 JUPI";160;-;-;113;-;75;-;-;-;-;-;-;-;-;-;20;5691;-;-;-;-;-;150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;41;-;-;-;6304
12/2024;qtd_aprovada;"260840 JUREMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32
12/2024;qtd_aprovada;"260845 LAGOA DO CARRO";-;12;-;1084;-;-;-;-;-;-;-;-;-;-;-;430;7040;312;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63;9001
12/2024;qtd_aprovada;"260850 LAGOA DE ITAENGA";-;-;10;261;-;131;-;-;-;-;-;-;58;-;-;439;8542;125;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;440;10013
12/2024;qtd_aprovada;"260860 LAGOA DO OURO";27;-;-;-;-;385;77;-;-;-;36;-;47;-;-;-;1012;301;-;-;-;-;272;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;26;-;-;-;2275
12/2024;qtd_aprovada;"260870 LAGOA DOS GATOS";5229;6;-;245;-;-;-;-;-;-;-;-;-;-;-;126;2385;441;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8467
12/2024;qtd_aprovada;"260875 LAGOA GRANDE";-;-;408;1531;-;447;69;-;-;-;-;-;10;-;-;474;6368;-;1;-;-;-;-;-;-;-;-;101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;9433
12/2024;qtd_aprovada;"260880 LAJEDO";-;23;-;3554;-;632;28;-;-;-;-;-;-;-;-;981;21207;-;-;-;-;-;-;-;-;-;-;111;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26536
12/2024;qtd_aprovada;"260890 LIMOEIRO";1021;63;3634;52928;1888;2528;1434;-;-;-;252;-;4650;-;-;2897;38978;2757;525;-;-;-;740;-;325;-;-;217;-;142;-;-;-;-;2;-;-;-;-;337;77;-;-;-;-;-;-;-;-;-;115;-;-;379;115889
12/2024;qtd_aprovada;"260900 MACAPARANA";965;-;16;2920;-;253;-;-;-;-;-;-;51;-;-;477;8925;651;3;-;-;-;42;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;26;-;-;312;14658
12/2024;qtd_aprovada;"260910 MACHADOS";2471;24;-;608;-;-;59;-;-;-;-;-;-;-;-;40;7986;424;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11616
12/2024;qtd_aprovada;"260915 MANARI";821;91;64;918;-;180;59;-;-;-;-;-;12;-;-;780;6005;-;-;-;-;-;-;-;-;-;-;53;-;16;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;274;9276
12/2024;qtd_aprovada;"260920 MARAIAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;3470;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;822;4312
12/2024;qtd_aprovada;"260930 MIRANDIBA";-;-;-;1020;-;-;-;-;-;-;-;-;35;-;-;1335;9321;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;1368;13103
12/2024;qtd_aprovada;"260940 MORENO";7879;386;32;18985;265;789;652;88;-;-;-;-;125;-;-;917;22845;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53003
12/2024;qtd_aprovada;"260950 NAZARE DA MATA";6808;-;104;7614;-;1038;184;-;-;-;-;-;464;-;-;128;31637;283;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;45;-;-;421;48904
12/2024;qtd_aprovada;"260960 OLINDA";3864;716;1545;92275;763;6003;1297;-;56;-;-;-;7688;-;-;4760;147083;1562;2344;-;1617;-;1444;-;261;-;-;237;-;144;86;-;-;10;-;-;-;-;-;448;-;-;11;-;-;-;-;-;-;-;-;23;-;-;274237
12/2024;qtd_aprovada;"260970 OROBO";-;14;-;3796;-;457;300;-;-;-;-;-;77;-;-;351;6290;254;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11579
12/2024;qtd_aprovada;"260980 OROCO";-;-;-;15;-;-;80;-;-;-;-;-;-;-;-;818;3184;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2205;6334
12/2024;qtd_aprovada;"260990 OURICURI";-;-;6;6123;-;759;325;637;67;-;7;-;317;-;-;-;12360;-;147;-;-;44;-;-;1;-;-;111;-;-;-;-;1;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20913
12/2024;qtd_aprovada;"261000 PALMARES";396;90;25;44782;93;3166;597;830;134;-;63;-;1246;-;-;152;31457;2130;37;-;4072;376;508;-;1;-;-;126;-;6;-;-;-;369;-;-;-;-;-;57;-;-;39;-;-;-;-;-;-;-;-;66;-;-;90818
12/2024;qtd_aprovada;"261010 PALMEIRINA";-;8;68;1028;-;-;-;-;-;-;-;-;-;-;-;127;2130;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3416
12/2024;qtd_aprovada;"261020 PANELAS";2425;361;24;348;-;14;147;-;-;-;-;-;22;-;-;465;10536;116;-;-;-;-;42;-;-;-;-;32;-;5;-;-;-;-;-;-;-;-;-;28;5;-;-;-;-;-;-;-;-;-;40;-;-;-;14610
12/2024;qtd_aprovada;"261030 PARANATAMA";169;20;162;2648;-;14;174;-;-;-;-;-;37;-;-;193;4075;301;-;-;-;-;198;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8026
12/2024;qtd_aprovada;"261040 PARNAMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;2447;2510
12/2024;qtd_aprovada;"261050 PASSIRA";-;-;-;647;-;-;-;-;-;-;-;-;-;-;-;33;6001;409;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;182;7286
12/2024;qtd_aprovada;"261060 PAUDALHO";3246;19;2513;20754;-;1289;527;-;-;-;-;-;957;-;-;5965;25068;1604;5;-;-;-;833;-;-;-;-;3;-;10;61;-;-;-;25;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;106;-;-;-;63001
12/2024;qtd_aprovada;"261070 PAULISTA";35950;563;954;56860;216;24880;678;741;54;-;31;-;2337;-;-;2496;63179;4732;83;-;3645;-;1006;-;-;-;-;503;-;16;28;-;7;37;11;-;-;-;-;67;-;30;38;-;-;-;-;-;-;-;-;57;-;-;199199
12/2024;qtd_aprovada;"261080 PEDRA";-;109;-;1012;-;248;90;-;-;-;-;-;26;-;-;526;5695;363;-;-;-;-;88;-;-;-;-;150;-;3;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;8371
12/2024;qtd_aprovada;"261090 PESQUEIRA";6973;7533;94;12583;-;1365;110;-;-;-;-;-;222;-;-;1203;37214;406;84;-;-;2;-;-;2;-;-;27;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;4284;72126
12/2024;qtd_aprovada;"261100 PETROLANDIA";274;258;330;11798;-;809;208;59;-;-;10;-;228;14;-;3455;20690;290;4;-;-;20;364;-;267;-;-;64;-;-;-;14;-;-;3;-;-;-;-;110;-;-;-;-;-;-;-;-;-;-;44;-;-;16996;56309
12/2024;qtd_aprovada;"261110 PETROLINA";694;6;3351;116170;784;7191;2733;2667;197;112;251;2;5620;-;98;3766;104787;838;299;1911;1728;22;1287;-;213;-;-;869;-;55;267;-;46;103;4;-;-;-;-;510;21;-;13;-;-;-;-;-;-;-;112;21;-;43285;300033
12/2024;qtd_aprovada;"261120 POCAO";-;26;101;316;-;-;89;-;-;-;-;-;3;-;-;2900;12941;96;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;398;16898
12/2024;qtd_aprovada;"261130 POMBOS";5250;-;-;1104;-;-;41;-;-;-;-;-;128;-;-;544;14701;139;-;-;-;-;100;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;60;22178
12/2024;qtd_aprovada;"261140 PRIMAVERA";1202;-;199;2036;-;767;57;-;-;-;-;-;-;-;-;-;14637;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;420;19328
12/2024;qtd_aprovada;"261150 QUIPAPA";469;-;3;-;-;-;85;-;-;-;-;-;72;-;-;631;7011;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;280;8594
12/2024;qtd_aprovada;"261153 QUIXABA";270;227;-;318;-;86;147;-;-;-;-;-;103;-;-;233;4699;242;-;-;-;-;20;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5588;11944
12/2024;qtd_aprovada;"261160 RECIFE";19700;3737;16246;1150697;17916;41025;33101;15941;7848;1777;2425;365;228794;80770;939;18754;1266478;53859;15069;13918;30390;29540;8184;-;2493;-;-;6881;894;507;7645;900;236;154;102;-;-;4;705;1016;4;2690;311;3331;62;54;23;2398;-;3661805;23204;380;-;1920;6775192
12/2024;qtd_aprovada;"261170 RIACHO DAS ALMAS";13;4614;12;1844;-;369;-;-;-;-;-;-;427;-;-;421;14316;1026;-;-;-;-;101;-;329;-;-;49;-;35;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23597
12/2024;qtd_aprovada;"261180 RIBEIRAO";36;8;25;5991;-;-;-;-;-;-;-;-;-;-;-;786;8190;-;-;-;-;-;146;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15313
12/2024;qtd_aprovada;"261190 RIO FORMOSO";-;95;-;-;-;674;25;-;-;-;-;-;394;-;-;1516;14736;25;-;-;-;-;-;-;-;-;-;450;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17915
12/2024;qtd_aprovada;"261200 SAIRE";-;-;-;729;-;-;-;-;-;-;-;-;-;-;-;1100;5541;156;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;887;8418
12/2024;qtd_aprovada;"261210 SALGADINHO";151;18;-;-;-;-;22;-;-;-;-;-;-;-;-;487;876;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;318;1912
12/2024;qtd_aprovada;"261220 SALGUEIRO";6;98;12;15525;-;5408;603;30;-;-;83;-;5334;-;-;183;30857;388;326;-;2072;28;29;-;-;-;-;349;-;7;707;-;6;10;7;-;-;-;-;4;4;-;12;-;-;-;-;-;-;-;-;29;-;-;62117
12/2024;qtd_aprovada;"261230 SALOA";3;-;-;2688;-;316;191;-;-;-;-;-;-;-;-;136;6615;310;-;-;-;-;143;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;12;-;-;-;10440
12/2024;qtd_aprovada;"261240 SANHARO";121;-;12;-;99;390;212;-;-;-;-;-;124;-;-;624;8568;80;-;-;-;-;181;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;459;10947
12/2024;qtd_aprovada;"261245 SANTA CRUZ";-;-;5;2501;-;241;94;8;5;-;-;-;-;-;-;97;6227;80;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;3610;12924
12/2024;qtd_aprovada;"261247 SANTA CRUZ DA BAIXA VERDE";-;120;552;830;-;-;-;-;-;-;-;-;-;-;-;62;799;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2363
12/2024;qtd_aprovada;"261250 SANTA CRUZ DO CAPIBARIBE";19644;-;579;11067;221;3291;145;76;-;-;84;-;51;-;1;757;52127;2266;-;-;-;-;17;-;-;-;-;3;-;-;12;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;52;-;-;896;91296
12/2024;qtd_aprovada;"261255 SANTA FILOMENA";862;-;-;-;-;-;-;-;-;-;-;-;23;-;-;3;3314;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;4231
12/2024;qtd_aprovada;"261260 SANTA MARIA DA BOA VISTA";1486;37;-;3072;-;200;57;-;-;-;-;-;39;-;-;170;12599;140;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;5795;23673
12/2024;qtd_aprovada;"261270 SANTA MARIA DO CAMBUCA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;138;3601;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;322;4067
12/2024;qtd_aprovada;"261280 SANTA TEREZINHA";-;-;-;331;-;-;117;-;-;-;-;-;76;-;-;421;3792;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;716;5497
12/2024;qtd_aprovada;"261290 SAO BENEDITO DO SUL";3;17;-;-;-;-;-;-;-;-;-;-;-;-;-;172;3017;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;3231
12/2024;qtd_aprovada;"261300 SAO BENTO DO UNA";301;1226;43;2391;448;445;371;-;-;-;-;-;146;-;-;633;29986;379;-;-;-;-;75;-;-;-;-;1046;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;1763;39267
12/2024;qtd_aprovada;"261310 SAO CAITANO";5827;955;-;8972;-;444;245;-;-;-;-;-;223;-;-;685;16297;628;-;-;-;-;44;-;12;-;-;26;-;9;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;63;34476
12/2024;qtd_aprovada;"261320 SAO JOAO";83;-;228;4632;-;38;165;-;-;-;-;-;-;-;-;-;10779;318;-;-;-;-;355;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;104;-;-;-;-;-;-;-;-;-;-;42;-;-;-;16787
12/2024;qtd_aprovada;"261330 SAO JOAQUIM DO MONTE";-;-;-;-;-;-;-;-;-;-;-;-;77;-;-;952;15599;-;-;-;-;-;78;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16750
12/2024;qtd_aprovada;"261340 SAO JOSE DA COROA GRANDE";-;2;-;8006;-;-;3;-;-;-;-;-;-;-;-;2175;5421;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;505;16138
12/2024;qtd_aprovada;"261350 SAO JOSE DO BELMONTE";-;3386;-;3884;-;-;-;-;-;-;-;-;-;-;-;144;104;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;-;-;-;7570
12/2024;qtd_aprovada;"261360 SAO JOSE DO EGITO";21;103;-;-;-;133;293;-;-;-;-;-;150;-;-;531;10551;-;-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;26;-;-;1900;13809
12/2024;qtd_aprovada;"261370 SAO LOURENCO DA MATA";584;108;2698;29787;-;3621;529;-;-;-;-;-;340;-;-;1621;48098;910;-;-;-;-;-;-;-;-;-;462;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;88788
12/2024;qtd_aprovada;"261380 SAO VICENTE FERRER";575;24;-;2898;-;1177;127;-;-;-;-;-;82;-;-;659;5527;351;-;-;-;-;131;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;36;-;-;327;11965
12/2024;qtd_aprovada;"261390 SERRA TALHADA";246;1020;282;37670;498;1783;1423;600;53;-;284;-;12306;-;-;5042;40147;9144;171;-;1860;-;878;-;17;-;-;248;-;2;136;14;-;8;10;-;-;-;-;146;1;3;9;-;-;-;-;-;-;-;80;27;-;2656;116764
12/2024;qtd_aprovada;"261400 SERRITA";55;-;-;1691;91;-;77;-;-;-;-;-;2;-;-;-;3438;-;-;-;-;-;-;-;-;-;-;19;-;5;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;51;-;-;2;5435
12/2024;qtd_aprovada;"261410 SERTANIA";103;71;37;1142;790;387;41;-;-;-;-;-;196;-;-;2551;9838;262;-;-;-;-;251;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;-;269;-;-;-;-;-;-;-;-;-;-;-;-;-;9454;25483
12/2024;qtd_aprovada;"261420 SIRINHAEM";28;33;-;-;-;229;78;-;-;-;-;-;-;-;-;-;11508;-;-;-;-;-;56;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12058
12/2024;qtd_aprovada;"261430 MOREILANDIA";379;-;-;932;-;123;34;-;-;-;-;-;146;-;-;421;8455;46;-;-;-;-;-;-;-;-;-;157;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;899;11592
12/2024;qtd_aprovada;"261440 SOLIDAO";8;-;1628;1625;-;94;-;-;-;-;-;-;6;-;-;309;5209;191;-;-;-;-;198;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;29;-;-;-;9323
12/2024;qtd_aprovada;"261450 SURUBIM";-;17;86;578;358;2228;110;173;-;-;50;-;438;-;-;-;23510;-;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2790;30458
12/2024;qtd_aprovada;"261460 TABIRA";-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4272;-;30;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3203;7543
