periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
08/2024;qtd_aprovada;"311250 CAPIM BRANCO";-;20;-;4537;-;-;-;-;-;-;-;-;71;-;-;173;5062;426;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;757;11046
08/2024;qtd_aprovada;"311260 CAPINOPOLIS";3902;46;-;2636;696;51;131;-;-;-;-;-;87;-;-;200;1616;-;-;-;-;-;23;-;-;6;-;2;21;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;2415;11856
08/2024;qtd_aprovada;"311265 CAPITAO ANDRADE";-;17;-;-;-;-;-;-;-;-;-;-;118;-;-;-;436;201;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;560;1332
08/2024;qtd_aprovada;"311270 CAPITAO ENEAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;914;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;156;1114
08/2024;qtd_aprovada;"311280 CAPITOLIO";2519;71;1;4321;-;194;68;-;-;-;14;-;17;-;-;16;1800;414;-;-;-;-;276;1;-;5;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;27;-;-;1404;11166
08/2024;qtd_aprovada;"311290 CAPUTIRA";-;12;-;7621;-;-;-;-;-;-;-;-;-;-;-;-;500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61;-;-;64;8258
08/2024;qtd_aprovada;"311300 CARAI";2;37;3;1034;-;977;-;-;-;-;-;-;149;-;-;-;2159;535;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;1725;6663
08/2024;qtd_aprovada;"311310 CARANAIBA";-;9;-;1922;-;-;-;-;-;-;-;-;54;-;-;-;462;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;2476
08/2024;qtd_aprovada;"311320 CARANDAI";-;66;1;11454;-;1205;66;85;-;-;-;-;259;5;-;244;11232;912;1;-;-;2;163;16;1;34;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;69;-;-;-;25817
08/2024;qtd_aprovada;"311330 CARANGOLA";160;-;-;14557;905;979;537;89;-;-;100;-;406;64;-;-;11007;-;280;-;1364;44;196;-;-;176;-;4;1;1;1;19;-;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;-;6;-;2352;33339
08/2024;qtd_aprovada;"311340 CARATINGA";13537;452;66;28757;1036;4549;1132;568;358;17;69;-;877;4;-;139;51722;449;12;-;2538;-;1595;11;-;105;-;3;1;-;-;-;-;-;-;-;-;247;-;64;14;-;-;-;-;-;-;-;52;19;-;7753;116146
08/2024;qtd_aprovada;"311350 CARBONITA";-;29;-;1918;-;266;-;-;-;-;-;-;146;-;-;100;2917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3340;8716
08/2024;qtd_aprovada;"311360 CAREACU";7;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;387;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;2885;3328
08/2024;qtd_aprovada;"311370 CARLOS CHAGAS";-;21;-;1281;-;513;-;-;-;-;-;-;-;-;-;-;4115;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;2400;8383
08/2024;qtd_aprovada;"311380 CARMESIA";-;-;-;805;-;-;-;-;-;-;-;-;61;-;-;64;1632;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;365;2927
08/2024;qtd_aprovada;"311390 CARMO DA CACHOEIRA";-;-;-;879;-;500;-;-;-;-;-;-;-;-;-;8;335;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1745
08/2024;qtd_aprovada;"311400 CARMO DA MATA";-;-;-;-;-;-;-;-;-;-;-;-;89;-;-;-;1548;103;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1760
08/2024;qtd_aprovada;"311410 CARMO DE MINAS";17;38;-;-;-;-;-;-;-;-;5;-;87;-;-;-;7450;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6056;13654
08/2024;qtd_aprovada;"311420 CARMO DO CAJURU";569;82;93;7162;-;1022;88;-;-;-;-;-;10;-;-;277;16698;732;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;1695;28470
08/2024;qtd_aprovada;"311430 CARMO DO PARANAIBA";21907;206;188;10450;261;1332;44;132;-;-;82;-;763;-;-;1466;36733;-;-;-;-;-;1781;80;-;31;-;13;154;-;-;-;29;-;-;-;-;319;-;-;-;-;-;-;-;-;-;-;-;-;-;6765;82736
08/2024;qtd_aprovada;"311440 CARMO DO RIO CLARO";-;-;-;-;-;717;251;-;-;-;59;-;133;-;-;-;4766;-;-;-;-;-;-;-;-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;1989;8039
08/2024;qtd_aprovada;"311450 CARMOPOLIS DE MINAS";-;165;126;111;-;515;57;-;-;-;-;-;249;-;-;-;1625;519;10;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;422;3836
08/2024;qtd_aprovada;"311455 CARNEIRINHO";2927;8;-;1768;-;107;90;-;-;-;-;-;51;-;-;91;10286;195;13;-;-;-;33;-;-;25;-;-;-;-;-;2;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;20;-;-;3675;19313
08/2024;qtd_aprovada;"311460 CARRANCAS";620;7;32;-;-;12;-;-;-;-;-;-;-;-;2;102;3388;-;-;-;-;-;144;25;-;5;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4373
08/2024;qtd_aprovada;"311470 CARVALHOPOLIS";760;14;1;-;-;-;-;-;-;-;-;-;78;-;-;222;3147;37;-;-;-;-;174;-;-;1;-;2;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;68;4517
08/2024;qtd_aprovada;"311480 CARVALHOS";1;14;-;290;-;-;-;-;-;-;-;-;-;-;-;-;617;-;-;-;-;-;-;-;-;3;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;1119;2079
08/2024;qtd_aprovada;"311490 CASA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;qtd_aprovada;"311500 CASCALHO RICO";1;5;-;2;-;-;-;-;-;-;-;-;38;-;-;2;1040;189;-;-;-;-;790;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;188;2311
08/2024;qtd_aprovada;"311510 CASSIA";3060;6;8;2020;-;1257;57;16;-;-;5;-;409;-;-;352;26827;836;28;-;-;1;144;-;-;11;-;1;-;-;-;-;-;-;-;-;-;24;-;1;-;-;-;-;-;-;-;-;30;-;-;3303;38396
08/2024;qtd_aprovada;"311520 CONCEICAO DA BARRA DE MINAS";447;3;5;2739;-;6;-;-;-;-;-;-;-;-;-;55;2466;-;-;-;-;-;283;-;-;1;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;56;-;-;1923;8044
08/2024;qtd_aprovada;"311530 CATAGUASES";8466;294;411;27309;-;2102;490;399;15;-;-;-;1118;38;-;669;53697;3771;124;-;1116;6;7145;38;-;365;-;32;-;1;1;13;-;-;-;-;-;362;4;1;8;-;-;-;-;-;-;-;53;11;-;3611;111670
08/2024;qtd_aprovada;"311535 CATAS ALTAS";1;12;-;4312;-;-;-;-;-;-;-;-;76;-;-;-;263;199;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;339;5202
08/2024;qtd_aprovada;"311540 CATAS ALTAS DA NORUEGA";-;-;-;596;-;-;-;-;-;-;-;-;-;-;-;-;1553;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;641;2859
08/2024;qtd_aprovada;"311545 CATUJI";4;-;-;-;-;-;58;-;-;-;-;-;-;-;-;-;344;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;2056;2486
08/2024;qtd_aprovada;"311547 CATUTI";10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;127;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;54;-;-;396;652
08/2024;qtd_aprovada;"311550 CAXAMBU";-;61;21;7116;78;460;-;-;-;-;-;-;318;-;-;24;9772;485;1;-;-;-;-;-;-;37;-;1;18;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;18421
08/2024;qtd_aprovada;"311560 CEDRO DO ABAETE";13;6;4;-;-;-;-;-;-;-;-;-;5;-;-;5;201;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;1663;1918
08/2024;qtd_aprovada;"311570 CENTRAL DE MINAS";-;7;-;2158;-;288;-;-;-;-;-;-;-;-;-;-;1874;-;22;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;873;5283
08/2024;qtd_aprovada;"311580 CENTRALINA";1855;26;-;5538;-;212;229;-;-;-;-;-;149;-;-;-;14395;138;-;-;-;-;-;-;-;21;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;280;22905
08/2024;qtd_aprovada;"311590 CHACARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;qtd_aprovada;"311600 CHALE";-;5;-;33;-;-;-;-;-;-;-;-;-;-;-;-;57;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;858;1070
08/2024;qtd_aprovada;"311610 CHAPADA DO NORTE";-;20;-;3495;-;358;30;-;-;-;-;-;144;-;-;-;1059;312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;5226;10651
08/2024;qtd_aprovada;"311615 CHAPADA GAUCHA";-;56;-;2336;-;2965;7;-;-;-;-;-;-;-;-;-;104;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;10935;16444
08/2024;qtd_aprovada;"311620 CHIADOR";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;744;806
08/2024;qtd_aprovada;"311630 CIPOTANEA";-;25;-;6065;-;-;-;-;-;-;-;-;10;-;-;-;1143;178;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;136;7568
08/2024;qtd_aprovada;"311640 CLARAVAL";3213;5;14;3990;-;-;163;-;-;-;-;-;36;-;-;378;10495;-;-;-;-;-;158;77;-;14;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;20;-;-;1466;20056
08/2024;qtd_aprovada;"311650 CLARO DOS POCOES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71;-;-;1563;1634
08/2024;qtd_aprovada;"311660 CLAUDIO";-;-;3;11972;-;35;74;-;-;-;26;-;232;-;-;1;10336;813;17;-;-;-;18;533;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;6789;30895
08/2024;qtd_aprovada;"311670 COIMBRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;20
08/2024;qtd_aprovada;"311680 COLUNA";7746;38;65;5549;-;336;-;-;-;-;-;-;65;-;-;336;3564;-;-;-;-;-;-;-;-;12;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3849;21565
08/2024;qtd_aprovada;"311690 COMENDADOR GOMES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;118;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;118
08/2024;qtd_aprovada;"311700 COMERCINHO";1220;13;-;916;-;-;-;-;-;-;-;-;-;-;-;-;-;578;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;1509;4255
08/2024;qtd_aprovada;"311710 CONCEICAO DA APARECIDA";-;-;1;2833;-;466;-;-;-;-;-;-;-;-;-;-;2057;692;6;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;6123
08/2024;qtd_aprovada;"311720 CONCEICAO DAS PEDRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;qtd_aprovada;"311730 CONCEICAO DAS ALAGOAS";5107;18;-;10817;-;994;-;-;-;-;15;-;9;-;-;1869;43028;567;-;-;-;-;169;-;-;8;-;20;-;-;-;-;-;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;4;-;-;1464;64180
08/2024;qtd_aprovada;"311740 CONCEICAO DE IPANEMA";6506;14;31;-;-;278;-;-;-;-;-;-;19;-;-;70;3330;225;48;-;-;-;75;-;-;7;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;2244;12858
08/2024;qtd_aprovada;"311750 CONCEICAO DO MATO DENTRO";-;146;-;77829;-;21;192;-;-;-;25;-;2849;-;-;1882;28496;-;253;-;-;-;-;204;-;1263;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;3580;116760
08/2024;qtd_aprovada;"311760 CONCEICAO DO PARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;104;440;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;429;973
08/2024;qtd_aprovada;"311770 CONCEICAO DO RIO VERDE";8;154;-;1304;-;247;341;-;-;-;40;-;52;-;-;3;4903;-;-;-;-;-;187;-;-;40;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;36;-;-;2050;9367
08/2024;qtd_aprovada;"311780 CONCEICAO DOS OUROS";-;30;-;18;-;256;-;-;-;-;-;-;279;-;-;245;4585;133;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;210;5769
08/2024;qtd_aprovada;"311783 CONEGO MARINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;202;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;1416;1655
08/2024;qtd_aprovada;"311787 CONFINS";120;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;1486;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1646
08/2024;qtd_aprovada;"311790 CONGONHAL";596;299;6;819;-;-;-;-;-;-;-;-;-;-;-;74;3930;-;-;-;-;-;-;-;-;71;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1022;6827
08/2024;qtd_aprovada;"311800 CONGONHAS";16717;80;4015;38329;120;1913;600;131;-;-;-;-;2324;18;-;903;57082;2143;77;-;-;8;757;-;-;318;-;2;99;-;-;1;11;-;-;2;-;132;4;3;-;-;-;-;-;-;-;-;357;-;-;2034;128180
08/2024;qtd_aprovada;"311810 CONGONHAS DO NORTE";121;-;-;274;-;-;-;-;-;-;-;-;-;-;-;109;708;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;1250
08/2024;qtd_aprovada;"311820 CONQUISTA";-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;366;412;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;430;1219
08/2024;qtd_aprovada;"311830 CONSELHEIRO LAFAIETE";166;216;763;115200;2630;6472;1128;968;174;30;283;-;1244;60;-;17;30764;5845;270;-;2026;37;295;28;-;127;-;1;49;-;-;14;-;-;-;-;-;68;1;-;24;-;-;-;-;-;-;-;-;67;-;-;168967
08/2024;qtd_aprovada;"311840 CONSELHEIRO PENA";-;10;-;-;-;-;87;-;-;-;-;-;70;-;-;16;2739;216;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;339;3549
08/2024;qtd_aprovada;"311850 CONSOLACAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;qtd_aprovada;"311860 CONTAGEM";1351;37688;135;257747;3164;20074;4289;1431;162;109;720;-;14821;6;-;11524;202689;5754;2821;-;8356;19;447;1742;-;1827;-;29;712;-;48;17;84;-;-;-;-;305;8;329;104;-;-;-;-;-;-;-;8290;245;-;-;587047
08/2024;qtd_aprovada;"311870 COQUEIRAL";-;28;-;1122;-;240;-;-;-;-;-;-;296;-;-;142;5280;175;-;-;-;-;-;19;-;51;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;1572;8942
08/2024;qtd_aprovada;"311880 CORACAO DE JESUS";413;9;3;4920;68;1160;274;29;20;-;-;-;551;-;-;412;7955;1035;3;-;-;-;465;-;-;40;-;1;-;-;-;-;-;-;-;-;-;200;-;-;-;-;-;-;-;-;-;-;90;-;-;4870;22518
08/2024;qtd_aprovada;"311890 CORDISBURGO";-;14;-;-;-;-;-;-;-;-;-;-;63;-;-;9;2853;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;528;3495
08/2024;qtd_aprovada;"311900 CORDISLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;120;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65;225
08/2024;qtd_aprovada;"311910 CORINTO";7226;119;-;6739;-;387;30;-;-;-;-;-;546;-;-;140;13831;569;19;-;-;-;-;-;-;43;-;1;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15807;45462
08/2024;qtd_aprovada;"311920 COROACI";-;61;-;-;-;30;-;-;-;-;-;-;21;-;-;-;2184;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;20;-;-;2071;4429
08/2024;qtd_aprovada;"311930 COROMANDEL";5495;197;3348;12650;-;1387;229;-;-;-;-;-;340;-;-;173;18151;1245;210;-;-;-;498;-;-;157;-;-;-;-;-;-;-;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;22;-;-;3783;47972
08/2024;qtd_aprovada;"311940 CORONEL FABRICIANO";7415;4;9;39884;-;3353;441;613;105;-;110;-;1452;71;4;739;49270;2405;2;-;-;27;399;-;-;523;-;14;242;-;1;1;2;-;-;-;-;192;2;170;-;-;-;-;-;-;-;383717;13;-;-;8371;499551
08/2024;qtd_aprovada;"311950 CORONEL MURTA";-;-;-;1065;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;723;1798
08/2024;qtd_aprovada;"311960 CORONEL PACHECO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;999;999
08/2024;qtd_aprovada;"311970 CORONEL XAVIER CHAVES";517;17;134;3317;-;-;-;-;-;-;-;-;-;-;-;150;3683;-;-;-;-;-;194;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;647;8679
08/2024;qtd_aprovada;"311980 CORREGO DANTA";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;367;168;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;582
08/2024;qtd_aprovada;"311990 CORREGO DO BOM JESUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;qtd_aprovada;"311995 CORREGO FUNDO";-;6;98;2885;-;248;67;-;-;-;-;-;43;-;-;244;4899;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8595
08/2024;qtd_aprovada;"312000 CORREGO NOVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;1605;2630
08/2024;qtd_aprovada;"312010 COUTO DE MAGALHAES DE MINAS";172;-;-;-;-;-;-;-;-;-;-;-;-;-;-;79;2445;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;2852;5570
08/2024;qtd_aprovada;"312015 CRISOLITA";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;2534;2599
08/2024;qtd_aprovada;"312020 CRISTAIS";-;113;-;5458;-;611;344;-;-;-;18;-;211;-;-;-;13280;1359;-;-;-;-;-;-;-;21;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;2845;24303
08/2024;qtd_aprovada;"312030 CRISTALIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67
08/2024;qtd_aprovada;"312040 CRISTIANO OTONI";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;345;346;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;457;1153
08/2024;qtd_aprovada;"312050 CRISTINA";862;43;252;2183;-;144;43;-;-;-;-;-;32;-;-;-;3291;340;1;-;-;-;-;-;-;21;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1781;8994
08/2024;qtd_aprovada;"312060 CRUCILANDIA";-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;253;338;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;1148;1816
08/2024;qtd_aprovada;"312070 CRUZEIRO DA FORTALEZA";-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;2646;138;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1246;4084
