periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
08/2024;qtd_aprovada;"110033 NOVA MAMORE";395;-;5;5867;-;387;101;-;-;-;-;-;46;-;16;277;10755;-;1;-;-;-;-;-;-;114;-;4;-;-;-;-;-;1;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;112;18091
08/2024;qtd_aprovada;"110034 ALVORADA D'OESTE";6;79;-;2498;-;581;157;-;-;-;-;-;-;-;-;-;8242;485;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12071
08/2024;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1350;-;1659;2049;-;-;30;-;-;-;-;-;2;-;-;1222;5591;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3971;15874
08/2024;qtd_aprovada;"110040 ALTO PARAISO";1984;3398;-;5050;-;399;216;-;-;-;-;-;42;-;-;323;12881;-;-;-;-;-;-;-;-;58;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3540;27893
08/2024;qtd_aprovada;"110045 BURITIS";14295;85;156;15016;-;923;34;-;-;-;-;-;595;-;2;1908;33593;1972;9;-;-;2;1930;301;-;178;-;2;-;-;-;6;2;-;-;2;-;208;-;6;-;-;-;-;-;-;-;-;-;-;-;16688;87913
08/2024;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;-;-;3020;-;317;256;-;-;-;-;-;243;-;10;1422;7720;238;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4226;17454
08/2024;qtd_aprovada;"110060 CACAULANDIA";2220;15;1795;2326;-;-;48;-;-;-;-;-;-;-;6;57;3060;143;1;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9680
08/2024;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";5480;49;22;1065;-;3;-;-;-;-;-;-;-;-;-;351;5441;-;-;-;-;-;-;-;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;12424
08/2024;qtd_aprovada;"110080 CANDEIAS DO JAMARI";56;-;-;10925;-;-;-;-;-;-;-;-;-;-;-;205;4444;174;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15807
08/2024;qtd_aprovada;"110090 CASTANHEIRAS";1160;46;10;464;-;-;75;-;-;-;-;-;1;-;-;127;3517;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;240;5676
08/2024;qtd_aprovada;"110092 CHUPINGUAIA";-;25;-;3203;-;-;87;-;-;-;-;-;27;-;-;108;3835;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71;7358
08/2024;qtd_aprovada;"110094 CUJUBIM";3487;53;108;6260;-;1284;100;-;-;-;-;-;159;-;5;154;12446;-;4;-;-;-;10;-;-;67;-;-;2;-;-;-;1;-;-;-;-;41;-;10;-;-;-;-;-;-;-;-;-;-;-;838;25029
08/2024;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;35;-;2657;-;-;-;-;-;-;-;-;52;-;-;-;5092;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7863
08/2024;qtd_aprovada;"110110 ITAPUA DO OESTE";648;8;5;3421;-;80;8;-;-;-;-;-;-;-;-;209;6910;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11289
