periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
01/2026;qtd_aprovada;"352010 IGARAPAVA";4636;135;14;11885;-;816;160;99;51;-;36;-;179;3;-;140;16746;294;-;-;-;3;624;-;-;-;63;-;2;-;-;-;-;-;-;-;-;-;155;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;22;-;-;36083
01/2026;qtd_aprovada;"352020 IGARATA";4;-;154;1065;-;150;-;-;-;-;-;-;-;-;-;348;12599;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3101;-;-;-;-;-;-;17421
01/2026;qtd_aprovada;"352030 IGUAPE";1741;106;-;9734;-;-;278;-;-;-;-;-;235;-;-;1144;8648;356;-;-;-;-;-;-;-;-;67;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22311
01/2026;qtd_aprovada;"352040 ILHABELA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352042 ILHA COMPRIDA";-;406;36;14775;-;1827;109;-;-;-;-;-;65;-;14;1;2520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19753
01/2026;qtd_aprovada;"352044 ILHA SOLTEIRA";-;-;-;4464;-;1062;266;583;-;-;5;-;172;18;-;-;3540;180;14;-;1014;11;-;-;-;-;27;-;3;17;-;-;-;1;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;11399
01/2026;qtd_aprovada;"352050 INDAIATUBA";6991;10588;2350;192201;1003;11187;3942;941;595;-;751;-;12290;52;-;3598;158417;859;101;452;2311;41;1266;120;-;-;350;-;66;442;16;52;-;11;-;-;-;-;103;-;-;26;3;-;-;-;-;-;-;-;1923;3;-;-;-;-;294;15;-;435;413795
01/2026;qtd_aprovada;"352060 INDIANA";-;13;-;1728;-;-;-;-;-;-;-;-;-;-;-;-;13;208;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;812;-;-;-;-;-;-;2790
01/2026;qtd_aprovada;"352070 INDIAPORA";-;12;-;3308;-;234;-;-;-;-;-;-;40;-;-;115;7386;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;2070;-;-;-;-;-;-;13194
01/2026;qtd_aprovada;"352080 INUBIA PAULISTA";4341;-;302;-;-;2;11;-;-;-;-;-;82;-;-;114;3537;299;-;-;-;-;220;-;-;-;9;-;2;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;8934
01/2026;qtd_aprovada;"352090 IPAUSSU";3326;23;631;5912;-;580;156;-;-;-;-;-;136;-;-;399;13640;749;10;-;-;-;393;2;-;-;147;-;37;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;27;-;-;2889;-;-;-;-;-;-;29102
01/2026;qtd_aprovada;"352100 IPERO";-;65;214;8671;-;1225;491;-;-;-;-;-;-;-;-;431;28699;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39796
01/2026;qtd_aprovada;"352110 IPEUNA";720;-;155;6733;-;266;69;-;-;-;-;-;1;-;-;1551;13197;344;-;-;-;-;225;187;-;-;36;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;340;-;-;-;-;-;-;23859
01/2026;qtd_aprovada;"352115 IPIGUA";-;113;-;1897;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;2089
01/2026;qtd_aprovada;"352120 IPORANGA";126;8;242;1921;-;258;40;-;-;-;-;-;15;-;-;109;4009;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6778
01/2026;qtd_aprovada;"352130 IPUA";927;-;-;2567;-;386;199;-;-;-;-;-;186;-;-;94;8176;196;5;-;-;-;684;-;-;-;63;-;2;-;-;1;-;-;-;-;-;-;179;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13665
01/2026;qtd_aprovada;"352140 IRACEMAPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352150 IRAPUA";1802;14;12;380;-;119;37;-;-;-;-;-;73;-;-;392;18849;190;-;-;-;-;571;12;-;-;2;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22522
01/2026;qtd_aprovada;"352160 IRAPURU";144;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3941;460;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4554
01/2026;qtd_aprovada;"352170 ITABERA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352180 ITAI";27083;77;416;252;-;204;-;-;-;-;-;-;211;-;-;2870;50192;587;-;-;-;-;3616;-;-;-;84;-;14;-;-;-;-;-;-;-;-;-;218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;596;-;-;-;7;-;-;86427
01/2026;qtd_aprovada;"352190 ITAJOBI";13913;68;1111;745;-;1217;139;-;-;-;-;-;-;-;-;1191;29685;1721;1;-;-;-;680;1;-;-;36;-;5;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;26;-;-;2426;-;-;-;-;-;-;53034
01/2026;qtd_aprovada;"352200 ITAJU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352210 ITANHAEM";-;-;-;2143;-;805;41;164;-;-;74;-;432;-;-;4;4844;-;24;-;-;1;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8623
01/2026;qtd_aprovada;"352215 ITAOCA";-;16;-;-;-;-;3;-;-;-;-;-;13;-;-;-;87;-;-;-;-;-;-;-;-;-;12;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;722;-;-;-;-;-;-;858
01/2026;qtd_aprovada;"352220 ITAPECERICA DA SERRA";605;182;25051;69691;18;9385;1219;1267;-;-;167;-;2405;-;-;4530;185633;2841;27;86;2450;13;176;-;-;-;404;-;172;-;-;2;44;25;-;-;-;-;71;44;-;89;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;306618
01/2026;qtd_aprovada;"352230 ITAPETININGA";85;504;143;72785;1278;8442;2696;2103;38;-;264;-;3362;114;-;86;102541;100;67;-;2868;717;109;43;-;-;1267;-;55;71;4;26;17;-;-;-;2;-;-;-;-;113;8;-;-;-;-;-;-;-;199;10;-;-;-;-;-;10;62;-;200189
01/2026;qtd_aprovada;"352240 ITAPEVA";16428;508;2476;63270;1354;4376;1504;1833;95;-;516;-;5551;1101;-;5424;79772;634;149;608;2430;1041;-;74;-;-;78;-;27;265;1;-;65;20;-;-;1;-;-;4;-;1;11;-;-;-;-;-;-;-;-;9;-;-;-;-;-;7;-;287;189920
01/2026;qtd_aprovada;"352250 ITAPEVI";-;-;22;18715;13;2358;1927;1088;-;-;181;-;2619;-;-;-;12196;354;17;-;-;9;-;246;-;-;280;-;23;30;-;51;20;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;40171
01/2026;qtd_aprovada;"352260 ITAPIRA";6612;185;422;33365;15;2736;282;403;-;-;3;-;770;10;-;1472;59278;1536;119;-;-;10;142;2;-;-;461;-;25;5;7;1;3;14;-;-;-;-;4;-;-;4;5;-;-;-;-;-;-;-;2;-;-;5300;-;13;54;32;-;25;113317
01/2026;qtd_aprovada;"352265 ITAPIRAPUA PAULISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352270 ITAPOLIS";2402;96;724;2597;3;1627;407;320;-;-;-;-;846;-;1;421;39313;-;-;-;-;-;8;4;-;-;113;-;8;14;-;-;-;-;-;-;1;-;-;-;-;24;-;-;-;-;-;-;-;-;114;-;-;617;-;-;-;-;-;-;49660
01/2026;qtd_aprovada;"352280 ITAPORANGA";7071;-;71;5610;-;726;-;-;-;-;-;-;144;-;-;411;19699;205;9;-;-;-;470;1;-;-;18;-;9;-;-;-;-;-;-;-;-;-;36;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34487
01/2026;qtd_aprovada;"352290 ITAPUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352300 ITAPURA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352310 ITAQUAQUECETUBA";8556;247;554;109429;-;8560;1081;1284;-;-;408;-;2451;-;-;11817;241932;350;24;-;1643;-;-;15;-;-;619;-;1;-;15;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;3;-;-;-;-;-;29;-;-;389024
01/2026;qtd_aprovada;"352320 ITARARE";-;-;94;23819;-;1641;455;105;-;-;50;-;431;-;-;59;25016;-;93;-;-;-;-;1;-;-;332;-;3;-;-;1;5;1;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52158
01/2026;qtd_aprovada;"352330 ITARIRI";967;-;65;-;-;664;154;-;-;-;-;-;-;-;-;1027;11314;55;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14319
01/2026;qtd_aprovada;"352340 ITATIBA";16573;341;2171;39235;132;3919;194;290;-;-;239;-;2146;7;-;6644;104842;1981;111;518;1068;9;5333;15;-;-;314;1;69;-;-;2;1;7;-;-;-;-;268;-;-;34;7;-;-;-;-;-;-;-;-;4;-;2194;-;17;1;-;85;-;188772
01/2026;qtd_aprovada;"352350 ITATINGA";-;35;-;9335;-;714;179;-;-;-;-;-;232;-;-;21;7784;-;-;-;-;-;43;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2482;-;-;-;-;-;-;20882
01/2026;qtd_aprovada;"352360 ITIRAPINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352370 ITIRAPUA";1296;5;-;36;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;1665;-;-;-;-;-;-;3022
01/2026;qtd_aprovada;"352380 ITOBI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352390 ITU";30353;1177;16747;6496;979;8309;4243;1815;-;-;354;-;8441;-;-;9206;207060;5054;202;-;3821;-;4005;389;-;-;1067;-;74;52;2;29;17;7;-;-;-;-;801;2;-;95;18;-;-;-;-;-;-;-;100;29;-;528;-;-;2;17;-;641;312132
01/2026;qtd_aprovada;"352400 ITUPEVA";7274;122;3540;34762;42;2886;834;722;17;-;75;-;1793;-;37;1237;54741;2077;72;-;-;-;2272;188;-;-;24;-;9;-;-;22;-;-;-;-;-;-;321;-;-;75;-;-;-;-;-;-;-;-;33;-;-;-;-;42;-;-;-;-;113217
01/2026;qtd_aprovada;"352410 ITUVERAVA";934;-;347;8430;265;2364;2322;506;67;-;185;-;5715;-;36;168;16200;867;42;-;1669;-;836;30;-;-;336;-;3;309;-;-;-;-;-;-;-;-;179;-;-;-;11;-;-;-;-;-;-;-;76;1;-;-;-;26;-;13;-;-;41937
01/2026;qtd_aprovada;"352420 JABORANDI";2733;115;7;2722;-;133;144;-;-;-;-;-;32;-;-;258;12702;325;-;-;-;-;86;61;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;1270;-;-;-;-;-;-;20703
01/2026;qtd_aprovada;"352430 JABOTICABAL";23941;240;4314;49554;325;1087;596;232;46;-;62;40;1270;-;235;4275;77408;367;217;-;1853;-;1558;204;-;-;110;-;53;4;-;-;3;7;-;-;-;-;202;-;-;5;9;-;-;-;-;-;-;-;3;10;-;-;-;-;-;-;-;-;168230
01/2026;qtd_aprovada;"352440 JACAREI";8921;1292;1228;156474;2065;7580;6257;968;249;-;563;-;15826;1179;-;5302;102978;8021;746;725;1898;776;661;1;-;-;413;-;6;167;6;3;34;16;-;-;-;-;49;-;-;447;17;-;-;-;-;-;-;-;-;28;-;-;344;25;141;35;-;328;325769
01/2026;qtd_aprovada;"352450 JACI";-;2;-;1290;-;354;41;-;-;-;-;-;202;-;-;-;9333;320;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;296;-;-;-;-;-;-;11870
01/2026;qtd_aprovada;"352460 JACUPIRANGA";-;32;-;9001;-;456;172;-;-;-;-;-;197;-;-;10;11728;439;8;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1753;-;-;-;-;-;-;23836
01/2026;qtd_aprovada;"352470 JAGUARIUNA";-;-;23;1074;157;4879;2618;557;85;-;86;-;1012;-;-;812;46335;1826;59;-;-;2;-;140;-;-;61;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59728
01/2026;qtd_aprovada;"352480 JALES";470;2485;75;28466;1327;3996;1789;2273;234;262;297;-;6451;-;-;1321;41737;1969;145;2107;-;45;605;48;-;-;1055;-;24;323;2;47;10;4;-;-;8;-;34;-;-;183;-;-;-;-;-;-;-;-;-;-;-;5995;-;-;33;-;-;111;103931
01/2026;qtd_aprovada;"352490 JAMBEIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352500 JANDIRA";2964;203;297;52557;-;2315;626;-;-;-;-;-;1227;-;-;3426;90928;1308;-;-;-;-;402;-;-;-;258;-;22;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;156560
01/2026;qtd_aprovada;"352510 JARDINOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352520 JARINU";2;-;-;34003;-;1361;-;-;-;-;-;-;-;-;56;-;17039;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1615;-;-;-;-;-;-;54110
01/2026;qtd_aprovada;"352530 JAU";1655;-;340;36094;3909;3005;1198;3501;223;694;407;-;1132;2660;-;339;66897;1570;6;4731;2398;1858;430;904;-;-;974;-;16;47;6;4;-;43;-;-;-;-;45;-;-;255;26;391;-;-;-;32;-;-;1;18;-;-;-;8;-;-;-;-;135817
01/2026;qtd_aprovada;"352540 JERIQUARA";-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;402;171;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;617
01/2026;qtd_aprovada;"352550 JOANOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352560 JOAO RAMALHO";1791;128;5;3312;-;-;30;-;-;-;-;-;28;-;-;171;1497;175;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7139
01/2026;qtd_aprovada;"352570 JOSE BONIFACIO";23581;178;45;6899;-;2976;178;240;-;-;36;-;496;-;-;2454;58773;1871;139;-;-;-;1473;78;-;-;136;-;85;-;-;-;-;-;-;-;-;-;198;-;-;147;-;-;-;-;-;-;-;-;42;-;-;4010;-;-;-;-;-;-;104035
01/2026;qtd_aprovada;"352580 JULIO MESQUITA";-;281;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;281
01/2026;qtd_aprovada;"352585 JUMIRIM";220;40;7;1494;-;-;-;-;-;-;-;-;-;-;-;-;774;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2535
01/2026;qtd_aprovada;"352590 JUNDIAI";10816;927;21842;274070;2696;26463;9796;4505;914;124;1121;20;69141;5269;-;10709;339782;6663;5043;2038;1757;2970;11665;1252;-;29;1115;-;289;1474;-;16;128;13;2;-;-;-;1589;1;-;79;8;-;-;-;-;-;-;-;954;92;-;-;22;-;-;-;-;-;815394
01/2026;qtd_aprovada;"352600 JUNQUEIROPOLIS";643;10;4712;14934;-;816;1;15;-;-;-;-;438;-;288;543;16316;847;136;-;-;-;4;86;-;-;38;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;39882
01/2026;qtd_aprovada;"352610 JUQUIA";-;3356;2715;7721;-;589;170;-;-;-;-;-;157;-;-;740;23108;595;-;-;-;-;118;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;39360
01/2026;qtd_aprovada;"352620 JUQUITIBA";-;97;-;-;-;48;-;-;-;-;-;-;86;-;-;117;13982;691;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15026
01/2026;qtd_aprovada;"352630 LAGOINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352640 LARANJAL PAULISTA";338;78;18;7332;-;1399;371;264;-;-;9;-;244;-;1;293;13477;-;6;-;-;32;-;9;-;-;85;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;24068
01/2026;qtd_aprovada;"352650 LAVINIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352660 LAVRINHAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352670 LEME";26265;103;3708;73481;91;3984;632;141;219;-;199;-;2083;-;-;4652;93812;1374;24;-;1734;3;3057;17;-;-;1758;-;48;59;-;1;6;-;-;-;-;-;374;7;-;2;19;-;-;-;-;-;-;-;332;10;-;17500;-;-;-;52;-;-;235747
01/2026;qtd_aprovada;"352680 LENCOIS PAULISTA";36939;-;2851;41477;76;3179;764;353;183;-;165;-;741;-;-;5538;76674;11320;475;-;-;-;984;58;-;-;261;-;162;-;-;12;-;2;-;-;-;-;148;-;-;162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;182524
01/2026;qtd_aprovada;"352690 LIMEIRA";2795;1027;11385;144772;2713;13317;3312;2416;93;73;652;33;6409;1337;49;3446;159809;5036;912;985;2039;1351;3288;203;-;-;557;12;97;271;2;6;31;15;-;-;1;103;695;-;-;85;17;-;-;-;-;-;-;-;111;9;-;-;-;4;-;-;30;2;369500
01/2026;qtd_aprovada;"352700 LINDOIA";7;-;63;71790;-;325;1568;-;-;-;276;-;8;-;-;-;4328;605;-;-;-;-;723;-;-;-;104;-;158;-;-;28;-;-;-;-;-;-;131;1;-;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;-;-;80181
01/2026;qtd_aprovada;"352710 LINS";1459;114;306;20440;-;2531;336;61;12;-;-;-;454;-;-;942;21730;-;-;-;-;11;660;-;-;-;53;-;1;-;-;-;-;-;-;-;-;-;141;-;-;-;-;-;-;-;-;-;-;-;35;-;-;4629;-;-;-;-;-;-;53915
01/2026;qtd_aprovada;"352720 LORENA";109;22;641;44915;330;3652;2200;1218;50;-;538;-;3123;5;-;2404;41086;487;144;-;-;49;-;-;-;-;255;-;-;138;21;1;-;5;-;-;-;-;-;-;-;150;-;-;-;-;-;-;-;-;18;-;-;-;-;-;10;34;78;-;101683
01/2026;qtd_aprovada;"352725 LOURDES";2438;-;178;-;-;-;-;-;-;-;-;-;-;-;-;207;6692;221;-;-;-;-;229;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9985
01/2026;qtd_aprovada;"352730 LOUVEIRA";-;190;5;38224;39;2079;1245;314;5;-;65;-;2744;-;-;297;40379;885;62;-;-;-;111;-;-;-;362;-;10;-;-;108;1;-;-;-;-;-;56;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87235
01/2026;qtd_aprovada;"352740 LUCELIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"352750 LUCIANOPOLIS";3135;14;278;-;-;7;-;-;-;-;-;-;-;-;-;259;7986;146;-;-;-;-;548;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12399
01/2026;qtd_aprovada;"352760 LUIS ANTONIO";3238;107;6;7942;-;684;133;-;-;-;-;-;-;-;-;97;2612;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1769;-;-;-;-;-;-;16588
