periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
10/2025;qtd_aprovada;"172110 TOCANTINIA";-;10;-;420;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;450
10/2025;qtd_aprovada;"172120 TOCANTINOPOLIS";9194;49;-;3723;-;386;438;-;-;-;-;-;182;-;329;361;17571;-;2;-;-;-;-;-;-;-;-;48;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;25;-;-;-;-;-;-;32360
10/2025;qtd_aprovada;"172125 TUPIRAMA";-;9;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131;-;-;-;-;-;-;172
10/2025;qtd_aprovada;"172130 TUPIRATINS";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;25
10/2025;qtd_aprovada;"172208 WANDERLANDIA";6530;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;822;-;-;-;-;-;-;7423
10/2025;qtd_aprovada;"172210 XAMBIOA";-;16;-;1154;-;691;222;-;-;-;16;-;97;-;-;3;4120;1;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;56;-;-;-;-;-;-;6408
10/2025;qtd_aprovada;" MUNICIPIO IGNORADO - MA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2025;qtd_aprovada;"210005 ACAILANDIA";7126;84;54;104287;-;4112;1336;946;23;-;376;-;2231;286;2;2475;80375;16971;58;-;2027;105;-;-;89;-;-;1493;-;3;555;-;-;-;-;-;-;-;-;3;-;-;508;28;-;-;-;-;-;-;-;-;30;-;13415;-;-;-;-;-;-;238998
10/2025;qtd_aprovada;"210010 AFONSO CUNHA";-;14;-;3941;-;-;-;-;-;-;-;-;-;-;-;176;3544;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;246;-;-;-;-;-;-;7928
10/2025;qtd_aprovada;"210015 AGUA DOCE DO MARANHAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2025;qtd_aprovada;"210020 ALCANTARA";-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;5;560;-;-;-;-;-;-;-;-;-;-;118;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;707
10/2025;qtd_aprovada;"210030 ALDEIAS ALTAS";185;22;-;-;-;465;148;-;-;-;-;-;107;-;-;-;5027;-;-;-;-;3;-;-;-;-;-;137;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;6144
10/2025;qtd_aprovada;"210040 ALTAMIRA DO MARANHAO";-;-;-;1560;-;-;52;-;-;-;-;-;-;-;-;31;2771;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;20;-;-;711;-;-;-;-;-;-;5191
10/2025;qtd_aprovada;"210043 ALTO ALEGRE DO MARANHAO";10;173;52;19851;-;905;1221;-;-;-;-;-;2420;-;-;1017;30868;-;-;-;-;-;-;-;-;-;-;175;-;-;909;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;317;-;-;-;-;-;-;-;-;-;57918
10/2025;qtd_aprovada;"210047 ALTO ALEGRE DO PINDARE";1;73;25;15593;-;1246;222;289;-;-;34;-;182;-;4;6176;31857;813;27;-;-;4;102;-;4;-;-;176;-;10;4;-;-;1;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;29;-;-;6763;-;-;-;-;-;-;63640
10/2025;qtd_aprovada;"210050 ALTO PARNAIBA";102;29;-;-;-;-;-;-;-;-;-;-;-;6;-;102;3928;-;-;-;-;-;51;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1172;-;-;-;-;-;-;5476
10/2025;qtd_aprovada;"210055 AMAPA DO MARANHAO";-;-;-;896;-;22;46;-;-;-;-;-;-;-;-;-;3284;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4305
10/2025;qtd_aprovada;"210060 AMARANTE DO MARANHAO";225;79;2091;6655;214;630;346;-;-;-;-;-;70;-;5;1027;12238;732;8;-;-;-;97;-;-;-;-;320;-;2;-;-;-;-;2;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;2418;-;-;-;-;-;-;27193
10/2025;qtd_aprovada;"210070 ANAJATUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2025;qtd_aprovada;"210080 ANAPURUS";2228;-;-;-;-;-;159;-;-;-;-;-;147;-;-;800;12649;-;-;-;-;-;-;-;-;-;-;236;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;1681;-;-;-;-;-;-;17926
10/2025;qtd_aprovada;"210083 APICUM-ACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2025;qtd_aprovada;"210087 ARAGUANA";-;107;-;2623;-;139;41;-;-;-;-;-;65;-;-;20;2805;-;-;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;5922
10/2025;qtd_aprovada;"210090 ARAIOSES";-;-;-;-;-;-;-;-;-;-;-;-;167;-;-;684;12850;218;-;-;-;-;-;-;-;-;-;39;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13959
10/2025;qtd_aprovada;"210095 ARAME";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2025;qtd_aprovada;"210100 ARARI";4336;48;-;3128;-;570;-;-;-;-;-;-;7;-;-;586;24533;-;-;-;-;-;-;-;-;-;-;131;-;9;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;5315;-;-;-;-;-;-;38702
10/2025;qtd_aprovada;"210110 AXIXA";1920;46;-;4526;-;-;126;-;-;-;-;-;-;-;-;1121;11360;-;-;-;-;-;90;-;-;-;-;220;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;181;-;-;-;-;-;-;19641
10/2025;qtd_aprovada;"210120 BACABAL";987;420;584;35939;659;4577;1813;1572;-;-;-;-;821;887;-;3248;114034;472;664;-;3562;639;-;-;238;-;-;1143;-;26;-;-;1;37;2;-;-;-;-;-;1;-;170;16;-;-;-;-;-;-;-;70;22;-;7379;-;-;-;-;-;-;179983
10/2025;qtd_aprovada;"210125 BACABEIRA";45;12;-;2207;-;-;129;-;-;-;-;-;165;-;-;-;15100;32;-;-;-;-;-;-;4;-;-;225;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;634;-;-;-;-;-;-;18577
10/2025;qtd_aprovada;"210130 BACURI";-;-;-;6297;-;-;44;-;-;-;-;-;-;-;-;30;8029;-;-;-;-;-;-;-;-;-;-;474;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3600;-;-;-;-;-;-;18479
10/2025;qtd_aprovada;"210135 BACURITUBA";70;20;-;1867;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;2121
10/2025;qtd_aprovada;"210140 BALSAS";6042;347;609;49608;1664;2910;653;801;128;-;184;-;3085;1514;1;2857;100614;1613;274;-;1067;1428;579;-;-;-;-;1120;-;60;13;10;-;70;-;-;-;-;-;234;-;-;448;4;-;-;-;-;-;-;-;66;-;-;19387;-;-;-;-;-;-;197390
10/2025;qtd_aprovada;"210150 BARAO DE GRAJAU";-;207;-;15693;-;188;178;-;-;-;-;-;33;-;-;49;7400;-;-;-;-;-;-;-;-;-;-;128;-;2;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;32;-;-;2908;-;-;-;-;-;-;26855
10/2025;qtd_aprovada;"210160 BARRA DO CORDA";5005;308;1;8016;336;2765;1094;1174;-;-;119;-;1043;114;-;1088;65730;2844;-;-;-;52;378;-;-;-;-;589;-;23;-;-;-;-;2;-;-;-;-;177;-;-;-;-;-;-;-;-;-;-;-;19;-;-;96105;-;-;-;-;-;-;186982
10/2025;qtd_aprovada;"210170 BARREIRINHAS";3;150;-;40921;-;4161;879;1687;-;-;-;-;218;-;-;1041;57020;183;-;-;-;-;-;-;-;-;-;565;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;3446;-;-;-;-;-;-;110328
10/2025;qtd_aprovada;"210173 BELAGUA";-;-;-;360;-;-;54;-;-;-;-;-;-;-;-;270;2107;-;-;-;-;-;-;-;-;-;-;17;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;66;-;-;-;-;-;-;2922
10/2025;qtd_aprovada;"210177 BELA VISTA DO MARANHAO";149;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1936;7943;288;39;-;-;-;192;-;20;-;-;116;-;6;-;-;-;-;-;-;-;-;-;87;4;-;-;-;-;-;-;-;-;-;-;24;-;-;372;-;-;-;-;-;-;11176
10/2025;qtd_aprovada;"210180 BENEDITO LEITE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2025;qtd_aprovada;"210190 BEQUIMAO";-;-;-;466;-;149;51;-;-;-;-;-;-;-;-;-;4744;-;-;-;-;-;-;-;-;-;-;84;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5496
10/2025;qtd_aprovada;"210193 BERNARDO DO MEARIM";-;-;-;-;-;-;112;-;-;-;15;-;5;-;-;292;5827;151;-;-;-;-;-;-;281;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;74;-;-;-;-;-;-;6837
10/2025;qtd_aprovada;"210197 BOA VISTA DO GURUPI";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;181;1555;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;1759
10/2025;qtd_aprovada;"210200 BOM JARDIM";-;45;85;-;-;359;110;-;-;-;22;-;82;-;-;338;10816;387;2;-;-;-;30;-;-;-;-;337;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;708;-;-;-;-;-;-;13361
10/2025;qtd_aprovada;"210203 BOM JESUS DAS SELVAS";5092;44;-;4725;-;91;-;-;-;-;-;-;38;-;-;335;11213;350;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;4000;-;-;-;-;-;-;25943
10/2025;qtd_aprovada;"210207 BOM LUGAR";-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;56;420;-;-;-;-;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;1884;-;-;-;-;-;-;2511
10/2025;qtd_aprovada;"210210 BREJO";3703;-;-;-;-;-;-;-;-;-;-;-;-;-;-;473;10383;-;16;-;-;-;-;-;-;-;-;284;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8890;-;-;-;-;-;-;23754
10/2025;qtd_aprovada;"210215 BREJO DE AREIA";-;-;-;-;-;-;208;-;-;-;-;-;-;-;-;121;739;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;1209
10/2025;qtd_aprovada;"210220 BURITI";92;118;-;2519;104;-;161;-;-;-;-;-;1;-;-;421;15244;-;-;-;-;-;-;-;-;-;-;162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2148;-;-;-;-;-;-;20970
10/2025;qtd_aprovada;"210230 BURITI BRAVO";-;46;-;2724;-;209;84;-;-;-;-;-;-;-;-;380;16654;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;1131;-;-;-;-;-;-;21260
10/2025;qtd_aprovada;"210232 BURITICUPU";259;16;241;3905;374;616;184;51;-;-;79;-;102;-;3;901;47008;-;2;-;-;-;-;-;-;-;-;137;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53886
10/2025;qtd_aprovada;"210235 BURITIRANA";-;60;-;2176;-;-;107;-;-;-;-;-;92;-;-;455;6282;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;2050;-;-;-;-;-;-;11236
10/2025;qtd_aprovada;"210237 CACHOEIRA GRANDE";-;99;-;-;-;518;84;-;-;-;-;-;-;-;-;-;3678;-;-;-;-;-;-;-;-;-;-;250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1129;-;-;-;-;-;-;5758
10/2025;qtd_aprovada;"210240 CAJAPIO";-;-;5;598;-;119;59;-;-;-;-;-;2;-;-;60;4971;-;-;-;-;-;89;-;-;-;-;21;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;1200;-;-;-;-;-;-;7146
10/2025;qtd_aprovada;"210250 CAJARI";-;-;-;3051;-;-;24;-;-;-;-;-;-;-;-;128;6591;-;-;-;-;-;-;-;-;-;-;36;-;4;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2178;-;-;-;-;-;-;12014
10/2025;qtd_aprovada;"210255 CAMPESTRE DO MARANHAO";-;18;-;1282;-;-;-;-;-;-;-;-;26;-;-;2533;11340;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;1166;-;-;-;-;-;-;16446
10/2025;qtd_aprovada;"210260 CANDIDO MENDES";-;-;-;-;-;-;91;-;-;-;-;-;-;-;-;1081;10655;-;-;-;-;-;-;-;-;-;-;294;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;1256;-;-;-;-;-;-;13407
10/2025;qtd_aprovada;"210270 CANTANHEDE";-;-;-;3933;-;380;166;-;-;-;-;-;-;-;-;191;16640;-;-;-;-;-;30;-;-;-;-;407;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;1926;-;-;-;-;-;-;23704
10/2025;qtd_aprovada;"210275 CAPINZAL DO NORTE";-;6;-;2223;-;-;-;-;-;-;-;-;-;-;-;32;4580;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6841
10/2025;qtd_aprovada;"210280 CAROLINA";258;63;-;-;-;656;165;-;-;-;-;-;104;-;-;1258;13724;-;1;-;-;-;-;-;-;-;-;46;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;4525;-;-;-;-;-;-;20826
10/2025;qtd_aprovada;"210290 CARUTAPERA";-;108;161;9060;-;1643;72;-;-;-;25;-;5;-;-;1048;15123;73;28;-;-;-;-;-;-;-;-;275;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;400;-;-;1782;-;-;-;-;-;-;29804
10/2025;qtd_aprovada;"210300 CAXIAS";19060;261;21907;75925;303;4027;3546;2488;515;-;307;-;3273;1328;-;9904;227892;8959;49;-;4015;1333;3899;-;521;-;-;925;-;126;-;113;-;170;-;-;-;-;-;3226;-;-;73;42;-;-;-;-;-;-;-;1460;69;-;555;-;-;-;-;-;-;396271
10/2025;qtd_aprovada;"210310 CEDRAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2025;qtd_aprovada;"210312 CENTRAL DO MARANHAO";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;965;5153;-;-;-;-;-;-;-;-;-;-;44;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;6201
10/2025;qtd_aprovada;"210315 CENTRO DO GUILHERME";254;-;-;5460;-;-;-;-;-;-;-;-;-;-;-;194;13403;-;-;-;-;-;98;-;-;-;-;293;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;492;-;-;-;-;-;-;20307
10/2025;qtd_aprovada;"210317 CENTRO NOVO DO MARANHAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2025;qtd_aprovada;"210320 CHAPADINHA";239;684;1424;55294;322;6442;1054;1055;-;-;81;-;2421;107;-;2204;75384;4275;1975;-;-;-;141;-;3752;-;-;5957;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;331;-;-;3692;-;-;-;-;-;-;166849
10/2025;qtd_aprovada;"210325 CIDELANDIA";-;62;-;10194;-;-;-;-;-;-;-;-;9;-;-;-;5223;-;-;-;-;-;-;-;-;-;-;128;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;113;-;-;-;-;-;-;15773
10/2025;qtd_aprovada;"210330 CODO";1823;88;223;92131;299;2127;751;-;-;-;-;-;1158;576;23;2502;85962;7622;118;-;2424;560;585;-;-;-;-;774;-;20;-;-;-;-;-;-;-;-;-;116;-;-;7;7;-;-;-;-;-;-;-;15;6;-;10961;-;-;-;-;-;-;210878
10/2025;qtd_aprovada;"210340 COELHO NETO";878;56;37;9970;467;1000;332;80;-;-;16;-;370;103;-;1534;37507;1519;-;-;-;-;48;-;-;-;-;108;-;-;208;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2094;-;-;-;-;-;-;56371
10/2025;qtd_aprovada;"210350 COLINAS";485;-;-;15351;92;777;418;364;-;-;-;-;98;98;-;272;39433;584;-;-;-;-;211;-;-;-;-;76;-;-;-;-;-;1;-;-;-;-;-;303;-;-;-;-;-;-;-;-;-;-;-;10;-;-;5550;-;-;-;-;-;-;64123
10/2025;qtd_aprovada;"210355 CONCEICAO DO LAGO-ACU";-;63;-;-;-;692;260;-;-;-;-;-;100;-;-;-;400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1515
10/2025;qtd_aprovada;"210360 COROATA";2103;15;32;69491;286;1982;1226;990;-;-;97;-;1247;354;10;1069;68666;374;1041;-;-;-;3743;-;376;-;-;212;-;15;55;-;3;-;-;-;-;-;-;753;-;-;57;-;-;-;-;-;-;-;-;417;-;-;-;-;-;-;-;-;-;154614
10/2025;qtd_aprovada;"210370 CURURUPU";-;-;-;3012;-;507;73;71;-;-;-;-;132;82;-;1032;12504;63;6;-;-;-;101;-;-;-;-;56;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;240;-;-;-;-;-;-;17884
10/2025;qtd_aprovada;"210375 DAVINOPOLIS";367;-;-;2662;-;-;-;-;-;-;-;-;-;-;-;-;10802;731;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;2560;-;-;-;-;-;-;17144
10/2025;qtd_aprovada;"210380 DOM PEDRO";166;84;-;4;-;105;-;-;-;-;-;-;19;-;-;63;9651;-;-;-;-;-;125;-;-;-;-;136;-;5;-;-;-;-;-;-;-;-;-;252;-;-;-;-;-;-;-;-;-;-;-;16;-;-;252;-;-;-;-;-;-;10878
10/2025;qtd_aprovada;"210390 DUQUE BACELAR";710;32;70;2832;-;34;253;146;-;-;-;-;68;-;-;256;8272;-;-;-;-;-;99;-;1;-;-;51;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;1422;-;-;-;-;-;-;14297
10/2025;qtd_aprovada;"210400 ESPERANTINOPOLIS";-;-;250;2285;-;420;109;-;-;-;29;-;-;-;-;30;17678;149;-;-;-;-;115;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;650;-;-;-;-;-;-;21765
10/2025;qtd_aprovada;"210405 ESTREITO";15502;57;429;7352;-;823;238;-;-;-;-;-;144;-;-;737;20908;355;81;-;-;-;320;-;-;-;-;192;-;6;-;-;-;-;-;-;-;-;-;39;20;-;-;-;-;-;-;-;-;-;-;-;-;-;2518;-;-;-;-;-;-;49721
10/2025;qtd_aprovada;"210407 FEIRA NOVA DO MARANHAO";-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1660;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;2293;-;-;-;-;-;-;4004
10/2025;qtd_aprovada;"210408 FERNANDO FALCAO";-;10;-;1424;-;-;-;-;-;-;-;-;36;-;-;49;4397;-;-;-;-;-;7;-;-;-;-;184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6771;-;-;-;-;-;-;12878
10/2025;qtd_aprovada;"210409 FORMOSA DA SERRA NEGRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2025;qtd_aprovada;"210410 FORTALEZA DOS NOGUEIRAS";-;18;563;3592;-;-;186;-;-;-;-;-;-;-;-;91;6673;100;-;-;-;-;-;-;-;-;-;20;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11246
10/2025;qtd_aprovada;"210420 FORTUNA";-;41;-;-;-;-;66;-;-;-;-;-;-;-;-;-;8688;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;3405;-;-;-;-;-;-;12220
