periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
04/2024;qtd_aprovada;"230470 GRANJA";50;320;-;5444;178;678;414;-;-;-;-;-;172;-;-;555;28934;135;-;-;-;-;42;10;-;219;-;4;185;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;445;37838
04/2024;qtd_aprovada;"230480 GRANJEIRO";103;19;-;2388;-;8;-;-;-;-;-;-;-;-;-;245;4206;167;-;-;-;-;150;-;-;3;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;31;-;-;830;8156
04/2024;qtd_aprovada;"230490 GROAIRAS";-;26;15;-;-;-;56;-;-;-;-;-;106;-;-;234;8941;-;-;-;-;-;-;-;-;170;-;6;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;28;-;-;376;9960
04/2024;qtd_aprovada;"230495 GUAIUBA";-;-;-;434;-;-;-;-;-;-;-;-;-;-;-;72;345;-;-;-;-;-;-;-;-;33;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;896
04/2024;qtd_aprovada;"230500 GUARACIABA DO NORTE";15;210;3;2158;-;44;-;-;-;-;-;-;14;-;1;1118;23079;887;-;-;-;-;365;-;-;12;-;-;-;-;-;-;-;-;-;-;-;376;-;-;-;-;-;-;-;-;-;-;-;-;-;28282
04/2024;qtd_aprovada;"230510 GUARAMIRANGA";-;42;10;-;-;-;-;-;-;-;-;-;30;-;-;28;4220;157;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4497
04/2024;qtd_aprovada;"230520 HIDROLANDIA";-;33;-;1937;-;1046;99;-;-;-;-;-;258;-;-;658;11690;746;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2393;18957
04/2024;qtd_aprovada;"230523 HORIZONTE";75;246;143;20134;-;1735;339;-;-;-;16;-;101;-;91;2070;68926;550;33;-;-;1;622;-;-;46;-;2;-;1;-;-;-;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;-;-;-;95261
04/2024;qtd_aprovada;"230526 IBARETAMA";60;101;-;7565;-;213;24;-;-;-;-;-;75;-;-;-;4404;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12486
04/2024;qtd_aprovada;"230530 IBIAPINA";214;121;37;2951;-;308;108;-;-;-;-;-;169;-;-;44;10339;2078;-;-;-;-;82;195;-;159;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;16846
04/2024;qtd_aprovada;"230533 IBICUITINGA";-;53;-;1044;-;-;41;-;-;-;-;-;109;-;-;73;3776;-;-;-;-;-;-;-;-;204;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5306
04/2024;qtd_aprovada;"230535 ICAPUI";-;148;16;2871;-;186;79;-;-;-;-;-;107;-;-;3;9948;276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13634
04/2024;qtd_aprovada;"230540 ICO";46;26;254;4398;33;1032;180;-;-;-;89;-;553;-;1;-;21100;113;2;-;-;-;645;-;-;124;-;-;-;-;-;-;-;-;-;-;-;181;-;-;-;-;-;-;-;-;-;8;-;-;-;28785
04/2024;qtd_aprovada;"230550 IGUATU";312;121;172;4300;-;692;732;592;-;-;158;-;878;2502;1;298;51102;1393;58;-;2702;1389;-;301;-;259;-;36;146;-;-;1;-;-;-;-;-;-;22;-;17;-;-;-;-;-;630;1;27;-;-;68842
04/2024;qtd_aprovada;"230560 INDEPENDENCIA";-;336;-;2723;-;-;114;-;-;-;-;-;657;-;-;1054;48736;-;-;-;-;-;-;-;-;360;-;152;85;150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54367
04/2024;qtd_aprovada;"230565 IPAPORANGA";69;62;-;-;-;-;-;-;-;-;-;-;-;-;-;225;4295;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;4759
04/2024;qtd_aprovada;"230570 IPAUMIRIM";-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3739;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3775
04/2024;qtd_aprovada;"230580 IPU";-;79;45;10944;-;1340;401;-;-;-;46;-;321;-;-;159;26801;587;-;-;-;-;145;-;-;37;-;14;69;-;-;-;-;-;-;-;-;202;-;-;-;-;-;-;-;-;-;21;-;-;-;41211
04/2024;qtd_aprovada;"230590 IPUEIRAS";-;424;40;1986;-;-;-;-;-;-;-;-;-;-;-;514;9299;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12263
04/2024;qtd_aprovada;"230600 IRACEMA";120;236;146;1704;-;245;122;-;-;-;-;-;57;-;-;750;6555;336;-;-;-;-;82;-;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;10527
04/2024;qtd_aprovada;"230610 IRAUCUBA";-;23;-;2081;-;817;141;-;-;-;-;-;12;-;-;977;24356;663;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;29101
04/2024;qtd_aprovada;"230620 ITAICABA";-;268;57;893;-;-;-;-;-;-;-;-;85;-;-;420;4785;55;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6571
04/2024;qtd_aprovada;"230625 ITAITINGA";387;221;2;30572;-;2387;719;-;27;-;66;-;39;-;-;1494;47407;1302;-;-;-;-;455;-;-;58;-;1;-;-;-;-;-;-;-;-;-;134;-;-;-;-;-;-;-;-;-;23;-;-;-;85294
04/2024;qtd_aprovada;"230630 ITAPAJE";-;280;-;8131;-;798;64;-;-;-;-;-;504;-;-;1694;31230;1251;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;43978
04/2024;qtd_aprovada;"230640 ITAPIPOCA";132;190;391;23384;-;3246;1355;35;-;-;29;-;2048;-;12;1152;78658;-;307;-;3601;-;851;-;-;132;-;5;77;-;-;4;-;-;-;-;-;148;-;-;24;-;-;-;-;-;-;38;31;-;-;115850
04/2024;qtd_aprovada;"230650 ITAPIUNA";584;145;5306;2304;-;207;128;-;-;-;-;-;20;-;-;874;8924;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18507
04/2024;qtd_aprovada;"230655 ITAREMA";3;79;6;8678;-;523;270;-;-;-;-;-;163;-;-;372;16318;897;-;-;-;-;-;-;-;131;-;10;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;828;28279
04/2024;qtd_aprovada;"230660 ITATIRA";-;108;-;-;-;-;80;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;206
04/2024;qtd_aprovada;"230670 JAGUARETAMA";225;314;20;13942;-;426;114;-;-;-;20;-;24;-;-;-;16786;888;13;-;-;-;-;-;-;136;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;32981
04/2024;qtd_aprovada;"230680 JAGUARIBARA";-;98;10;4277;-;254;161;-;-;-;-;-;893;-;-;-;9278;1555;-;-;-;-;-;226;-;339;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;17122
04/2024;qtd_aprovada;"230690 JAGUARIBE";47;271;37;14893;-;1579;250;-;-;-;-;-;566;-;9;1175;24724;2706;-;-;-;-;-;-;-;173;-;-;94;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131;-;-;-;46658
04/2024;qtd_aprovada;"230700 JAGUARUANA";23;125;20;6904;-;438;200;-;-;-;-;-;294;-;-;-;22759;789;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31562
04/2024;qtd_aprovada;"230710 JARDIM";-;77;-;1049;-;-;20;-;-;-;-;-;55;-;-;-;9366;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10578
04/2024;qtd_aprovada;"230720 JATI";51;90;12;1417;-;-;-;-;-;-;-;-;-;-;-;-;5018;-;-;-;-;-;201;-;-;3;-;-;-;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;-;-;-;40;-;-;-;6941
04/2024;qtd_aprovada;"230725 JIJOCA DE JERICOACOARA";-;528;721;7089;-;895;120;-;-;-;-;-;117;-;-;1002;25445;276;25;-;-;-;-;-;-;169;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36387
04/2024;qtd_aprovada;"230730 JUAZEIRO DO NORTE";928;812;457;29232;1095;2920;1004;763;-;-;82;-;3491;-;1;2664;146983;3557;9;-;2779;17;591;422;-;146;-;4;64;-;3;7;1;-;-;-;-;108;-;-;26;-;-;-;-;-;-;550;18;-;-;198734
04/2024;qtd_aprovada;"230740 JUCAS";-;90;-;3702;-;424;-;-;-;-;-;-;209;-;-;311;23636;812;-;-;-;-;-;-;-;483;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;9705;39387
04/2024;qtd_aprovada;"230750 LAVRAS DA MANGABEIRA";-;52;3;1607;-;187;-;-;-;-;-;-;74;-;-;-;8858;1155;-;-;-;-;-;-;-;66;-;16;77;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;12157
04/2024;qtd_aprovada;"230760 LIMOEIRO DO NORTE";295;163;336;30990;-;4318;1366;2514;775;-;124;-;1887;-;-;800;74304;2128;-;-;-;-;1328;1;-;160;-;21;28;27;7;-;1;-;-;-;-;276;3;-;-;-;-;-;-;-;-;47;-;-;4729;126628
04/2024;qtd_aprovada;"230763 MADALENA";-;35;141;-;-;244;71;-;-;-;-;-;29;-;-;664;12020;546;-;-;-;-;-;-;-;6;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13761
04/2024;qtd_aprovada;"230765 MARACANAU";1795;1815;2056;140421;1498;8699;3443;1142;182;-;365;-;4890;-;61;6049;129231;3703;1615;-;4470;-;1592;-;-;1109;-;73;487;22;-;-;-;-;-;-;-;411;-;-;36;-;-;-;-;-;-;39;47;-;-;315251
04/2024;qtd_aprovada;"230770 MARANGUAPE";-;264;-;28968;525;2876;-;103;-;-;-;-;850;-;1;64;75433;1436;-;-;-;-;-;-;-;260;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110783
04/2024;qtd_aprovada;"230780 MARCO";-;93;-;7881;-;952;308;5;4;-;29;-;149;-;-;1045;17800;1056;-;-;-;-;-;3;-;168;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29498
04/2024;qtd_aprovada;"230790 MARTINOPOLE";43;46;27;-;-;-;80;-;-;-;-;-;37;-;-;243;2894;54;-;-;-;-;-;-;-;65;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;3514
04/2024;qtd_aprovada;"230800 MASSAPE";666;134;139;-;-;455;72;-;-;-;-;-;50;-;-;185;18863;-;-;-;-;-;21;-;-;70;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;20725
04/2024;qtd_aprovada;"230810 MAURITI";1;256;-;5272;-;867;371;-;-;-;33;-;60;-;-;101;9928;8446;9;-;-;-;142;-;-;242;-;30;-;32;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;122;-;-;-;25926
04/2024;qtd_aprovada;"230820 MERUOCA";-;47;-;2712;-;-;368;-;-;-;-;-;123;-;-;410;9233;361;-;-;-;-;-;-;-;34;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;660;13997
04/2024;qtd_aprovada;"230830 MILAGRES";61;190;321;8353;-;499;126;-;-;-;36;-;343;-;-;401;8157;644;-;-;-;-;298;-;-;23;-;1;65;-;-;-;-;-;-;-;-;171;-;-;-;-;-;-;-;-;-;57;-;-;-;19746
04/2024;qtd_aprovada;"230835 MILHA";-;337;-;1384;-;325;-;-;-;-;-;-;64;-;-;8;13466;832;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;1601;18069
04/2024;qtd_aprovada;"230837 MIRAIMA";-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;1046;4252;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5315
04/2024;qtd_aprovada;"230840 MISSAO VELHA";35;288;-;-;-;246;256;-;-;-;4;-;78;-;-;20;4574;2423;-;-;-;-;39;-;-;21;-;-;-;-;-;-;-;-;-;-;-;38;113;-;-;-;-;-;-;-;-;50;-;-;-;8185
04/2024;qtd_aprovada;"230850 MOMBACA";24;140;-;878;-;842;96;-;-;-;-;-;122;-;-;1044;35767;179;-;-;-;-;293;-;-;258;-;11;-;-;-;-;-;-;-;-;-;116;-;-;-;-;-;-;-;-;-;24;-;-;116;39910
04/2024;qtd_aprovada;"230860 MONSENHOR TABOSA";-;55;-;706;-;140;91;-;-;-;-;-;40;-;-;-;6160;-;-;-;-;-;-;-;-;41;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7246
04/2024;qtd_aprovada;"230870 MORADA NOVA";-;298;32;16552;-;736;181;-;-;-;-;-;194;-;-;495;33924;-;-;-;-;-;-;-;-;48;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52461
04/2024;qtd_aprovada;"230880 MORAUJO";-;95;247;-;-;-;-;-;-;-;-;-;58;-;-;396;6227;-;-;-;-;-;-;-;-;15;-;6;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7047
04/2024;qtd_aprovada;"230890 MORRINHOS";-;37;-;1056;-;411;165;-;-;-;-;-;-;-;-;500;8874;-;-;-;-;-;-;-;-;104;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;11191
04/2024;qtd_aprovada;"230900 MUCAMBO";-;70;311;311;-;1301;175;-;-;-;-;-;49;-;-;264;10677;691;-;-;-;-;-;-;-;133;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;14004
04/2024;qtd_aprovada;"230910 MULUNGU";-;60;5;3003;-;-;-;-;-;-;-;-;83;-;-;-;11005;137;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14298
04/2024;qtd_aprovada;"230920 NOVA OLINDA";401;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1066;253;-;-;-;-;489;-;-;16;-;21;-;-;-;-;-;-;-;-;-;139;-;-;-;-;-;-;-;-;-;39;-;-;-;2480
04/2024;qtd_aprovada;"230930 NOVA RUSSAS";37;99;4;8858;-;769;980;-;-;-;35;-;1006;-;-;1451;28518;1073;-;-;-;-;484;-;-;254;-;-;295;-;-;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;22;-;-;824;44777
04/2024;qtd_aprovada;"230940 NOVO ORIENTE";-;217;339;6062;-;-;51;-;-;-;-;-;87;-;-;-;17388;740;-;-;-;-;-;-;-;229;-;35;-;-;-;-;15;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;330;25512
04/2024;qtd_aprovada;"230945 OCARA";27;87;-;8573;-;774;-;-;-;-;-;-;157;-;-;805;18689;823;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29963
04/2024;qtd_aprovada;"230950 OROS";43;53;-;4893;-;260;-;-;-;-;-;-;86;-;-;190;11781;-;-;-;-;-;145;-;-;20;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;1664;19204
04/2024;qtd_aprovada;"230960 PACAJUS";113;203;80;-;-;479;402;744;-;-;-;-;469;-;-;107;6870;805;-;-;-;-;-;714;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11020
04/2024;qtd_aprovada;"230970 PACATUBA";191;21;1062;9399;-;13;390;-;-;-;-;-;241;-;-;1828;53690;25;-;-;-;4;-;5;-;113;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66984
04/2024;qtd_aprovada;"230980 PACOTI";-;128;-;1283;-;-;-;-;-;-;-;-;-;-;-;-;1052;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2466
04/2024;qtd_aprovada;"230990 PACUJA";-;26;-;319;-;-;-;-;-;-;-;-;-;-;-;-;-;315;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;740
04/2024;qtd_aprovada;"231000 PALHANO";11;36;-;519;-;181;-;-;-;-;-;-;175;-;-;206;12499;182;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13879
04/2024;qtd_aprovada;"231010 PALMACIA";-;18;-;1977;-;-;-;-;-;-;-;-;-;-;-;466;12300;534;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15295
04/2024;qtd_aprovada;"231020 PARACURU";-;175;-;5333;-;581;313;-;-;-;-;-;80;-;-;30;23517;1028;-;-;-;-;196;-;-;97;-;5;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;33;31434
04/2024;qtd_aprovada;"231025 PARAIPABA";9;-;6560;-;-;366;133;-;-;-;21;-;-;-;-;787;28386;1;-;-;-;-;57;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;36380
04/2024;qtd_aprovada;"231030 PARAMBU";-;61;7525;6475;-;524;-;365;-;-;-;-;221;-;-;12;41553;695;-;-;-;-;210;-;-;8;-;6;-;-;-;-;11;-;7;-;-;129;-;-;-;-;-;-;-;-;-;-;-;-;982;58784
04/2024;qtd_aprovada;"231040 PARAMOTI";-;70;1156;-;-;414;128;-;-;-;-;-;119;-;-;2928;13721;-;86;-;-;-;91;-;-;136;-;12;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;21;-;-;-;18886
04/2024;qtd_aprovada;"231050 PEDRA BRANCA";183;65;42;8678;-;915;117;-;-;-;-;-;120;-;-;1152;16425;792;-;-;-;-;-;9;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;78;-;-;-;28600
04/2024;qtd_aprovada;"231060 PENAFORTE";2;120;-;-;-;-;92;-;-;-;-;-;-;-;-;765;1006;140;1;-;-;-;493;-;-;89;-;17;-;-;-;-;-;-;-;-;-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;2803
04/2024;qtd_aprovada;"231070 PENTECOSTE";10;263;-;1332;-;-;3;-;-;-;-;-;170;-;-;161;5449;769;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8177
04/2024;qtd_aprovada;"231080 PEREIRO";8;42;-;2473;-;224;92;-;-;-;-;-;128;-;36;141;6034;143;-;-;-;-;-;-;-;47;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;9443
04/2024;qtd_aprovada;"231085 PINDORETAMA";6586;173;-;6629;-;417;106;-;-;-;35;-;267;-;-;980;16303;-;-;-;-;-;253;-;-;21;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;51;-;-;-;31893
04/2024;qtd_aprovada;"231090 PIQUET CARNEIRO";763;131;7094;3553;-;-;47;-;-;-;-;-;61;-;-;773;9349;424;-;-;-;-;-;-;1;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22216
04/2024;qtd_aprovada;"231095 PIRES FERREIRA";12;326;-;-;-;-;-;-;-;-;-;-;-;-;-;103;1504;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1963
04/2024;qtd_aprovada;"231100 PORANGA";-;38;19;-;-;-;-;-;-;-;-;-;73;-;-;98;5977;1764;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;7989
04/2024;qtd_aprovada;"231110 PORTEIRAS";24;141;-;1914;-;-;56;-;-;-;-;-;-;-;-;-;6195;345;-;-;-;-;307;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-;-;-;-;30;-;-;-;9096
04/2024;qtd_aprovada;"231120 POTENGI";-;-;10;-;-;-;-;-;-;-;-;-;46;-;-;-;10806;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10867
04/2024;qtd_aprovada;"231123 POTIRETAMA";-;82;-;781;-;-;-;-;-;-;-;-;18;-;-;2038;7235;216;-;-;-;-;42;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;10442
04/2024;qtd_aprovada;"231126 QUITERIANOPOLIS";118;71;146;7570;-;313;45;-;-;-;-;-;201;-;-;-;74100;-;-;-;-;-;-;-;-;365;-;27;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82966
04/2024;qtd_aprovada;"231130 QUIXADA";4185;15760;160;25535;-;2076;292;-;-;-;29;-;979;4081;2;8757;87941;834;359;-;1871;2212;29;-;-;1993;-;6;-;-;2;32;-;-;-;-;-;-;-;144;6;-;-;-;-;-;-;-;6;-;2598;159889
04/2024;qtd_aprovada;"231135 QUIXELO";52;94;-;4006;-;-;51;-;-;-;-;-;48;-;-;-;9186;271;-;-;-;-;167;-;-;157;-;-;-;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;2424;16533
04/2024;qtd_aprovada;"231140 QUIXERAMOBIM";279;709;581;7682;-;1329;525;12;27;-;59;-;368;-;-;3169;48683;656;-;-;-;-;915;-;-;103;-;9;-;-;-;2;-;-;-;-;-;166;-;-;-;-;-;-;-;-;-;81;-;-;120;65475
04/2024;qtd_aprovada;"231150 QUIXERE";-;313;-;5563;-;666;144;-;-;-;-;-;259;-;-;305;17818;235;12;-;-;-;-;-;-;36;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;25384
04/2024;qtd_aprovada;"231160 REDENCAO";37;47;35;9317;-;681;267;-;-;-;-;-;89;-;-;-;8913;694;-;-;-;-;616;-;-;40;-;14;-;-;1;-;-;-;-;-;-;165;-;-;-;-;-;-;-;-;-;-;-;-;-;20916
04/2024;qtd_aprovada;"231170 RERIUTABA";55;28;1;-;-;-;157;-;-;-;19;-;90;-;-;24;10289;1114;-;-;-;-;-;-;-;151;-;11;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;107;12048
04/2024;qtd_aprovada;"231180 RUSSAS";286;1049;269;20441;18;2452;427;116;-;-;134;-;1371;-;-;869;58690;778;42;-;2959;-;-;2;-;414;-;6;-;3;6;1;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;30;-;-;90384
04/2024;qtd_aprovada;"231190 SABOEIRO";-;42;-;1726;-;-;-;-;-;-;-;-;151;-;-;605;4701;40;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;14;7372
04/2024;qtd_aprovada;"231195 SALITRE";55;48;70;1386;-;103;65;-;-;-;-;-;20;-;-;-;3984;-;-;-;-;-;34;-;-;9;-;-;-;-;-;-;-;-;2;-;2;44;-;-;-;-;-;-;-;-;-;21;-;-;-;5843
04/2024;qtd_aprovada;"231200 SANTANA DO ACARAU";-;222;5360;7929;-;417;168;-;-;-;17;-;248;-;-;2837;11438;-;-;-;-;-;-;-;-;300;-;12;-;180;-;-;3;-;-;-;-;214;-;-;-;-;-;-;-;-;-;31;-;-;-;29376
04/2024;qtd_aprovada;"231210 SANTANA DO CARIRI";11;20;1571;-;-;22;60;-;-;-;-;-;-;-;10;259;4707;-;-;-;-;-;138;-;-;66;-;8;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;6915
