periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
01/2026;valor_aprovado;"500510 JATEI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;682,00;-;-;-;-;-;-;-;46,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;728,32
01/2026;valor_aprovado;"500515 JUTI";-;-;-;4327,14;-;622,00;2191,20;-;-;-;-;-;164,80;-;-;-;1595,66;114,87;-;-;-;-;-;-;69,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9085,15
01/2026;valor_aprovado;"500520 LADARIO";-;-;-;95210,85;-;-;6751,25;-;-;-;-;-;417,15;-;-;-;5657,20;547,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;108584,32
01/2026;valor_aprovado;"500525 LAGUNA CARAPA";-;-;-;7409,58;-;669,41;-;-;-;-;-;-;-;-;-;2,00;5579,61;-;-;-;-;-;-;-;162,12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13822,72
01/2026;valor_aprovado;"500540 MARACAJU";-;-;21,56;57528,28;-;9658,49;18639,50;-;-;-;1125,74;-;2540,89;-;-;-;80730,53;3217,77;39,41;-;-;396,41;2,32;4210,92;6106,08;-;28,00;-;-;-;-;-;-;-;-;-;386,24;-;-;-;-;-;-;-;-;-;-;5175,00;-;-;-;-;-;-;-;-;189807,14
01/2026;valor_aprovado;"500560 MIRANDA";-;-;-;16970,86;-;4350,18;4590,30;-;-;-;-;-;360,50;-;-;46,00;22600,32;37,36;-;-;-;-;-;-;2787,12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51742,64
01/2026;valor_aprovado;"500568 MUNDO NOVO";-;-;-;3043,70;-;-;-;-;-;-;-;-;-;-;-;-;1102,15;2266,08;-;-;-;-;67,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6479,58
01/2026;valor_aprovado;"500570 NAVIRAI";-;-;251,35;57687,80;11672,02;13391,34;11335,83;74532,73;-;-;2215,36;-;6009,20;-;-;162,00;103651,71;5659,76;508,83;-;-;-;-;-;169,46;-;109,14;19710,00;-;-;932,23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5850,00;-;-;-;-;-;-;-;-;313848,76
01/2026;valor_aprovado;"500580 NIOAQUE";-;-;-;7030,27;-;1754,88;-;-;-;-;-;-;72,10;-;-;-;2325,05;-;-;-;-;-;-;-;277,92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11460,22
01/2026;valor_aprovado;"500600 NOVA ALVORADA DO SUL";-;-;-;5565,37;-;4323,35;3323,10;-;-;-;-;-;-;-;-;-;27109,12;-;-;-;-;-;-;-;694,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41015,74
01/2026;valor_aprovado;"500620 NOVA ANDRADINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;valor_aprovado;"500625 NOVO HORIZONTE DO SUL";-;-;-;1869,70;-;328,75;759,55;-;-;-;-;-;46,35;-;-;-;5657,65;-;-;-;-;-;-;-;162,12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8824,12
01/2026;valor_aprovado;"500627 PARAISO DAS AGUAS";2,70;-;-;-;-;814,11;393,25;8043,51;-;-;-;-;190,55;-;-;-;14417,51;356,97;-;-;-;-;-;-;185,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1470,15;-;-;-;-;-;-;25874,03
01/2026;valor_aprovado;"500630 PARANAIBA";-;-;-;45182,07;-;9982,76;6839,92;32958,97;2687,50;-;3030,20;-;4661,20;-;-;10,00;109186,26;-;-;-;215427,18;-;188,16;-;2493,08;-;-;-;-;-;591,32;438,24;-;-;-;-;40575,60;-;-;694,86;-;-;-;-;-;-;-;-;610,56;-;-;-;-;-;-;-;475557,88
01/2026;valor_aprovado;"500635 PARANHOS";-;-;-;5376,29;-;-;2200,55;-;-;-;-;-;-;-;-;-;14195,27;-;-;-;-;-;-;-;138,96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21911,07
01/2026;valor_aprovado;"500640 PEDRO GOMES";-;-;-;3380,38;-;787,41;2335,85;-;-;-;-;-;355,35;-;-;11,00;12275,55;473,49;-;-;-;-;-;-;395,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20014,51
01/2026;valor_aprovado;"500660 PONTA PORA";-;-;-;48872,88;-;8502,51;3197,70;82934,94;-;-;2600,64;-;5720,90;-;-;-;65027,17;-;-;-;407007,83;9,38;-;-;1255,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2010,67;-;-;-;-;-;-;-;-;78460,63;-;-;-;-;-;-;-;705600,45
