periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
09/2024;qtd_aprovada;"312730 GALILEIA";166;8;-;2332;-;-;-;-;-;-;-;-;-;-;-;127;1822;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;3732;8209
09/2024;qtd_aprovada;"312733 GAMELEIRAS";2;18;-;-;-;89;-;-;-;-;-;-;97;-;-;4;44;-;-;-;-;-;94;-;-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;1515;1997
09/2024;qtd_aprovada;"312735 GLAUCILANDIA";18;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;203;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;22;265
09/2024;qtd_aprovada;"312737 GOIABEIRA";40;42;4;-;-;5;36;-;-;-;-;-;-;-;-;142;2439;358;-;-;-;-;229;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;-;-;-;24;-;-;495;3880
09/2024;qtd_aprovada;"312738 GOIANA";-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;139;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;999;1244
09/2024;qtd_aprovada;"312740 GONCALVES";-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;309;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1513;1917
09/2024;qtd_aprovada;"312750 GONZAGA";-;21;-;399;-;-;-;-;-;-;-;-;-;-;-;-;324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;1600;2401
09/2024;qtd_aprovada;"312760 GOUVEIA";-;22;-;1656;995;148;-;-;-;-;-;-;101;-;-;-;1332;647;-;-;-;-;-;-;-;-;-;-;-;351;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;2869;8156
09/2024;qtd_aprovada;"312770 GOVERNADOR VALADARES";16025;254;794;87730;3934;11857;3654;3597;413;153;856;9;13475;1881;327;2701;151002;1612;2773;1295;6122;2390;659;-;3;-;1317;-;145;1128;1;21;30;18;-;-;2;-;148;43;425;77;48;-;-;-;2;-;321388;2699;128;-;5837;646973
09/2024;qtd_aprovada;"312780 GRAO MOGOL";267;23;3;7174;-;316;-;-;-;-;-;-;119;2;-;46;5601;-;3;-;-;-;291;-;-;-;86;-;14;29;-;-;-;-;-;-;-;-;164;-;3;-;-;-;-;-;-;-;-;74;-;-;2226;16441
09/2024;qtd_aprovada;"312790 GRUPIARA";743;-;14;-;-;-;-;-;-;-;-;-;-;-;-;128;636;89;-;-;-;-;82;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;1746
09/2024;qtd_aprovada;"312800 GUANHAES";3740;-;75;2442;-;746;514;231;48;-;41;-;347;-;-;289;22347;248;815;-;-;-;-;-;-;-;145;-;3;-;-;-;13;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;32097
09/2024;qtd_aprovada;"312810 GUAPE";9119;-;98;6791;-;485;-;-;-;-;-;-;-;-;2;395;15863;140;-;-;-;-;284;-;48;-;42;-;5;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;4741;38059
09/2024;qtd_aprovada;"312820 GUARACIABA";-;55;-;-;-;14;-;-;-;-;-;-;-;-;-;54;1722;814;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2435;5111
09/2024;qtd_aprovada;"312825 GUARACIAMA";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;176;-;-;-;-;-;8;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1562;1755
09/2024;qtd_aprovada;"312830 GUARANESIA";5505;3;5;2045;-;5;214;-;-;-;-;-;11;-;-;84;6109;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;1271;15282
09/2024;qtd_aprovada;"312840 GUARANI";-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
09/2024;qtd_aprovada;"312850 GUARARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;711;135;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;149;1025
09/2024;qtd_aprovada;"312860 GUARDA-MOR";-;1;-;3610;-;374;22;-;-;-;-;-;155;-;-;42;3655;482;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1471;9859
09/2024;qtd_aprovada;"312870 GUAXUPE";236;-;7;15093;192;1748;1190;132;182;-;99;-;1081;2;-;229;23204;1989;23;-;1670;3;395;-;30;-;68;-;-;37;-;-;-;-;-;-;1;-;29;-;-;15;-;-;-;-;-;-;-;21;28;-;6681;54385
09/2024;qtd_aprovada;"312880 GUIDOVAL";24;94;7;2654;-;-;-;-;-;-;-;-;137;-;-;-;719;633;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;23;-;-;700;5065
09/2024;qtd_aprovada;"312890 GUIMARANIA";25;20;-;-;-;260;-;-;-;-;-;-;-;-;-;-;1853;124;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;2339
09/2024;qtd_aprovada;"312900 GUIRICEMA";265;45;-;1191;-;-;68;-;-;-;-;-;109;-;-;486;438;-;-;-;-;-;1214;-;20;-;100;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;37;-;-;2520;6532
09/2024;qtd_aprovada;"312910 GURINHATA";8;5;-;1619;-;101;-;-;-;-;-;-;23;-;-;-;1782;-;-;-;-;-;71;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;1936;5576
09/2024;qtd_aprovada;"312920 HELIODORA";-;-;-;590;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1026;1631
09/2024;qtd_aprovada;"312930 IAPU";-;12;-;6649;-;-;-;-;-;-;-;-;151;-;-;-;1002;421;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;601;8856
09/2024;qtd_aprovada;"312940 IBERTIOGA";-;-;-;416;-;125;39;-;-;-;-;-;50;-;-;1;4175;314;-;-;-;-;-;-;1;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5183
09/2024;qtd_aprovada;"312950 IBIA";1172;72;1;10688;-;417;317;-;-;-;-;-;49;-;-;514;18156;582;-;-;-;-;-;-;-;-;-;-;-;57;-;1;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3044;35074
09/2024;qtd_aprovada;"312960 IBIAI";41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2480;-;-;-;-;-;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;3255;5875
09/2024;qtd_aprovada;"312965 IBIRACATU";-;12;-;922;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;144;1111
09/2024;qtd_aprovada;"312970 IBIRACI";820;91;-;12314;-;1330;129;-;-;-;-;-;206;-;-;460;13766;52;-;-;-;-;-;-;-;-;48;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2534;31755
09/2024;qtd_aprovada;"312980 IBIRITE";53;91;102;50377;527;3589;996;242;-;-;67;-;1032;53;-;3230;52587;2064;21;-;-;26;220;-;-;-;655;-;5;-;-;2;10;1;-;-;2;-;113;1;67;-;-;-;-;-;-;-;-;-;-;-;232;116365
09/2024;qtd_aprovada;"312990 IBITIURA DE MINAS";-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1714;1732
09/2024;qtd_aprovada;"313000 IBITURUNA";436;6;22;-;-;-;-;-;-;-;-;-;-;-;-;14;1328;-;-;-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;20;-;-;-;1992
09/2024;qtd_aprovada;"313005 ICARAI DE MINAS";-;5;-;4660;-;-;21;-;-;-;-;-;-;-;-;-;3936;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;234;8856
09/2024;qtd_aprovada;"313010 IGARAPE";3892;58;1291;19179;-;2078;3227;334;339;220;803;-;7362;-;-;1387;60469;770;2585;-;-;-;-;-;87;-;2;-;58;835;-;5;-;1;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;20;-;1;624;105640
09/2024;qtd_aprovada;"313020 IGARATINGA";477;17;2;6982;-;-;-;-;-;-;-;-;6;-;-;169;9742;260;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;895;18626
09/2024;qtd_aprovada;"313030 IGUATAMA";1;18;1;1689;-;311;174;-;-;-;-;-;129;-;-;-;5498;-;17;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2267;10121
09/2024;qtd_aprovada;"313040 IJACI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09/2024;qtd_aprovada;"313050 ILICINEA";-;88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88
09/2024;qtd_aprovada;"313055 IMBE DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;538;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;1698;2255
09/2024;qtd_aprovada;"313060 INCONFIDENTES";-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;198;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132;343
09/2024;qtd_aprovada;"313065 INDAIABIRA";-;-;-;1429;-;-;-;-;-;-;-;-;-;-;-;-;274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;50;-;-;2496;4259
09/2024;qtd_aprovada;"313070 INDIANOPOLIS";94;7;-;2992;-;85;-;-;-;-;-;-;-;-;-;-;2235;384;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;1410;7262
09/2024;qtd_aprovada;"313080 INGAI";-;-;-;1043;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1083
09/2024;qtd_aprovada;"313090 INHAPIM";1;18;48;4000;1345;36;-;-;-;-;-;-;70;-;-;108;12707;926;-;-;-;-;-;-;-;-;121;-;23;-;-;-;-;-;-;-;1;2;-;-;49;-;-;-;-;-;-;-;-;-;-;-;6699;26154
09/2024;qtd_aprovada;"313100 INHAUMA";-;8;-;807;-;253;-;-;-;-;-;-;21;-;-;-;1426;49;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;252;2921
09/2024;qtd_aprovada;"313110 INIMUTABA";1;7;-;4061;-;-;21;-;-;-;-;-;101;-;-;-;263;170;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1271;5899
09/2024;qtd_aprovada;"313115 IPABA";16;-;22;5115;-;350;164;-;-;-;-;-;196;-;-;124;6839;983;-;-;-;-;42;-;-;-;46;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;741;14675
09/2024;qtd_aprovada;"313120 IPANEMA";523;77;14;6070;-;612;159;-;-;-;-;-;293;-;-;2602;14083;340;-;-;-;-;-;-;-;-;180;-;-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;1501;26578
09/2024;qtd_aprovada;"313130 IPATINGA";407;344;150;142673;1750;8953;6111;2561;493;164;184;3;19180;2122;3;4976;66403;5799;2170;1812;3008;1691;1200;-;131;-;2254;-;31;812;-;85;43;21;3;-;-;-;185;6;188;34;87;-;-;-;124;-;-;3961;156;-;6429;286707
09/2024;qtd_aprovada;"313140 IPIACU";1399;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;614;2045
09/2024;qtd_aprovada;"313150 IPUIUNA";1;37;-;3090;-;-;102;33;-;-;-;-;24;-;-;1;3415;411;-;-;-;-;-;-;17;-;28;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;142;7328
09/2024;qtd_aprovada;"313160 IRAI DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;122;2936;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;3192
09/2024;qtd_aprovada;"313170 ITABIRA";30384;900;452;59203;1711;5119;2526;1017;252;43;325;2;2905;117;-;1557;35124;3582;1428;769;2705;55;1222;-;145;-;396;-;100;168;15;58;34;22;-;-;-;-;219;-;319;27;-;-;-;-;-;-;271645;55;54;-;2550;427205
09/2024;qtd_aprovada;"313180 ITABIRINHA";344;30;1;2433;-;685;139;-;-;-;-;-;-;-;-;215;5556;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;514;9917
09/2024;qtd_aprovada;"313190 ITABIRITO";465;-;320;8593;-;3152;630;-;-;-;3;-;379;-;-;1706;43559;1160;186;-;-;2;1176;-;38;-;182;-;2;-;-;-;-;14;-;-;-;-;187;-;21;-;-;-;-;-;-;-;-;1077;-;-;959;63811
09/2024;qtd_aprovada;"313200 ITACAMBIRA";5;14;-;598;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;882;1554
09/2024;qtd_aprovada;"313210 ITACARAMBI";5128;34;9;5911;-;477;302;-;-;-;-;-;108;-;-;182;9895;429;2;-;-;-;164;-;1;-;31;-;4;-;-;-;-;-;-;-;-;-;200;-;76;-;-;-;-;-;-;-;-;36;-;-;13580;36569
09/2024;qtd_aprovada;"313220 ITAGUARA";2082;298;1;944;-;150;8;-;-;-;-;-;52;-;-;7;11819;225;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;2201;17819
09/2024;qtd_aprovada;"313230 ITAIPE";-;-;-;1400;-;218;-;-;-;-;-;-;-;-;-;-;384;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;800;2871
09/2024;qtd_aprovada;"313240 ITAJUBA";6793;341;298;30211;789;2823;752;129;29;31;31;1;6184;58;-;615;24762;1367;198;-;2288;24;374;-;1;-;47;-;-;232;-;-;6;31;-;-;-;-;257;-;-;17;98;-;-;-;82;-;-;187;24;-;1236;80316
09/2024;qtd_aprovada;"313250 ITAMARANDIBA";10463;78;441;18409;7;2304;557;5;6;-;11;-;350;-;-;2592;54561;443;1;-;-;-;1790;-;514;-;115;-;31;6;-;2;-;5;-;-;-;-;152;-;-;-;-;-;-;-;-;-;-;27;-;-;13200;106070
09/2024;qtd_aprovada;"313260 ITAMARATI DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;378;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1762;2140
09/2024;qtd_aprovada;"313270 ITAMBACURI";8;55;-;3202;-;724;-;-;-;-;-;-;27;-;-;-;7982;528;-;-;-;-;27;-;11;-;30;-;-;-;-;-;3;-;-;-;-;-;1;1;20;-;-;-;-;-;-;-;-;22;-;-;620;13261
09/2024;qtd_aprovada;"313280 ITAMBE DO MATO DENTRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1021;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1021
09/2024;qtd_aprovada;"313290 ITAMOGI";2990;11;-;4271;28;582;309;33;60;-;24;-;227;-;-;-;6650;234;-;-;-;-;-;-;-;-;26;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;1970;17446
09/2024;qtd_aprovada;"313300 ITAMONTE";5525;-;166;3256;-;436;74;-;-;-;-;-;35;-;-;633;10786;-;-;-;-;-;841;-;126;-;31;-;-;-;-;-;-;-;-;-;-;-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;3450;25437
09/2024;qtd_aprovada;"313310 ITANHANDU";446;89;702;6706;-;556;368;-;-;-;-;-;10350;-;2;525;12611;-;3900;-;-;-;453;-;1;-;21;-;56;432;-;-;-;-;-;-;-;-;161;-;-;-;-;-;-;-;-;-;-;445;-;-;2733;40557
09/2024;qtd_aprovada;"313320 ITANHOMI";-;-;1;2500;-;149;-;-;-;-;-;-;-;-;-;-;699;-;8;-;-;-;-;-;5;-;40;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;298;3702
09/2024;qtd_aprovada;"313330 ITAOBIM";137;-;5;5226;1575;638;107;-;-;-;-;-;703;6;-;-;7287;-;483;-;2178;3;-;-;-;-;26;-;-;115;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;49;24;-;3072;21650
09/2024;qtd_aprovada;"313340 ITAPAGIPE";4067;37;310;1718;-;1032;185;-;-;-;-;-;111;-;171;1060;15064;573;-;-;-;-;70;-;36;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;5095;29610
09/2024;qtd_aprovada;"313350 ITAPECERICA";190;37;-;3415;-;552;-;-;-;-;-;-;1;-;-;-;1207;8;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1116;6528
09/2024;qtd_aprovada;"313360 ITAPEVA";-;29;-;2941;-;401;113;-;-;-;-;-;27;-;-;-;5766;403;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;308;10021
09/2024;qtd_aprovada;"313370 ITATIAIUCU";-;27;6;17563;-;896;-;-;-;-;-;-;-;-;-;560;18002;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1300;38354
09/2024;qtd_aprovada;"313375 ITAU DE MINAS";7853;-;82;2865;-;576;68;-;-;-;-;-;277;-;-;1057;17937;303;-;-;-;-;390;-;-;-;58;-;1;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;825;32304
09/2024;qtd_aprovada;"313380 ITAUNA";4946;247;133;19395;376;2360;375;581;41;-;40;-;1860;77;-;21;30153;332;129;359;1310;78;2042;-;3;-;401;-;13;-;12;5;6;13;-;-;3;-;308;-;6;7;-;-;-;-;-;-;-;20;13;-;3184;68849
09/2024;qtd_aprovada;"313390 ITAVERAVA";-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;406;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;400;982
09/2024;qtd_aprovada;"313400 ITINGA";2115;22;1;2154;-;297;198;-;-;-;-;-;-;-;-;-;336;728;-;-;-;-;98;-;-;-;17;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;3142;9154
09/2024;qtd_aprovada;"313410 ITUETA";-;13;-;79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92
09/2024;qtd_aprovada;"313420 ITUIUTABA";66578;219;374;24576;-;2608;132;96;82;-;32;-;2114;162;-;3914;107284;4209;887;-;2333;536;2466;-;109;-;349;-;1;264;1;-;1;6;-;-;-;-;513;-;-;23;-;-;-;-;-;-;140601;887;54;-;13249;374660
09/2024;qtd_aprovada;"313430 ITUMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;209;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;226
09/2024;qtd_aprovada;"313440 ITURAMA";10943;34;52;10058;-;1360;682;150;40;-;31;-;378;13;-;458;21690;1017;17;-;-;15;133;-;11;-;40;-;-;34;-;-;31;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;10310;57510
09/2024;qtd_aprovada;"313450 ITUTINGA";907;-;23;1;-;32;-;-;-;-;-;-;73;-;-;283;3547;12;-;-;-;-;165;-;-;-;16;-;11;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;20;-;-;-;5105
09/2024;qtd_aprovada;"313460 JABOTICATUBAS";604;17;2191;13118;-;931;34;-;-;-;-;-;206;-;-;66;18711;151;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110;36139
09/2024;qtd_aprovada;"313470 JACINTO";3485;32;8;8304;-;1181;184;138;108;-;300;5;401;-;-;-;4724;-;-;-;-;-;-;-;24;-;28;-;-;252;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;21;-;-;2729;21926
09/2024;qtd_aprovada;"313480 JACUI";1981;4;-;1120;-;-;34;-;-;-;-;-;-;-;-;-;1914;345;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3288;8687
09/2024;qtd_aprovada;"313490 JACUTINGA";-;39;-;7260;-;2100;-;-;-;-;-;-;1580;-;-;-;18055;-;25;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29099
09/2024;qtd_aprovada;"313500 JAGUARACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;377;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;426;825
09/2024;qtd_aprovada;"313505 JAIBA";86;78;-;865;-;741;-;-;-;-;-;-;80;-;-;-;20136;-;13;-;-;-;-;-;-;-;101;-;6;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;92;-;-;5396;27645
09/2024;qtd_aprovada;"313507 JAMPRUCA";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73
09/2024;qtd_aprovada;"313510 JANAUBA";1990;184;8;39486;1090;2131;1414;1802;253;-;161;-;4371;21;-;1233;52552;1006;1749;-;2857;33;-;-;309;-;134;-;5;146;-;5;9;5;-;-;-;-;-;-;1;10;-;-;-;-;-;-;-;388;11;-;10353;123717
