periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
07/2024;qtd_aprovada;"315560 RIO PARDO DE MINAS";97;-;2;2621;727;1728;105;-;-;-;-;-;257;-;-;1;6367;322;-;-;-;1;717;-;11;-;61;-;-;-;-;-;-;-;-;-;-;-;187;-;-;-;-;-;-;-;-;-;-;52;-;-;2000;15256
07/2024;qtd_aprovada;"315570 RIO PIRACICABA";298;41;8;11013;-;373;-;-;-;-;-;-;-;-;42;-;1247;890;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;13929
07/2024;qtd_aprovada;"315580 RIO POMBA";-;16;4;7846;-;1945;-;-;-;-;-;-;166;-;-;357;7519;20;176;-;-;-;40;-;1;-;112;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68;-;-;1411;19683
07/2024;qtd_aprovada;"315590 RIO PRETO";-;-;-;1036;-;229;-;-;-;-;-;-;-;-;-;-;3410;211;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;612;5498
07/2024;qtd_aprovada;"315600 RIO VERMELHO";-;30;-;412;-;283;-;-;-;-;-;-;-;-;-;-;1107;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;798;2688
07/2024;qtd_aprovada;"315610 RITAPOLIS";813;2;42;2446;-;-;-;-;-;-;-;-;73;-;-;107;6433;86;-;-;-;-;780;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69;1;-;-;-;-;-;-;-;-;-;-;-;-;569;11421
07/2024;qtd_aprovada;"315620 ROCHEDO DE MINAS";3;10;-;-;-;-;-;-;-;-;-;-;25;-;-;-;5;377;-;-;-;-;30;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;68;549
07/2024;qtd_aprovada;"315630 RODEIRO";-;8;-;-;-;-;-;-;-;-;-;-;57;-;-;-;400;273;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;546;1315
07/2024;qtd_aprovada;"315640 ROMARIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;122;97;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;424;665
07/2024;qtd_aprovada;"315645 ROSARIO DA LIMEIRA";-;11;-;1100;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;261;1417
07/2024;qtd_aprovada;"315650 RUBELITA";-;-;-;2698;-;-;18;-;-;-;-;-;25;-;-;-;95;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;1090;3954
07/2024;qtd_aprovada;"315660 RUBIM";2554;30;-;1874;-;202;-;-;-;-;-;-;-;-;-;-;1791;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;2559;9066
07/2024;qtd_aprovada;"315670 SABARA";20224;218;497;13258;97;3813;878;-;-;-;118;-;3733;-;-;2270;78313;1977;-;-;25;-;1845;-;-;-;76;-;25;2;-;-;-;-;-;-;-;-;459;-;-;58;-;-;-;-;-;-;-;49;-;-;100;128035
07/2024;qtd_aprovada;"315680 SABINOPOLIS";3429;95;-;3435;-;209;57;-;-;-;-;-;527;-;-;9;2600;292;1;-;-;-;-;-;-;-;85;-;2;121;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;7141;18037
07/2024;qtd_aprovada;"315690 SACRAMENTO";4168;61;31;20198;55;1594;752;90;52;-;115;-;501;-;-;391;10512;1391;516;-;-;-;405;-;556;-;71;-;-;31;-;-;-;3;-;-;-;-;265;-;-;-;-;-;-;-;-;-;-;41;-;-;3241;45040
07/2024;qtd_aprovada;"315700 SALINAS";1365;58;10;2963;-;1332;546;68;77;-;56;-;897;2;-;3;22798;413;90;-;1724;1;536;-;3;-;53;-;5;-;-;1;-;-;-;-;-;-;118;-;-;-;11;-;-;-;-;-;-;-;12;-;7996;41138
07/2024;qtd_aprovada;"315710 SALTO DA DIVISA";3814;29;-;6116;-;197;-;-;-;-;-;-;-;-;-;-;660;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;2040;12879
07/2024;qtd_aprovada;"315720 SANTA BARBARA";-;71;-;21888;-;1428;72;70;-;-;74;-;131;-;-;169;6913;1360;-;-;-;-;5;-;-;-;92;-;2;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3774;36069
07/2024;qtd_aprovada;"315725 SANTA BARBARA DO LESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"315727 SANTA BARBARA DO MONTE VERDE";-;3;-;-;-;-;-;-;-;-;-;-;29;-;-;-;237;445;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;1842;2631
07/2024;qtd_aprovada;"315730 SANTA BARBARA DO TUGURIO";-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;176;-;-;-;-;143;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;340
07/2024;qtd_aprovada;"315733 SANTA CRUZ DE MINAS";633;28;21;5281;-;10;-;-;-;-;-;-;-;-;-;181;4183;207;-;-;-;-;82;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;2442;13090
07/2024;qtd_aprovada;"315737 SANTA CRUZ DE SALINAS";-;12;-;4485;-;-;-;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;1227;5872
07/2024;qtd_aprovada;"315740 SANTA CRUZ DO ESCALVADO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;248;432
07/2024;qtd_aprovada;"315750 SANTA EFIGENIA DE MINAS";-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;216;226
07/2024;qtd_aprovada;"315760 SANTA FE DE MINAS";-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;57
07/2024;qtd_aprovada;"315765 SANTA HELENA DE MINAS";-;25;-;1322;-;-;7;-;-;-;39;-;83;-;-;310;2156;156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;2905;7033
07/2024;qtd_aprovada;"315770 SANTA JULIANA";-;83;-;5152;-;-;-;-;-;-;-;-;-;-;-;-;3249;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;14;8518
07/2024;qtd_aprovada;"315780 SANTA LUZIA";902;250;205;114587;522;1998;330;311;172;24;56;-;2484;-;-;1400;133474;13656;-;-;-;-;25;-;-;-;393;-;32;10;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;439;-;-;3026;274305
07/2024;qtd_aprovada;"315790 SANTA MARGARIDA";265;-;-;597;-;480;185;-;-;-;-;-;81;-;-;32;1527;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2160;5354
07/2024;qtd_aprovada;"315800 SANTA MARIA DE ITABIRA";-;5;-;6178;-;224;-;-;-;-;-;-;127;-;-;-;3356;302;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10194
07/2024;qtd_aprovada;"315810 SANTA MARIA DO SALTO";-;15;-;451;-;-;-;-;-;-;-;-;-;-;-;-;1504;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;983;2978
07/2024;qtd_aprovada;"315820 SANTA MARIA DO SUACUI";-;-;-;5924;-;632;2;10;25;-;19;-;17;-;-;-;4322;416;364;-;-;-;-;-;-;-;84;-;13;-;-;-;119;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2509;14459
07/2024;qtd_aprovada;"315830 SANTANA DA VARGEM";189;-;46;7;-;-;-;-;-;-;-;-;-;-;-;-;2894;-;-;-;-;-;127;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;403;3684
07/2024;qtd_aprovada;"315840 SANTANA DE CATAGUASES";26;14;16;-;-;-;-;-;-;-;-;-;42;-;-;-;111;93;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1384;1733
07/2024;qtd_aprovada;"315850 SANTANA DE PIRAPAMA";-;21;-;-;-;-;-;-;-;-;-;-;94;-;-;-;928;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;2469;3546
07/2024;qtd_aprovada;"315860 SANTANA DO DESERTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;124;164
07/2024;qtd_aprovada;"315870 SANTANA DO GARAMBEU";-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;227;84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2112;2435
07/2024;qtd_aprovada;"315880 SANTANA DO JACARE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"315890 SANTANA DO MANHUACU";950;23;-;-;-;277;-;-;-;-;-;-;-;-;-;671;3828;294;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;1136;7205
07/2024;qtd_aprovada;"315895 SANTANA DO PARAISO";15;23;958;12829;-;122;509;-;20;-;87;-;334;-;-;115;5251;692;-;-;-;-;325;-;-;-;60;-;2;6;-;-;-;-;-;-;-;-;83;-;-;-;-;-;-;-;-;-;-;21;-;-;2809;24261
07/2024;qtd_aprovada;"315900 SANTANA DO RIACHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1240;1240
07/2024;qtd_aprovada;"315910 SANTANA DOS MONTES";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1229;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;247;1478
07/2024;qtd_aprovada;"315920 SANTA RITA DE CALDAS";-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;757;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;156;989
07/2024;qtd_aprovada;"315930 SANTA RITA DE JACUTINGA";-;-;-;787;-;74;-;-;-;-;-;-;150;-;-;-;2441;336;-;-;-;-;8;-;394;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;195;4387
07/2024;qtd_aprovada;"315935 SANTA RITA DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;302;372
07/2024;qtd_aprovada;"315940 SANTA RITA DE IBITIPOCA";20;24;-;-;-;-;-;-;-;-;-;-;56;-;-;-;448;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;851;1419
07/2024;qtd_aprovada;"315950 SANTA RITA DO ITUETO";-;6;280;1624;-;-;-;-;-;-;-;-;62;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;697;2726
07/2024;qtd_aprovada;"315960 SANTA RITA DO SAPUCAI";1;108;-;1761;-;1231;-;12;-;-;-;-;216;-;-;8438;61477;4978;265;-;-;-;-;-;-;-;985;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;2162;81655
07/2024;qtd_aprovada;"315970 SANTA ROSA DA SERRA";3673;7;-;656;-;28;19;-;-;-;-;-;-;-;-;-;2490;321;-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7308
07/2024;qtd_aprovada;"315980 SANTA VITORIA";6759;49;-;11852;-;-;462;-;-;-;-;-;279;-;-;458;17529;-;-;-;-;-;-;-;-;-;17;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;2012;39446
07/2024;qtd_aprovada;"315990 SANTO ANTONIO DO AMPARO";-;-;755;7054;-;675;173;70;-;-;72;-;145;-;-;126;14170;251;-;-;-;-;-;-;-;-;55;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1789;-;-;6081;31419
07/2024;qtd_aprovada;"316000 SANTO ANTONIO DO AVENTUREIRO";-;7;-;350;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;1211;1623
07/2024;qtd_aprovada;"316010 SANTO ANTONIO DO GRAMA";-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;116;339
07/2024;qtd_aprovada;"316020 SANTO ANTONIO DO ITAMBE";-;4;-;637;-;-;-;-;-;-;-;-;39;-;-;-;-;177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2860;3717
07/2024;qtd_aprovada;"316030 SANTO ANTONIO DO JACINTO";1239;26;-;-;-;207;-;-;-;-;-;-;-;-;-;-;-;270;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;7028;8799
07/2024;qtd_aprovada;"316040 SANTO ANTONIO DO MONTE";137;51;30;25712;-;1244;218;72;-;-;11;-;1200;-;-;42;24234;2000;27;-;-;-;285;-;20;-;178;-;-;4;-;-;-;1;-;-;-;-;44;-;-;1;-;-;-;-;-;-;-;22;-;-;4808;60341
07/2024;qtd_aprovada;"316045 SANTO ANTONIO DO RETIRO";7;5;-;1869;-;-;-;-;-;-;-;-;161;-;-;-;267;-;-;-;-;-;-;-;-;-;36;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;529;2915
07/2024;qtd_aprovada;"316050 SANTO ANTONIO DO RIO ABAIXO";-;-;-;331;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;331
07/2024;qtd_aprovada;"316060 SANTO HIPOLITO";555;9;-;1680;-;-;-;-;-;-;-;-;70;-;-;-;412;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3940;6666
07/2024;qtd_aprovada;"316070 SANTOS DUMONT";-;145;67;5825;-;723;144;-;-;-;16;-;174;-;-;234;7635;930;26;-;-;-;346;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;132;-;-;-;-;-;-;-;-;-;-;-;-;-;200;16662
07/2024;qtd_aprovada;"316080 SAO BENTO ABADE";-;6;-;1062;-;-;55;-;-;-;-;-;-;-;-;-;306;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;919;2348
07/2024;qtd_aprovada;"316090 SAO BRAS DO SUACUI";-;6;-;5033;-;-;-;-;-;-;-;-;-;-;-;8;4148;12;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;227;9436
07/2024;qtd_aprovada;"316095 SAO DOMINGOS DAS DORES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;690;326;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1211;2227
07/2024;qtd_aprovada;"316100 SAO DOMINGOS DO PRATA";-;28;-;9105;-;453;-;-;-;-;-;-;228;-;-;112;5814;456;-;-;-;-;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5933;22220
07/2024;qtd_aprovada;"316105 SAO FELIX DE MINAS";519;6;-;-;-;1;-;-;-;-;-;-;-;-;-;168;2165;218;-;-;-;-;59;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;38;-;-;-;-;-;-;-;-;-;-;22;-;-;2465;5665
07/2024;qtd_aprovada;"316110 SAO FRANCISCO";-;48;7;5132;-;1896;191;30;-;-;39;-;1205;-;-;76;30982;220;300;-;-;-;-;-;-;-;287;-;17;-;-;2;135;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;7780;48379
07/2024;qtd_aprovada;"316120 SAO FRANCISCO DE PAULA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;433;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1971;2404
07/2024;qtd_aprovada;"316130 SAO FRANCISCO DE SALES";1608;5;-;1377;-;174;84;-;-;-;-;-;81;-;-;66;154;116;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1817;5585
07/2024;qtd_aprovada;"316140 SAO FRANCISCO DO GLORIA";-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7947;470;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;1501;9976
07/2024;qtd_aprovada;"316150 SAO GERALDO";-;5;-;2511;-;-;-;-;-;-;-;-;-;-;-;-;936;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;1436;4910
07/2024;qtd_aprovada;"316160 SAO GERALDO DA PIEDADE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;334;394
07/2024;qtd_aprovada;"316165 SAO GERALDO DO BAIXIO";-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;134;301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;672;1148
07/2024;qtd_aprovada;"316170 SAO GONCALO DO ABAETE";1;41;-;-;-;110;-;-;-;-;-;-;1;-;-;3;470;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154;800
07/2024;qtd_aprovada;"316180 SAO GONCALO DO PARA";11;24;-;1949;-;292;-;-;-;-;-;-;-;-;-;240;11186;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;901;14663
07/2024;qtd_aprovada;"316190 SAO GONCALO DO RIO ABAIXO";-;41;-;10384;-;-;-;-;-;-;-;-;81;-;-;-;5727;111;-;-;-;-;-;-;6;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;284;16663
07/2024;qtd_aprovada;"316200 SAO GONCALO DO SAPUCAI";-;24;-;2476;-;-;-;-;-;-;-;-;183;-;-;-;11250;50;7;-;-;-;-;-;-;-;141;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2000;16133
07/2024;qtd_aprovada;"316210 SAO GOTARDO";10207;112;34;10962;-;2121;212;114;-;-;21;-;97;-;-;173;24735;1553;1;-;420;-;80;-;-;-;118;-;3;-;3;-;2;1;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;20;-;-;966;51967
07/2024;qtd_aprovada;"316220 SAO JOAO BATISTA DO GLORIA";10;16;6;10704;-;608;-;-;-;-;-;-;36;-;-;48;4731;340;-;-;-;-;239;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;8;-;-;675;17450
07/2024;qtd_aprovada;"316225 SAO JOAO DA LAGOA";-;5;71;91;-;-;-;-;-;-;-;-;-;-;-;-;1445;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;876;2510
07/2024;qtd_aprovada;"316230 SAO JOAO DA MATA";-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;490;530
07/2024;qtd_aprovada;"316240 SAO JOAO DA PONTE";-;80;-;13432;-;647;226;-;-;-;-;-;215;-;-;-;9100;-;22;-;-;-;112;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;4729;28657
07/2024;qtd_aprovada;"316245 SAO JOAO DAS MISSOES";11870;-;88;2290;-;-;-;-;-;-;-;-;-;-;-;233;7367;-;-;-;-;-;269;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;2731;24885
07/2024;qtd_aprovada;"316250 SAO JOAO DEL REI";818;280;230;18948;914;1400;176;503;44;23;53;-;296;1056;-;162;19408;771;77;602;2381;2007;4;-;139;-;110;-;-;-;-;-;17;28;-;-;-;-;2;-;-;13;46;40;-;-;-;-;156443;-;95;-;2335;209421
07/2024;qtd_aprovada;"316255 SAO JOAO DO MANHUACU";-;-;-;5099;-;-;-;-;-;-;-;-;-;-;-;-;623;90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1055;6867
07/2024;qtd_aprovada;"316257 SAO JOAO DO MANTENINHA";223;3;-;1457;-;71;148;-;-;-;-;-;23;-;-;25;5640;174;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;492;8296
07/2024;qtd_aprovada;"316260 SAO JOAO DO ORIENTE";-;-;-;3120;-;-;-;-;-;-;-;-;-;-;-;-;69;524;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;1146;4881
07/2024;qtd_aprovada;"316265 SAO JOAO DO PACUI";549;-;69;-;-;-;-;-;-;-;-;-;-;-;-;152;1586;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;236;2607
07/2024;qtd_aprovada;"316270 SAO JOAO DO PARAISO";24;137;4;6942;-;1149;-;-;-;-;-;-;230;-;-;101;6629;-;12;-;-;-;-;-;-;-;24;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13939;29201
